mode,temp_c,run,device,w_um,l_um,area_um2,quantity,val_a,val_b
mismatch,-40,2,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,2,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,2,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,2,nfet_03v3,5,0.5,2.5,vgs_v,0.838757,0.837719
mismatch,-40,2,nfet_03v3,10,1.0,10,vgs_v,0.818907,0.818573
mismatch,-40,2,nfet_03v3,20,2.0,40,vgs_v,0.808201,0.807157
mismatch,-40,2,pfet_03v3,5,0.5,2.5,vgs_v,1.04384,1.04471
mismatch,-40,2,pfet_03v3,10,1.0,10,vgs_v,1.06331,1.05962
mismatch,-40,2,pfet_03v3,20,2.0,40,vgs_v,1.06394,1.06221
mismatch,-40,3,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,3,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,3,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,3,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,3,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,3,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,3,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,3,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,3,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,3,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,3,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,3,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,3,nfet_03v3,5,0.5,2.5,vgs_v,0.836204,0.82677
mismatch,-40,3,nfet_03v3,10,1.0,10,vgs_v,0.819977,0.817459
mismatch,-40,3,nfet_03v3,20,2.0,40,vgs_v,0.806913,0.808191
mismatch,-40,3,pfet_03v3,5,0.5,2.5,vgs_v,1.04351,1.04907
mismatch,-40,3,pfet_03v3,10,1.0,10,vgs_v,1.06006,1.06217
mismatch,-40,3,pfet_03v3,20,2.0,40,vgs_v,1.06331,1.06229
mismatch,-40,4,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,4,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,4,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,4,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,4,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,4,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,4,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,4,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,4,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,4,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,4,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,4,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,4,nfet_03v3,5,0.5,2.5,vgs_v,0.835473,0.832441
mismatch,-40,4,nfet_03v3,10,1.0,10,vgs_v,0.820625,0.819162
mismatch,-40,4,nfet_03v3,20,2.0,40,vgs_v,0.808711,0.807705
mismatch,-40,4,pfet_03v3,5,0.5,2.5,vgs_v,1.04896,1.05087
mismatch,-40,4,pfet_03v3,10,1.0,10,vgs_v,1.06215,1.06014
mismatch,-40,4,pfet_03v3,20,2.0,40,vgs_v,1.06393,1.0639
mismatch,-40,5,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,5,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,5,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,5,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,5,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,5,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,5,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,5,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,5,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,5,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,5,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,5,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,5,nfet_03v3,5,0.5,2.5,vgs_v,0.836703,0.830951
mismatch,-40,5,nfet_03v3,10,1.0,10,vgs_v,0.819151,0.820048
mismatch,-40,5,nfet_03v3,20,2.0,40,vgs_v,0.807542,0.806917
mismatch,-40,5,pfet_03v3,5,0.5,2.5,vgs_v,1.04963,1.04071
mismatch,-40,5,pfet_03v3,10,1.0,10,vgs_v,1.05805,1.06057
mismatch,-40,5,pfet_03v3,20,2.0,40,vgs_v,1.06419,1.06471
mismatch,-40,6,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,6,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,6,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,6,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,6,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,6,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,6,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,6,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,6,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,6,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,6,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,6,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,6,nfet_03v3,5,0.5,2.5,vgs_v,0.836173,0.837986
mismatch,-40,6,nfet_03v3,10,1.0,10,vgs_v,0.820288,0.819397
mismatch,-40,6,nfet_03v3,20,2.0,40,vgs_v,0.808573,0.806052
mismatch,-40,6,pfet_03v3,5,0.5,2.5,vgs_v,1.05041,1.04927
mismatch,-40,6,pfet_03v3,10,1.0,10,vgs_v,1.06308,1.06314
mismatch,-40,6,pfet_03v3,20,2.0,40,vgs_v,1.06284,1.06411
mismatch,-40,7,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,7,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,7,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,7,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,7,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,7,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,7,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,7,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,7,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,7,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,7,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,7,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,7,nfet_03v3,5,0.5,2.5,vgs_v,0.830964,0.830985
mismatch,-40,7,nfet_03v3,10,1.0,10,vgs_v,0.822422,0.81998
mismatch,-40,7,nfet_03v3,20,2.0,40,vgs_v,0.808382,0.807625
mismatch,-40,7,pfet_03v3,5,0.5,2.5,vgs_v,1.0426,1.04891
mismatch,-40,7,pfet_03v3,10,1.0,10,vgs_v,1.06106,1.05988
mismatch,-40,7,pfet_03v3,20,2.0,40,vgs_v,1.06332,1.06358
mismatch,-40,8,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,8,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,8,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,8,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,8,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,8,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,8,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,8,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,8,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,8,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,8,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,8,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,8,nfet_03v3,5,0.5,2.5,vgs_v,0.841621,0.837724
mismatch,-40,8,nfet_03v3,10,1.0,10,vgs_v,0.819313,0.820748
mismatch,-40,8,nfet_03v3,20,2.0,40,vgs_v,0.806673,0.808155
mismatch,-40,8,pfet_03v3,5,0.5,2.5,vgs_v,1.0406,1.04759
mismatch,-40,8,pfet_03v3,10,1.0,10,vgs_v,1.06371,1.05701
mismatch,-40,8,pfet_03v3,20,2.0,40,vgs_v,1.06416,1.06502
mismatch,-40,9,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,9,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,9,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,9,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,9,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,9,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,9,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,9,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,9,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,9,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,9,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,9,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,9,nfet_03v3,5,0.5,2.5,vgs_v,0.833144,0.832276
mismatch,-40,9,nfet_03v3,10,1.0,10,vgs_v,0.822831,0.820335
mismatch,-40,9,nfet_03v3,20,2.0,40,vgs_v,0.806686,0.809606
mismatch,-40,9,pfet_03v3,5,0.5,2.5,vgs_v,1.0404,1.05169
mismatch,-40,9,pfet_03v3,10,1.0,10,vgs_v,1.06211,1.06085
mismatch,-40,9,pfet_03v3,20,2.0,40,vgs_v,1.06248,1.0639
mismatch,-40,10,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,10,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,10,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,10,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,10,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,10,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,10,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,10,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,10,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,10,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,10,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,10,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,10,nfet_03v3,5,0.5,2.5,vgs_v,0.840615,0.842422
mismatch,-40,10,nfet_03v3,10,1.0,10,vgs_v,0.819707,0.81988
mismatch,-40,10,nfet_03v3,20,2.0,40,vgs_v,0.806781,0.807671
mismatch,-40,10,pfet_03v3,5,0.5,2.5,vgs_v,1.04485,1.04921
mismatch,-40,10,pfet_03v3,10,1.0,10,vgs_v,1.05988,1.05988
mismatch,-40,10,pfet_03v3,20,2.0,40,vgs_v,1.06308,1.06288
mismatch,-40,11,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,11,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,11,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,11,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,11,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,11,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,11,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,11,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,11,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,11,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,11,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,11,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,11,nfet_03v3,5,0.5,2.5,vgs_v,0.84565,0.836217
mismatch,-40,11,nfet_03v3,10,1.0,10,vgs_v,0.819157,0.821842
mismatch,-40,11,nfet_03v3,20,2.0,40,vgs_v,0.808191,0.806472
mismatch,-40,11,pfet_03v3,5,0.5,2.5,vgs_v,1.03717,1.03952
mismatch,-40,11,pfet_03v3,10,1.0,10,vgs_v,1.06118,1.06013
mismatch,-40,11,pfet_03v3,20,2.0,40,vgs_v,1.0629,1.06222
mismatch,-40,12,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,12,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,12,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,12,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,12,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,12,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,12,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,12,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,12,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,12,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,12,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,12,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,12,nfet_03v3,5,0.5,2.5,vgs_v,0.838851,0.827805
mismatch,-40,12,nfet_03v3,10,1.0,10,vgs_v,0.81985,0.820643
mismatch,-40,12,nfet_03v3,20,2.0,40,vgs_v,0.808379,0.806934
mismatch,-40,12,pfet_03v3,5,0.5,2.5,vgs_v,1.04245,1.04382
mismatch,-40,12,pfet_03v3,10,1.0,10,vgs_v,1.06213,1.0598
mismatch,-40,12,pfet_03v3,20,2.0,40,vgs_v,1.06302,1.0638
mismatch,-40,13,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,13,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,13,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,13,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,13,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,13,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,13,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,13,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,13,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,13,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,13,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,13,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,13,nfet_03v3,5,0.5,2.5,vgs_v,0.837167,0.834968
mismatch,-40,13,nfet_03v3,10,1.0,10,vgs_v,0.82109,0.81785
mismatch,-40,13,nfet_03v3,20,2.0,40,vgs_v,0.806782,0.807635
mismatch,-40,13,pfet_03v3,5,0.5,2.5,vgs_v,1.04259,1.05149
mismatch,-40,13,pfet_03v3,10,1.0,10,vgs_v,1.06186,1.0598
mismatch,-40,13,pfet_03v3,20,2.0,40,vgs_v,1.06255,1.06264
mismatch,-40,14,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,14,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,14,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,14,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,14,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,14,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,14,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,14,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,14,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,14,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,14,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,14,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,14,nfet_03v3,5,0.5,2.5,vgs_v,0.845242,0.838004
mismatch,-40,14,nfet_03v3,10,1.0,10,vgs_v,0.821334,0.818575
mismatch,-40,14,nfet_03v3,20,2.0,40,vgs_v,0.806165,0.807106
mismatch,-40,14,pfet_03v3,5,0.5,2.5,vgs_v,1.04553,1.0444
mismatch,-40,14,pfet_03v3,10,1.0,10,vgs_v,1.05881,1.06376
mismatch,-40,14,pfet_03v3,20,2.0,40,vgs_v,1.06299,1.06451
mismatch,-40,15,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,15,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,15,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,15,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,15,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,15,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,15,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,15,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,15,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,15,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,15,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,15,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,15,nfet_03v3,5,0.5,2.5,vgs_v,0.832524,0.836773
mismatch,-40,15,nfet_03v3,10,1.0,10,vgs_v,0.818045,0.817988
mismatch,-40,15,nfet_03v3,20,2.0,40,vgs_v,0.806699,0.808026
mismatch,-40,15,pfet_03v3,5,0.5,2.5,vgs_v,1.04252,1.03811
mismatch,-40,15,pfet_03v3,10,1.0,10,vgs_v,1.06356,1.05804
mismatch,-40,15,pfet_03v3,20,2.0,40,vgs_v,1.06327,1.06199
mismatch,-40,16,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,16,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,16,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,16,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,16,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,16,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,16,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,16,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,16,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,16,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,16,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,16,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,16,nfet_03v3,5,0.5,2.5,vgs_v,0.839852,0.827676
mismatch,-40,16,nfet_03v3,10,1.0,10,vgs_v,0.821269,0.815894
mismatch,-40,16,nfet_03v3,20,2.0,40,vgs_v,0.807731,0.808311
mismatch,-40,16,pfet_03v3,5,0.5,2.5,vgs_v,1.04763,1.04138
mismatch,-40,16,pfet_03v3,10,1.0,10,vgs_v,1.0603,1.06035
mismatch,-40,16,pfet_03v3,20,2.0,40,vgs_v,1.06279,1.06187
mismatch,-40,17,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,17,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,17,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,17,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,17,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,17,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,17,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,17,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,17,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,17,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,17,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,17,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,17,nfet_03v3,5,0.5,2.5,vgs_v,0.831885,0.836168
mismatch,-40,17,nfet_03v3,10,1.0,10,vgs_v,0.820006,0.819114
mismatch,-40,17,nfet_03v3,20,2.0,40,vgs_v,0.806193,0.805392
mismatch,-40,17,pfet_03v3,5,0.5,2.5,vgs_v,1.04528,1.05137
mismatch,-40,17,pfet_03v3,10,1.0,10,vgs_v,1.05763,1.05977
mismatch,-40,17,pfet_03v3,20,2.0,40,vgs_v,1.06238,1.06463
mismatch,-40,18,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,18,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,18,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,18,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
