mode,temp_c,device,w_um,l_um,area_um2,quantity,n_runs,mean,sigma_absolute,sigma_absolute_pct_of_mean,sigma_delta_pair,sigma_delta_pair_pct_of_mean,sigma_single_device,pelgrom_coeff_delta_sqrt_area
global,27,ppolyf_u_3k,2,40,80,r_ohm,200,61634.9,3620.42,5.87397,0,0,0,0
global,27,ppolyf_u_3k,5,100,500,r_ohm,200,60605.8,3560.87,5.87547,0,0,0,0
global,125,nfet_03v3,5,0.5,2.5,vgs_v,200,0.69842,0.0290164,4.15458,0,0,0,0
global,125,nfet_03v3,10,1.0,10,vgs_v,200,0.688926,0.0218504,3.17166,0,0,0,0
global,125,nfet_03v3,20,2.0,40,vgs_v,200,0.677775,0.0219416,3.2373,0,0,0,0
global,125,pfet_03v3,5,0.5,2.5,vgs_v,200,0.925991,0.0369491,3.99022,0,0,0,0
global,125,pfet_03v3,10,1.0,10,vgs_v,200,0.953791,0.0288173,3.02135,0,0,0,0
global,125,pfet_03v3,20,2.0,40,vgs_v,200,0.964118,0.029326,3.04174,0,0,0,0
global,125,ppolyf_u,1,10,10,r_ohm,200,3786.76,178.454,4.71259,0,0,0,0
global,125,ppolyf_u,2,40,80,r_ohm,200,7215.55,348.212,4.82586,0,0,0,0
global,125,ppolyf_u,5,100,500,r_ohm,200,7072.58,343.027,4.85011,0,0,0,0
global,125,ppolyf_u_1k,1,10,10,r_ohm,200,9709.62,477.58,4.91863,0,0,0,0
global,125,ppolyf_u_1k,2,40,80,r_ohm,200,18963.3,941.441,4.96454,0,0,0,0
global,125,ppolyf_u_1k,5,100,500,r_ohm,200,18761.5,933.243,4.97424,0,0,0,0
global,125,ppolyf_u_2k,1,10,10,r_ohm,200,18642.6,889.193,4.76969,0,0,0,0
global,125,ppolyf_u_2k,2,40,80,r_ohm,200,35851.2,1712.85,4.77765,0,0,0,0
global,125,ppolyf_u_2k,5,100,500,r_ohm,200,35248.1,1684.9,4.7801,0,0,0,0
global,125,ppolyf_u_3k,1,10,10,r_ohm,200,28054.6,1791.96,6.3874,0,0,0,0
global,125,ppolyf_u_3k,2,40,80,r_ohm,200,53988,3454.31,6.39829,0,0,0,0
global,125,ppolyf_u_3k,5,100,500,r_ohm,200,53086.9,3398.45,6.40166,0,0,0,0
mismatch,-40,nfet_03v3,5,0.5,2.5,vgs_v,200,0.836453,0.00389064,0.465136,0.00545255,0.651866,0.00385553,0.00862123
mismatch,-40,nfet_03v3,10,1.0,10,vgs_v,200,0.8197,0.00186918,0.228033,0.00270398,0.329875,0.001912,0.00855074
mismatch,-40,nfet_03v3,20,2.0,40,vgs_v,200,0.807375,0.000827777,0.102527,0.00124315,0.153974,0.00087904,0.00786237
mismatch,-40,pfet_03v3,5,0.5,2.5,vgs_v,200,1.04519,0.00378953,0.362567,0.00554388,0.530416,0.00392012,0.00876565
mismatch,-40,pfet_03v3,10,1.0,10,vgs_v,200,1.0599,0.00164686,0.155378,0.00235379,0.222076,0.00166438,0.00744335
mismatch,-40,pfet_03v3,20,2.0,40,vgs_v,200,1.06345,0.000793517,0.0746173,0.0011125,0.104612,0.000786657,0.00703608
mismatch,-40,ppolyf_u,1,10,10,r_ohm,200,3859.53,0,0,0,0,0,0
mismatch,-40,ppolyf_u,2,40,80,r_ohm,200,7314.1,0,0,0,0,0,0
mismatch,-40,ppolyf_u,5,100,500,r_ohm,200,7161.07,0,0,0,0,0,0
mismatch,-40,ppolyf_u_1k,1,10,10,r_ohm,200,11341.6,0,0,0,0,0,0
mismatch,-40,ppolyf_u_1k,2,40,80,r_ohm,200,21901.7,0,0,0,0,0,0
mismatch,-40,ppolyf_u_1k,5,100,500,r_ohm,200,21618.7,0,0,0,0,0,0
mismatch,-40,ppolyf_u_2k,1,10,10,r_ohm,200,24077.9,0,0,0,0,0,0
mismatch,-40,ppolyf_u_2k,2,40,80,r_ohm,200,46270.2,0,0,0,0,0,0
mismatch,-40,ppolyf_u_2k,5,100,500,r_ohm,200,45485.5,0,0,0,0,0,0
mismatch,-40,ppolyf_u_3k,1,10,10,r_ohm,200,36072.2,0,0,0,0,0,0
mismatch,-40,ppolyf_u_3k,2,40,80,r_ohm,200,69383.5,0,0,0,0,0,0
mismatch,-40,ppolyf_u_3k,5,100,500,r_ohm,200,68219.6,0,0,0,0,0,0
mismatch,27,nfet_03v3,5,0.5,2.5,vgs_v,200,0.779282,0.00360959,0.463194,0.0052069,0.668166,0.00368183,0.00823282
mismatch,27,nfet_03v3,10,1.0,10,vgs_v,200,0.765357,0.00164916,0.215476,0.00235745,0.30802,0.00166697,0.00745492
mismatch,27,nfet_03v3,20,2.0,40,vgs_v,200,0.753689,0.000836907,0.111041,0.00114346,0.151716,0.000808551,0.0072319
mismatch,27,pfet_03v3,5,0.5,2.5,vgs_v,200,0.997593,0.00380287,0.381205,0.0053178,0.533063,0.00376025,0.00840818
mismatch,27,pfet_03v3,10,1.0,10,vgs_v,200,1.01827,0.00173929,0.170808,0.00251641,0.247126,0.00177937,0.00795758
mismatch,27,pfet_03v3,20,2.0,40,vgs_v,200,1.02467,0.000837229,0.0817075,0.00112965,0.110246,0.000798785,0.00714455
mismatch,27,ppolyf_u,1,10,10,r_ohm,200,3813.5,0,0,0,0,0,0
mismatch,27,ppolyf_u,2,40,80,r_ohm,200,7243.28,0,0,0,0,0,0
mismatch,27,ppolyf_u,5,100,500,r_ohm,200,7095.06,0,0,0,0,0,0
mismatch,27,ppolyf_u_1k,1,10,10,r_ohm,200,10459.1,0,0,0,0,0,0
mismatch,27,ppolyf_u_1k,2,40,80,r_ohm,200,20347.9,0,0,0,0,0,0
mismatch,27,ppolyf_u_1k,5,100,500,r_ohm,200,20115.4,0,0,0,0,0,0
mismatch,27,ppolyf_u_2k,1,10,10,r_ohm,200,21333.5,0,0,0,0,0,0
mismatch,27,ppolyf_u_2k,2,40,80,r_ohm,200,41010.9,0,0,0,0,0,0
mismatch,27,ppolyf_u_2k,5,100,500,r_ohm,200,40318.3,0,0,0,0,0,0
mismatch,27,ppolyf_u_3k,1,10,10,r_ohm,200,31965.7,0,0,0,0,0,0
mismatch,27,ppolyf_u_3k,2,40,80,r_ohm,200,61499.5,0,0,0,0,0,0
mismatch,27,ppolyf_u_3k,5,100,500,r_ohm,200,60470.8,0,0,0,0,0,0
mismatch,125,nfet_03v3,5,0.5,2.5,vgs_v,200,0.698515,0.00382454,0.547525,0.00544544,0.779575,0.00385051,0.00861
mismatch,125,nfet_03v3,10,1.0,10,vgs_v,200,0.689116,0.00170524,0.247454,0.00242126,0.351358,0.00171209,0.00765671
mismatch,125,nfet_03v3,20,2.0,40,vgs_v,200,0.678042,0.000799881,0.117969,0.00113942,0.168046,0.000805692,0.00720632
mismatch,125,pfet_03v3,5,0.5,2.5,vgs_v,200,0.922729,0.00383637,0.415764,0.00521538,0.565213,0.00368783,0.00824624
mismatch,125,pfet_03v3,10,1.0,10,vgs_v,200,0.952177,0.00163189,0.171386,0.00235497,0.247325,0.00166522,0.00744708
mismatch,125,pfet_03v3,20,2.0,40,vgs_v,200,0.962624,0.000820238,0.0852085,0.00116956,0.121497,0.000827001,0.00739693
mismatch,125,ppolyf_u,1,10,10,r_ohm,200,3789.6,0,0,0,0,0,0
mismatch,125,ppolyf_u,2,40,80,r_ohm,200,7221.82,0,0,0,0,0,0
mismatch,125,ppolyf_u,5,100,500,r_ohm,200,7078.87,0,0,0,0,0,0
mismatch,125,ppolyf_u_1k,1,10,10,r_ohm,200,9707.45,0,0,0,0,0,0
mismatch,125,ppolyf_u_1k,2,40,80,r_ohm,200,18958.6,0,0,0,0,0,0
mismatch,125,ppolyf_u_1k,5,100,500,r_ohm,200,18756.7,0,0,0,0,0,0
mismatch,125,ppolyf_u_2k,1,10,10,r_ohm,200,18621.6,0,0,0,0,0,0
mismatch,125,ppolyf_u_2k,2,40,80,r_ohm,200,35812.1,0,0,0,0,0,0
mismatch,125,ppolyf_u_2k,5,100,500,r_ohm,200,35210.2,0,0,0,0,0,0
mismatch,125,ppolyf_u_3k,1,10,10,r_ohm,200,27907.3,0,0,0,0,0,0
mismatch,125,ppolyf_u_3k,2,40,80,r_ohm,200,53705.9,0,0,0,0,0,0
mismatch,125,ppolyf_u_3k,5,100,500,r_ohm,200,52810.5,0,0,0,0,0,0
