device,res_corner,temp_c,w_um,l_um,i_test,r_ohm,rsh_nominal_ohm_sq
ppolyf_s,res_typical,125,2,20,1u,103.338,7.3
ppolyf_s,res_typical,125,5,50,1u,99.4946,7.3
ppolyf_s,res_typical,125,1,50,50u,503.534,7.3
nplus_u,res_typical,125,1,10,1u,660.263,60
nplus_u,res_typical,125,1,50,1u,3152.99,60
nplus_u,res_typical,125,2,20,1u,672.281,60
nplus_u,res_typical,125,5,50,1u,680.057,60
nplus_u,res_typical,125,1,50,50u,3152.99,60
pplus_u,res_typical,125,1,10,1u,2336.81,185
pplus_u,res_typical,125,1,50,1u,11322.5,185
pplus_u,res_typical,125,2,20,1u,2226.82,185
pplus_u,res_typical,125,5,50,1u,2163.76,185
pplus_u,res_typical,125,1,50,50u,11322.5,185
nwell,res_typical,125,1,10,1u,24943.6,1000
nwell,res_typical,125,1,50,1u,120361,1000
nwell,res_typical,125,2,20,1u,17436.8,1000
nwell,res_typical,125,5,50,1u,14688.5,1000
nwell,res_typical,125,1,50,50u,120361,1000
ppolyf_u_1k,res_ff,-40,1,10,1u,9132.95,1000
ppolyf_u_1k,res_ff,-40,1,50,1u,44471.4,1000
ppolyf_u_1k,res_ff,-40,2,20,1u,8848.83,1000
ppolyf_u_1k,res_ff,-40,5,50,1u,8682.42,1000
ppolyf_u_1k,res_ff,-40,1,50,50u,44471.4,1000
ppolyf_u_2k,res_ff,-40,1,10,1u,19280.2,2000
ppolyf_u_2k,res_ff,-40,1,50,1u,94639,2000
ppolyf_u_2k,res_ff,-40,2,20,1u,18620,2000
ppolyf_u_2k,res_ff,-40,5,50,1u,18238.4,2000
ppolyf_u_2k,res_ff,-40,1,50,50u,94639,2000
ppolyf_u_3k,res_ff,-40,1,10,1u,27076.5,3000
ppolyf_u_3k,res_ff,-40,1,50,1u,133050,3000
ppolyf_u_3k,res_ff,-40,2,20,1u,26166.7,3000
ppolyf_u_3k,res_ff,-40,5,50,1u,25640.7,3000
ppolyf_u_3k,res_ff,-40,1,50,50u,133050,3000
ppolyf_u,res_ff,-40,1,10,1u,3115.42,350
ppolyf_u,res_ff,-40,1,50,1u,15021.3,350
ppolyf_u,res_ff,-40,2,20,1u,2966.24,350
ppolyf_u,res_ff,-40,5,50,1u,2880.42,350
ppolyf_u,res_ff,-40,1,50,50u,15021.3,350
npolyf_u,res_ff,-40,1,10,1u,2992.54,310
npolyf_u,res_ff,-40,1,50,1u,14611.3,310
npolyf_u,res_ff,-40,2,20,1u,2868.35,310
npolyf_u,res_ff,-40,5,50,1u,2797.03,310
npolyf_u,res_ff,-40,1,50,50u,14611.3,310
ppolyf_s,res_ff,-40,1,10,1u,17.3393,7.3
ppolyf_s,res_ff,-40,1,50,1u,49.4447,7.3
ppolyf_s,res_ff,-40,2,20,1u,12.587,7.3
ppolyf_s,res_ff,-40,5,50,1u,9.76992,7.3
ppolyf_s,res_ff,-40,1,50,50u,49.4447,7.3
nplus_u,res_ff,-40,1,10,1u,406.076,60
nplus_u,res_ff,-40,1,50,1u,1902.28,60
nplus_u,res_ff,-40,2,20,1u,408.638,60
nplus_u,res_ff,-40,5,50,1u,410.295,60
nplus_u,res_ff,-40,1,50,50u,1902.28,60
pplus_u,res_ff,-40,1,10,1u,1520.37,185
pplus_u,res_ff,-40,1,50,1u,7135.34,185
pplus_u,res_ff,-40,2,20,1u,1420.71,185
pplus_u,res_ff,-40,5,50,1u,1363.58,185
pplus_u,res_ff,-40,1,50,50u,7135.32,185
nwell,res_ff,-40,1,10,1u,13654,1000
nwell,res_ff,-40,1,50,1u,65037.9,1000
nwell,res_ff,-40,2,20,1u,9469.14,1000
nwell,res_ff,-40,5,50,1u,7937.02,1000
nwell,res_ff,-40,1,50,50u,65037.9,1000
ppolyf_u_1k,res_ff,27,1,10,1u,8401.91,1000
ppolyf_u_1k,res_ff,27,1,50,1u,41316.4,1000
ppolyf_u_1k,res_ff,27,2,20,1u,8190.35,1000
ppolyf_u_1k,res_ff,27,5,50,1u,8066.44,1000
ppolyf_u_1k,res_ff,27,1,50,50u,41316.4,1000
ppolyf_u_2k,res_ff,27,1,10,1u,17080.6,2000
ppolyf_u_2k,res_ff,27,1,50,1u,83881.8,2000
ppolyf_u_2k,res_ff,27,2,20,1u,16500.6,2000
ppolyf_u_2k,res_ff,27,5,50,1u,16165.3,2000
ppolyf_u_2k,res_ff,27,1,50,50u,83881.8,2000
ppolyf_u_3k,res_ff,27,1,10,1u,23991.5,3000
ppolyf_u_3k,res_ff,27,1,50,1u,117931,3000
ppolyf_u_3k,res_ff,27,2,20,1u,23190.3,3000
ppolyf_u_3k,res_ff,27,5,50,1u,22727,3000
ppolyf_u_3k,res_ff,27,1,50,50u,117931,3000
ppolyf_u,res_ff,27,1,10,1u,3076.02,350
ppolyf_u,res_ff,27,1,50,1u,14875.8,350
ppolyf_u,res_ff,27,2,20,1u,2934.14,350
ppolyf_u,res_ff,27,5,50,1u,2852.53,350
ppolyf_u,res_ff,27,1,50,50u,14875.8,350
npolyf_u,res_ff,27,1,10,1u,2716.85,310
npolyf_u,res_ff,27,1,50,1u,13247,310
npolyf_u,res_ff,27,2,20,1u,2601.89,310
npolyf_u,res_ff,27,5,50,1u,2535.87,310
npolyf_u,res_ff,27,1,50,50u,13247,310
ppolyf_s,res_ff,27,1,10,1u,20.3956,7.3
ppolyf_s,res_ff,27,1,50,1u,61.2684,7.3
ppolyf_s,res_ff,27,2,20,1u,15.1912,7.3
ppolyf_s,res_ff,27,5,50,1u,12.1062,7.3
ppolyf_s,res_ff,27,1,50,50u,61.2684,7.3
nplus_u,res_ff,27,1,10,1u,443.897,60
nplus_u,res_ff,27,1,50,1u,2084.72,60
nplus_u,res_ff,27,2,20,1u,447.387,60
nplus_u,res_ff,27,5,50,1u,449.645,60
nplus_u,res_ff,27,1,50,50u,2084.72,60
pplus_u,res_ff,27,1,10,1u,1644.1,185
pplus_u,res_ff,27,1,50,1u,7798.59,185
pplus_u,res_ff,27,2,20,1u,1546.36,185
pplus_u,res_ff,27,5,50,1u,1490.33,185
pplus_u,res_ff,27,1,50,50u,7798.57,185
nwell,res_ff,27,1,10,1u,15327.7,1000
nwell,res_ff,27,1,50,1u,73147,1000
nwell,res_ff,27,2,20,1u,10642.1,1000
nwell,res_ff,27,5,50,1u,8926.63,1000
nwell,res_ff,27,1,50,50u,73147,1000
ppolyf_u_1k,res_ff,125,1,10,1u,7788.25,1000
ppolyf_u_1k,res_ff,125,1,50,1u,38495.6,1000
ppolyf_u_1k,res_ff,125,2,20,1u,7616.38,1000
ppolyf_u_1k,res_ff,125,5,50,1u,7515.72,1000
ppolyf_u_1k,res_ff,125,1,50,50u,38495.6,1000
ppolyf_u_2k,res_ff,125,1,10,1u,14907.3,2000
ppolyf_u_2k,res_ff,125,1,50,1u,73248.5,2000
ppolyf_u_2k,res_ff,125,2,20,1u,14405.9,2000
ppolyf_u_2k,res_ff,125,5,50,1u,14116.1,2000
ppolyf_u_2k,res_ff,125,1,50,50u,73248.5,2000
ppolyf_u_3k,res_ff,125,1,10,1u,20943,3000
ppolyf_u_3k,res_ff,125,1,50,1u,102985,3000
ppolyf_u_3k,res_ff,125,2,20,1u,20248.4,3000
ppolyf_u_3k,res_ff,125,5,50,1u,19846.8,3000
ppolyf_u_3k,res_ff,125,1,50,50u,102985,3000
ppolyf_u,res_ff,125,1,10,1u,3053.46,350
ppolyf_u,res_ff,125,1,50,1u,14831.8,350
ppolyf_u,res_ff,125,2,20,1u,2920.54,350
ppolyf_u,res_ff,125,5,50,1u,2844.08,350
ppolyf_u,res_ff,125,1,50,50u,14831.8,350
npolyf_u,res_ff,125,1,10,1u,2405.2,310
npolyf_u,res_ff,125,1,50,1u,11718.8,310
npolyf_u,res_ff,125,2,20,1u,2302.37,310
npolyf_u,res_ff,125,5,50,1u,2243.32,310
npolyf_u,res_ff,125,1,50,50u,11718.8,310
ppolyf_s,res_ff,125,1,10,1u,24.8808,7.3
ppolyf_s,res_ff,125,1,50,1u,78.8138,7.3
ppolyf_s,res_ff,125,2,20,1u,19.0371,7.3
ppolyf_s,res_ff,125,5,50,1u,15.573,7.3
ppolyf_s,res_ff,125,1,50,50u,78.8138,7.3
nplus_u,res_ff,125,1,10,1u,504.469,60
nplus_u,res_ff,125,1,50,1u,2374.01,60
nplus_u,res_ff,125,2,20,1u,509.067,60
nplus_u,res_ff,125,5,50,1u,512.042,60
nplus_u,res_ff,125,1,50,50u,2374.01,60
pplus_u,res_ff,125,1,10,1u,1851.09,185
pplus_u,res_ff,125,1,50,1u,8893.97,185
pplus_u,res_ff,125,2,20,1u,1754.84,185
pplus_u,res_ff,125,5,50,1u,1699.66,185
pplus_u,res_ff,125,1,50,50u,8893.95,185
nwell,res_ff,125,1,10,1u,20182.5,1000
nwell,res_ff,125,1,50,1u,96516.3,1000
nwell,res_ff,125,2,20,1u,14030.8,1000
nwell,res_ff,125,5,50,1u,11778.5,1000
nwell,res_ff,125,1,50,50u,96516.3,1000
ppolyf_u_1k,res_ss,-40,1,10,1u,13550.2,1000
ppolyf_u_1k,res_ss,-40,1,50,1u,66558,1000
ppolyf_u_1k,res_ss,-40,2,20,1u,13199.8,1000
ppolyf_u_1k,res_ss,-40,5,50,1u,12994.5,1000
ppolyf_u_1k,res_ss,-40,1,50,50u,66558,1000
ppolyf_u_2k,res_ss,-40,1,10,1u,28875.6,2000
ppolyf_u_2k,res_ss,-40,1,50,1u,141914,2000
ppolyf_u_2k,res_ss,-40,2,20,1u,27908.2,2000
ppolyf_u_2k,res_ss,-40,5,50,1u,27348.9,2000
ppolyf_u_2k,res_ss,-40,1,50,50u,141914,2000
ppolyf_u_3k,res_ss,-40,1,10,1u,45067.9,3000
ppolyf_u_3k,res_ss,-40,1,50,1u,221690,3000
ppolyf_u_3k,res_ss,-40,2,20,1u,43582.1,3000
ppolyf_u_3k,res_ss,-40,5,50,1u,42723,3000
ppolyf_u_3k,res_ss,-40,1,50,50u,221690,3000
ppolyf_u,res_ss,-40,1,10,1u,4603.64,350
ppolyf_u,res_ss,-40,1,50,1u,22462.4,350
ppolyf_u,res_ss,-40,2,20,1u,4415.52,350
ppolyf_u,res_ss,-40,5,50,1u,4307.3,350
ppolyf_u,res_ss,-40,1,50,50u,22462.4,350
npolyf_u,res_ss,-40,1,10,1u,4386.77,310
npolyf_u,res_ss,-40,1,50,1u,21582.5,310
npolyf_u,res_ss,-40,2,20,1u,4224.63,310
npolyf_u,res_ss,-40,5,50,1u,4131.52,310
npolyf_u,res_ss,-40,1,50,50u,21582.5,310
ppolyf_s,res_ss,-40,1,10,1u,129.705,7.3
ppolyf_s,res_ss,-40,1,50,1u,611.286,7.3
ppolyf_s,res_ss,-40,2,20,1u,124.105,7.3
ppolyf_s,res_ss,-40,5,50,1u,120.786,7.3
ppolyf_s,res_ss,-40,1,50,50u,611.286,7.3
nplus_u,res_ss,-40,1,10,1u,655.442,60
nplus_u,res_ss,-40,1,50,1u,3149.11,60
nplus_u,res_ss,-40,2,20,1u,669.879,60
nplus_u,res_ss,-40,5,50,1u,679.221,60
nplus_u,res_ss,-40,1,50,50u,3149.11,60
pplus_u,res_ss,-40,1,10,1u,2294.84,185
pplus_u,res_ss,-40,1,50,1u,11007.7,185
pplus_u,res_ss,-40,2,20,1u,2173.29,185
pplus_u,res_ss,-40,5,50,1u,2103.6,185
pplus_u,res_ss,-40,1,50,50u,11007.7,185
nwell,res_ss,-40,1,10,1u,20063.9,1000
nwell,res_ss,-40,1,50,1u,97139.7,1000
nwell,res_ss,-40,2,20,1u,14054.7,1000
nwell,res_ss,-40,5,50,1u,11854.6,1000
nwell,res_ss,-40,1,50,50u,97139.7,1000
ppolyf_u_1k,res_ss,27,1,10,1u,12516.2,1000
ppolyf_u_1k,res_ss,27,1,50,1u,61887.9,1000
ppolyf_u_1k,res_ss,27,2,20,1u,12242.8,1000
ppolyf_u_1k,res_ss,27,5,50,1u,12082.7,1000
ppolyf_u_1k,res_ss,27,1,50,50u,61887.9,1000
ppolyf_u_2k,res_ss,27,1,10,1u,25586.4,2000
ppolyf_u_2k,res_ss,27,1,50,1u,125788,2000
ppolyf_u_2k,res_ss,27,2,20,1u,24734.1,2000
ppolyf_u_2k,res_ss,27,5,50,1u,24241.3,2000
ppolyf_u_2k,res_ss,27,1,50,50u,125788,2000
ppolyf_u_3k,res_ss,27,1,10,1u,39939.9,3000
ppolyf_u_3k,res_ss,27,1,50,1u,196505,3000
ppolyf_u_3k,res_ss,27,2,20,1u,38628,3000
ppolyf_u_3k,res_ss,27,5,50,1u,37869.6,3000
ppolyf_u_3k,res_ss,27,1,50,50u,196505,3000
ppolyf_u,res_ss,27,1,10,1u,4550.99,350
ppolyf_u,res_ss,27,1,50,1u,22250.7,350
ppolyf_u,res_ss,27,2,20,1u,4370.52,350
ppolyf_u,res_ss,27,5,50,1u,4266.7,350
ppolyf_u,res_ss,27,1,50,50u,22250.7,350
npolyf_u,res_ss,27,1,10,1u,3980.46,310
npolyf_u,res_ss,27,1,50,1u,19565.1,310
npolyf_u,res_ss,27,2,20,1u,3831.11,310
npolyf_u,res_ss,27,5,50,1u,3745.34,310
npolyf_u,res_ss,27,1,50,50u,19565.1,310
ppolyf_s,res_ss,27,1,10,1u,163.446,7.3
ppolyf_s,res_ss,27,1,50,1u,776.537,7.3
ppolyf_s,res_ss,27,2,20,1u,157.163,7.3
ppolyf_s,res_ss,27,5,50,1u,153.438,7.3
ppolyf_s,res_ss,27,1,50,50u,776.537,7.3
nplus_u,res_ss,27,1,10,1u,717.366,60
nplus_u,res_ss,27,1,50,1u,3452.06,60
nplus_u,res_ss,27,2,20,1u,733.878,60
nplus_u,res_ss,27,5,50,1u,744.563,60
nplus_u,res_ss,27,1,50,50u,3452.06,60
pplus_u,res_ss,27,1,10,1u,2492.99,185
pplus_u,res_ss,27,1,50,1u,12043.1,185
pplus_u,res_ss,27,2,20,1u,2371.25,185
pplus_u,res_ss,27,5,50,1u,2301.45,185
pplus_u,res_ss,27,1,50,50u,12043,185
nwell,res_ss,27,1,10,1u,22540.4,1000
nwell,res_ss,27,1,50,1u,109269,1000
nwell,res_ss,27,2,20,1u,15801.9,1000
nwell,res_ss,27,5,50,1u,13334.9,1000
nwell,res_ss,27,1,50,50u,109269,1000
ppolyf_u_1k,res_ss,125,1,10,1u,11626.6,1000
ppolyf_u_1k,res_ss,125,1,50,1u,57687.6,1000
ppolyf_u_1k,res_ss,125,2,20,1u,11397.1,1000
ppolyf_u_1k,res_ss,125,5,50,1u,11262.7,1000
ppolyf_u_1k,res_ss,125,1,50,50u,57687.6,1000
ppolyf_u_2k,res_ss,125,1,10,1u,22335.9,2000
ppolyf_u_2k,res_ss,125,1,50,1u,109848,2000
ppolyf_u_2k,res_ss,125,2,20,1u,21596.7,2000
ppolyf_u_2k,res_ss,125,5,50,1u,21169.3,2000
ppolyf_u_2k,res_ss,125,1,50,50u,109848,2000
ppolyf_u_3k,res_ss,125,1,10,1u,34871.6,3000
ppolyf_u_3k,res_ss,125,1,50,1u,171609,3000
ppolyf_u_3k,res_ss,125,2,20,1u,33731,3000
ppolyf_u_3k,res_ss,125,5,50,1u,33071.6,3000
ppolyf_u_3k,res_ss,125,1,50,50u,171609,3000
ppolyf_u,res_ss,125,1,10,1u,4525.74,350
ppolyf_u,res_ss,125,1,50,1u,22193.2,350
ppolyf_u,res_ss,125,2,20,1u,4354.3,350
ppolyf_u,res_ss,125,5,50,1u,4255.67,350
ppolyf_u,res_ss,125,1,50,50u,22193.2,350
npolyf_u,res_ss,125,1,10,1u,3522.81,310
npolyf_u,res_ss,125,1,50,1u,17307,310
npolyf_u,res_ss,125,2,20,1u,3389.58,310
npolyf_u,res_ss,125,5,50,1u,3313.06,310
npolyf_u,res_ss,125,1,50,50u,17307,310
ppolyf_s,res_ss,125,1,10,1u,213.641,7.3
ppolyf_s,res_ss,125,1,50,1u,1022.64,7.3
ppolyf_s,res_ss,125,2,20,1u,206.373,7.3
ppolyf_s,res_ss,125,5,50,1u,202.065,7.3
ppolyf_s,res_ss,125,1,50,50u,1022.64,7.3
nplus_u,res_ss,125,1,10,1u,816.058,60
nplus_u,res_ss,125,1,50,1u,3931.97,60
nplus_u,res_ss,125,2,20,1u,835.495,60
nplus_u,res_ss,125,5,50,1u,848.071,60
nplus_u,res_ss,125,1,50,50u,3931.97,60
pplus_u,res_ss,125,1,10,1u,2822.52,185
pplus_u,res_ss,125,1,50,1u,13751.1,185
pplus_u,res_ss,125,2,20,1u,2698.8,185
pplus_u,res_ss,125,5,50,1u,2627.87,185
pplus_u,res_ss,125,1,50,50u,13751.1,185
nwell,res_ss,125,1,10,1u,29704.7,1000
nwell,res_ss,125,1,50,1u,144205,1000
nwell,res_ss,125,2,20,1u,20842.8,1000
nwell,res_ss,125,5,50,1u,17598.4,1000
nwell,res_ss,125,1,50,50u,144205,1000
