device,res_corner,temp_c,rsh_extracted_ohm_sq,rsh_model_card_ohm_sq,rsh_ratio_extracted_over_card,r_w1_l10_ohm,r_w1_l50_ohm,r_w2_l20_ohm,r_w5_l50_ohm,area_per_kohm_um2,r_w1_l50_at_50ua_ohm,dr_over_r_1ua_to_50ua_ppm
nwell,res_ss,-40,1926.89,1000,1.92689,20063.9,97139.7,14054.7,11854.6,0.514723,97139.7,0
nwell,res_ss,27,2168.22,1000,2.16822,22540.4,109269,15801.9,13334.9,0.457586,109269,0
nwell,res_ss,125,2862.51,1000,2.86251,29704.7,144205,20842.8,17598.4,0.346729,144205,0
nwell,res_typical,-40,1605.75,1000,1.60575,16858.9,81088.8,11761.9,9895.83,0.616608,81088.8,0
nwell,res_typical,27,1806.85,1000,1.80685,18934.1,91208.1,13222,11130.8,0.548197,91208.1,0
nwell,res_typical,125,2385.43,1000,2.38543,24943.6,120361,17436.8,14688.5,0.415417,120361,0
pplus_u,res_ff,-40,140.374,185,0.75878,1520.37,7135.34,1420.71,1363.58,7.00737,7135.32,-2.80295
pplus_u,res_ff,27,153.862,185,0.831688,1644.1,7798.59,1546.36,1490.33,6.41142,7798.57,-2.56457
pplus_u,res_ff,125,176.072,185,0.951741,1851.09,8893.97,1754.84,1699.66,5.62179,8893.95,-2.24871
pplus_u,res_ss,-40,217.822,185,1.17741,2294.84,11007.7,2173.29,2103.6,4.54227,11007.7,0
pplus_u,res_ss,27,238.753,185,1.29056,2492.99,12043.1,2371.25,2301.45,4.15175,12043,-8.30351
pplus_u,res_ss,125,273.214,185,1.47684,2822.52,13751.1,2698.8,2627.87,3.63607,13751.1,0
pplus_u,res_typical,-40,179.098,185,0.968099,1907.61,9071.54,1797,1733.59,5.51174,9071.51,-3.30705
pplus_u,res_typical,27,196.307,185,1.06112,2068.55,9920.83,1958.81,1895.89,5.0399,9920.79,-4.03192
pplus_u,res_typical,125,224.642,185,1.21428,2336.81,11322.5,2226.82,2163.76,4.41599,11322.5,0
ppolyf_s,res_ff,-40,0.802635,7.3,0.10995,17.3393,49.4447,12.587,9.76992,1011.23,49.4447,0
ppolyf_s,res_ff,27,1.02182,7.3,0.139975,20.3956,61.2684,15.1912,12.1062,816.081,61.2684,0
ppolyf_s,res_ff,125,1.34832,7.3,0.184702,24.8808,78.8138,19.0371,15.573,634.407,78.8138,0
ppolyf_s,res_ss,-40,12.0395,7.3,1.64925,129.705,611.286,124.105,120.786,81.7948,611.286,0
ppolyf_s,res_ss,27,15.3273,7.3,2.09963,163.446,776.537,157.163,153.438,64.3884,776.537,0
ppolyf_s,res_ss,125,20.225,7.3,2.77054,213.641,1022.64,206.373,202.065,48.8931,1022.64,0
ppolyf_s,res_typical,-40,5.85923,7.3,0.802634,67.9038,302.273,62.7702,59.727,165.413,302.273,0
ppolyf_s,res_typical,27,7.45927,7.3,1.02182,84.7683,383.139,79.0784,75.7056,130.501,383.139,0
ppolyf_s,res_typical,125,9.84277,7.3,1.34833,109.823,503.534,103.338,99.4946,99.2982,503.534,0
ppolyf_u,res_ff,-40,297.647,350,0.85042,3115.42,15021.3,2966.24,2880.42,3.32861,15021.3,0
ppolyf_u,res_ff,27,294.994,350,0.842841,3076.02,14875.8,2934.14,2852.53,3.36116,14875.8,0
ppolyf_u,res_ff,125,294.459,350,0.84131,3053.46,14831.8,2920.54,2844.08,3.37113,14831.8,0
ppolyf_u,res_ss,-40,446.469,350,1.27563,4603.64,22462.4,4415.52,4307.3,2.22594,22462.4,0
ppolyf_u,res_ss,27,442.493,350,1.26426,4550.99,22250.7,4370.52,4266.7,2.24712,22250.7,0
ppolyf_u,res_ss,125,441.686,350,1.26196,4525.74,22193.2,4354.3,4255.67,2.25294,22193.2,0
ppolyf_u,res_typical,-40,372.057,350,1.06302,3859.53,18741.8,3690.88,3593.86,2.66783,18741.8,0
ppolyf_u,res_typical,27,368.745,350,1.05356,3813.5,18563.3,3652.33,3559.61,2.69349,18563.3,0
ppolyf_u,res_typical,125,368.072,350,1.05164,3789.6,18512.5,3637.42,3549.87,2.70088,18512.5,0
ppolyf_u_1k,res_ff,-40,883.461,1000,0.883461,9132.95,44471.4,8848.83,8682.42,1.12432,44471.4,0
ppolyf_u_1k,res_ff,27,822.862,1000,0.822862,8401.91,41316.4,8190.35,8066.44,1.21017,41316.4,0
ppolyf_u_1k,res_ff,125,767.684,1000,0.767684,7788.25,38495.6,7616.38,7515.72,1.29885,38495.6,0
ppolyf_u_1k,res_ss,-40,1325.2,1000,1.3252,13550.2,66558,13199.8,12994.5,0.751224,66558,0
ppolyf_u_1k,res_ss,27,1234.29,1000,1.23429,12516.2,61887.9,12242.8,12082.7,0.807912,61887.9,0
ppolyf_u_1k,res_ss,125,1151.53,1000,1.15153,11626.6,57687.6,11397.1,11262.7,0.866737,57687.6,0
ppolyf_u_1k,res_typical,-40,1104.33,1000,1.10433,11341.6,55514.7,11024.3,10838.5,0.900662,55514.7,0
ppolyf_u_1k,res_typical,27,1028.58,1000,1.02858,10459.1,51602.2,10216.6,10074.6,0.968951,51602.2,0
ppolyf_u_1k,res_typical,125,959.604,1000,0.959604,9707.45,48091.6,9506.75,9389.21,1.03968,48091.6,0
ppolyf_u_2k,res_ff,-40,1883.97,2000,0.941985,19280.2,94639,18620,18238.4,0.528323,94639,0
ppolyf_u_2k,res_ff,27,1670.03,2000,0.835015,17080.6,83881.8,16500.6,16165.3,0.596077,83881.8,0
ppolyf_u_2k,res_ff,125,1458.53,2000,0.729265,14907.3,73248.5,14405.9,14116.1,0.682608,73248.5,0
ppolyf_u_2k,res_ss,-40,2825.96,2000,1.41298,28875.6,141914,27908.2,27348.9,0.352326,141914,0
ppolyf_u_2k,res_ss,27,2505.04,2000,1.25252,25586.4,125788,24734.1,24241.3,0.397494,125788,0
ppolyf_u_2k,res_ss,125,2187.8,2000,1.0939,22335.9,109848,21596.7,21169.3,0.455174,109848,0
ppolyf_u_2k,res_typical,-40,2354.95,2000,1.17748,24077.9,118276,23264.1,22793.7,0.42274,118276,0
ppolyf_u_2k,res_typical,27,2087.54,2000,1.04377,21333.5,104835,20617.3,20203.3,0.47694,104835,0
ppolyf_u_2k,res_typical,125,1823.16,2000,0.911581,18621.6,91548.1,18001.3,17642.7,0.546161,91548.1,0
ppolyf_u_3k,res_ff,-40,2649.34,3000,0.883113,27076.5,133050,26166.7,25640.7,0.375799,133050,0
ppolyf_u_3k,res_ff,27,2348.49,3000,0.782829,23991.5,117931,23190.3,22727,0.423977,117931,0
ppolyf_u_3k,res_ff,125,2051.05,3000,0.683683,20943,102985,20248.4,19846.8,0.485508,102985,0
ppolyf_u_3k,res_ss,-40,4415.55,3000,1.47185,45067.9,221690,43582.1,42723,0.22554,221690,0
ppolyf_u_3k,res_ss,27,3914.13,3000,1.30471,39939.9,196505,38628,37869.6,0.254446,196505,0
ppolyf_u_3k,res_ss,125,3418.43,3000,1.13948,34871.6,171609,33731,33071.6,0.29136,171609,0
ppolyf_u_3k,res_typical,-40,3532.44,3000,1.17748,36072.2,177370,34874.4,34181.9,0.281897,177370,0
ppolyf_u_3k,res_typical,27,3131.31,3000,1.04377,31965.7,157218,30909.2,30298.3,0.31803,157218,0
ppolyf_u_3k,res_typical,125,2734.74,3000,0.911581,27907.3,137297,26989.7,26459.2,0.364174,137297,0
