device,corner,temp_c,w_um,l_um,vsb_v,i_criterion_a,vth_v
nfet_06v0,typical,27,10,1.20u,0,8.33333e-07,0.717496
nfet_06v0,typical,27,10,1.20u,1,8.33333e-07,1.10447
pfet_06v0,typical,27,10,0.55u,0,1.81818e-06,0.928208
pfet_06v0,typical,27,10,0.55u,1,1.81818e-06,1.289
pfet_06v0,typical,27,10,1.20u,0,8.33333e-07,0.964243
pfet_06v0,typical,27,10,1.20u,1,8.33333e-07,1.37136
nfet_03v3,typical,125,10,0.28u,0,3.57143e-06,0.509378
nfet_03v3,typical,125,10,0.28u,1,3.57143e-06,0.686116
nfet_03v3,typical,125,10,0.50u,0,2e-06,0.565879
nfet_03v3,typical,125,10,0.50u,1,2e-06,0.857336
nfet_03v3,typical,125,10,1.00u,0,1e-06,0.54819
nfet_03v3,typical,125,10,1.00u,1,1e-06,0.869157
pfet_03v3,typical,125,10,0.28u,0,3.57143e-06,0.680458
pfet_03v3,typical,125,10,0.28u,1,3.57143e-06,0.948006
pfet_03v3,typical,125,10,0.50u,0,2e-06,0.741026
pfet_03v3,typical,125,10,0.50u,1,2e-06,1.1089
pfet_03v3,typical,125,10,1.00u,0,1e-06,0.751489
pfet_03v3,typical,125,10,1.00u,1,1e-06,1.14566
nfet_06v0,typical,125,10,0.60u,0,1.66667e-06,0.596113
nfet_06v0,typical,125,10,0.60u,1,1.66667e-06,0.927687
nfet_06v0,typical,125,10,1.20u,0,8.33333e-07,0.607421
nfet_06v0,typical,125,10,1.20u,1,8.33333e-07,1.00949
pfet_06v0,typical,125,10,0.55u,0,1.81818e-06,0.824628
pfet_06v0,typical,125,10,0.55u,1,1.81818e-06,1.21294
pfet_06v0,typical,125,10,1.20u,0,8.33333e-07,0.869966
pfet_06v0,typical,125,10,1.20u,1,8.33333e-07,1.30495
nfet_03v3,ff,-40,10,0.28u,0,3.57143e-06,0.578172
nfet_03v3,ff,-40,10,0.28u,1,3.57143e-06,0.736742
nfet_03v3,ff,-40,10,0.50u,0,2e-06,0.623168
nfet_03v3,ff,-40,10,0.50u,1,2e-06,0.890427
nfet_03v3,ff,-40,10,1.00u,0,1e-06,0.604475
nfet_03v3,ff,-40,10,1.00u,1,1e-06,0.899599
pfet_03v3,ff,-40,10,0.28u,0,3.57143e-06,0.730254
pfet_03v3,ff,-40,10,0.28u,1,3.57143e-06,0.966753
pfet_03v3,ff,-40,10,0.50u,0,2e-06,0.780105
pfet_03v3,ff,-40,10,0.50u,1,2e-06,1.11499
pfet_03v3,ff,-40,10,1.00u,0,1e-06,0.780343
pfet_03v3,ff,-40,10,1.00u,1,1e-06,1.14282
nfet_06v0,ff,-40,10,0.60u,0,1.66667e-06,0.634579
nfet_06v0,ff,-40,10,0.60u,1,1.66667e-06,0.932054
nfet_06v0,ff,-40,10,1.20u,0,8.33333e-07,0.663973
nfet_06v0,ff,-40,10,1.20u,1,8.33333e-07,1.04175
pfet_06v0,ff,-40,10,0.55u,0,1.81818e-06,0.863332
pfet_06v0,ff,-40,10,0.55u,1,1.81818e-06,1.19805
pfet_06v0,ff,-40,10,1.20u,0,8.33333e-07,0.899969
pfet_06v0,ff,-40,10,1.20u,1,8.33333e-07,1.28654
nfet_03v3,ff,27,10,0.28u,0,3.57143e-06,0.50504
nfet_03v3,ff,27,10,0.28u,1,3.57143e-06,0.667153
nfet_03v3,ff,27,10,0.50u,0,2e-06,0.551744
nfet_03v3,ff,27,10,0.50u,1,2e-06,0.822626
nfet_03v3,ff,27,10,1.00u,0,1e-06,0.534149
nfet_03v3,ff,27,10,1.00u,1,1e-06,0.832926
pfet_03v3,ff,27,10,0.28u,0,3.57143e-06,0.656455
pfet_03v3,ff,27,10,0.28u,1,3.57143e-06,0.897563
pfet_03v3,ff,27,10,0.50u,0,2e-06,0.71188
pfet_03v3,ff,27,10,0.50u,1,2e-06,1.05195
pfet_03v3,ff,27,10,1.00u,0,1e-06,0.71624
pfet_03v3,ff,27,10,1.00u,1,1e-06,1.08303
nfet_06v0,ff,27,10,0.60u,0,1.66667e-06,0.56072
nfet_06v0,ff,27,10,0.60u,1,1.66667e-06,0.868024
nfet_06v0,ff,27,10,1.20u,0,8.33333e-07,0.584946
nfet_06v0,ff,27,10,1.20u,1,8.33333e-07,0.97229
pfet_06v0,ff,27,10,0.55u,0,1.81818e-06,0.783967
pfet_06v0,ff,27,10,0.55u,1,1.81818e-06,1.13749
pfet_06v0,ff,27,10,1.20u,0,8.33333e-07,0.826952
pfet_06v0,ff,27,10,1.20u,1,8.33333e-07,1.23293
nfet_03v3,ff,125,10,0.28u,0,3.57143e-06,0.403202
nfet_03v3,ff,125,10,0.28u,1,3.57143e-06,0.571538
nfet_03v3,ff,125,10,0.50u,0,2e-06,0.45296
nfet_03v3,ff,125,10,0.50u,1,2e-06,0.73032
nfet_03v3,ff,125,10,1.00u,0,1e-06,0.436909
nfet_03v3,ff,125,10,1.00u,1,1e-06,0.742216
pfet_03v3,ff,125,10,0.28u,0,3.57143e-06,0.546944
pfet_03v3,ff,125,10,0.28u,1,3.57143e-06,0.79563
pfet_03v3,ff,125,10,0.50u,0,2e-06,0.611569
pfet_03v3,ff,125,10,0.50u,1,2e-06,0.960319
pfet_03v3,ff,125,10,1.00u,0,1e-06,0.622429
pfet_03v3,ff,125,10,1.00u,1,1e-06,0.99668
nfet_06v0,ff,125,10,0.60u,0,1.66667e-06,0.455624
nfet_06v0,ff,125,10,0.60u,1,1.66667e-06,0.778466
nfet_06v0,ff,125,10,1.20u,0,8.33333e-07,0.473442
nfet_06v0,ff,125,10,1.20u,1,8.33333e-07,0.876051
pfet_06v0,ff,125,10,0.55u,0,1.81818e-06,0.673886
pfet_06v0,ff,125,10,0.55u,1,1.81818e-06,1.05517
pfet_06v0,ff,125,10,1.20u,0,8.33333e-07,0.728451
pfet_06v0,ff,125,10,1.20u,1,8.33333e-07,1.16251
nfet_03v3,ss,-40,10,0.28u,0,3.57143e-06,0.785007
nfet_03v3,ss,-40,10,0.28u,1,3.57143e-06,0.960886
nfet_03v3,ss,-40,10,0.50u,0,2e-06,0.84506
nfet_03v3,ss,-40,10,0.50u,1,2e-06,1.14104
nfet_03v3,ss,-40,10,1.00u,0,1e-06,0.823979
nfet_03v3,ss,-40,10,1.00u,1,1e-06,1.15074
pfet_03v3,ss,-40,10,0.28u,0,3.57143e-06,0.986024
pfet_03v3,ss,-40,10,0.28u,1,3.57143e-06,1.26112
pfet_03v3,ss,-40,10,0.50u,0,2e-06,1.03039
pfet_03v3,ss,-40,10,0.50u,1,2e-06,1.40447
pfet_03v3,ss,-40,10,1.00u,0,1e-06,1.03106
pfet_03v3,ss,-40,10,1.00u,1,1e-06,1.43419
nfet_06v0,ss,-40,10,0.60u,0,1.66667e-06,0.908171
nfet_06v0,ss,-40,10,0.60u,1,1.66667e-06,1.22993
nfet_06v0,ss,-40,10,1.20u,0,8.33333e-07,0.9176
nfet_06v0,ss,-40,10,1.20u,1,8.33333e-07,1.29559
pfet_06v0,ss,-40,10,0.55u,0,1.81818e-06,1.1467
pfet_06v0,ss,-40,10,0.55u,1,1.81818e-06,1.49793
pfet_06v0,ss,-40,10,1.20u,0,8.33333e-07,1.16892
pfet_06v0,ss,-40,10,1.20u,1,8.33333e-07,1.55833
nfet_03v3,ss,27,10,0.28u,0,3.57143e-06,0.713871
nfet_03v3,ss,27,10,0.28u,1,3.57143e-06,0.893103
nfet_03v3,ss,27,10,0.50u,0,2e-06,0.775028
nfet_03v3,ss,27,10,0.50u,1,2e-06,1.07447
nfet_03v3,ss,27,10,1.00u,0,1e-06,0.754718
nfet_03v3,ss,27,10,1.00u,1,1e-06,1.08504
pfet_03v3,ss,27,10,0.28u,0,3.57143e-06,0.916322
pfet_03v3,ss,27,10,0.28u,1,3.57143e-06,1.19591
pfet_03v3,ss,27,10,0.50u,0,2e-06,0.9654
pfet_03v3,ss,27,10,0.50u,1,2e-06,1.34458
pfet_03v3,ss,27,10,1.00u,0,1e-06,0.969662
pfet_03v3,ss,27,10,1.00u,1,1e-06,1.37704
nfet_06v0,ss,27,10,0.60u,0,1.66667e-06,0.835228
nfet_06v0,ss,27,10,0.60u,1,1.66667e-06,1.16642
nfet_06v0,ss,27,10,1.20u,0,8.33333e-07,0.840377
nfet_06v0,ss,27,10,1.20u,1,8.33333e-07,1.22769
pfet_06v0,ss,27,10,0.55u,0,1.81818e-06,1.07659
pfet_06v0,ss,27,10,0.55u,1,1.81818e-06,1.44658
pfet_06v0,ss,27,10,1.20u,0,8.33333e-07,1.10213
pfet_06v0,ss,27,10,1.20u,1,8.33333e-07,1.511
nfet_03v3,ss,125,10,0.28u,0,3.57143e-06,0.615598
nfet_03v3,ss,125,10,0.28u,1,3.57143e-06,0.800723
nfet_03v3,ss,125,10,0.50u,0,2e-06,0.678769
nfet_03v3,ss,125,10,0.50u,1,2e-06,0.984325
nfet_03v3,ss,125,10,1.00u,0,1e-06,0.659511
nfet_03v3,ss,125,10,1.00u,1,1e-06,0.996118
pfet_03v3,ss,125,10,0.28u,0,3.57143e-06,0.813413
pfet_03v3,ss,125,10,0.28u,1,3.57143e-06,1.10005
pfet_03v3,ss,125,10,0.50u,0,2e-06,0.870497
pfet_03v3,ss,125,10,0.50u,1,2e-06,1.25785
pfet_03v3,ss,125,10,1.00u,0,1e-06,0.880486
pfet_03v3,ss,125,10,1.00u,1,1e-06,1.29484
nfet_06v0,ss,125,10,0.60u,0,1.66667e-06,0.732414
nfet_06v0,ss,125,10,0.60u,1,1.66667e-06,1.07861
nfet_06v0,ss,125,10,1.20u,0,8.33333e-07,0.732093
nfet_06v0,ss,125,10,1.20u,1,8.33333e-07,1.1343
pfet_06v0,ss,125,10,0.55u,0,1.81818e-06,0.981459
pfet_06v0,ss,125,10,0.55u,1,1.81818e-06,1.37883
pfet_06v0,ss,125,10,1.20u,0,8.33333e-07,1.01297
pfet_06v0,ss,125,10,1.20u,1,8.33333e-07,1.44957
nfet_03v3,fs,-40,10,0.28u,0,3.57143e-06,0.605052
nfet_03v3,fs,-40,10,0.28u,1,3.57143e-06,0.76791
nfet_03v3,fs,-40,10,0.50u,0,2e-06,0.653546
nfet_03v3,fs,-40,10,0.50u,1,2e-06,0.927916
nfet_03v3,fs,-40,10,1.00u,0,1e-06,0.634189
nfet_03v3,fs,-40,10,1.00u,1,1e-06,0.937133
pfet_03v3,fs,-40,10,0.28u,0,3.57143e-06,0.952323
pfet_03v3,fs,-40,10,0.28u,1,3.57143e-06,1.2189
pfet_03v3,fs,-40,10,0.50u,0,2e-06,0.996245
pfet_03v3,fs,-40,10,0.50u,1,2e-06,1.36091
pfet_03v3,fs,-40,10,1.00u,0,1e-06,0.996435
pfet_03v3,fs,-40,10,1.00u,1,1e-06,1.38968
nfet_06v0,fs,-40,10,0.60u,0,1.66667e-06,0.670811
nfet_06v0,fs,-40,10,0.60u,1,1.66667e-06,0.972108
nfet_06v0,fs,-40,10,1.20u,0,8.33333e-07,0.696959
nfet_06v0,fs,-40,10,1.20u,1,8.33333e-07,1.07477
pfet_06v0,fs,-40,10,0.55u,0,1.81818e-06,1.09922
pfet_06v0,fs,-40,10,0.55u,1,1.81818e-06,1.44695
pfet_06v0,fs,-40,10,1.20u,0,8.33333e-07,1.12493
pfet_06v0,fs,-40,10,1.20u,1,8.33333e-07,1.51365
nfet_03v3,fs,27,10,0.28u,0,3.57143e-06,0.532288
nfet_03v3,fs,27,10,0.28u,1,3.57143e-06,0.698641
nfet_03v3,fs,27,10,0.50u,0,2e-06,0.582392
nfet_03v3,fs,27,10,0.50u,1,2e-06,0.860361
nfet_03v3,fs,27,10,1.00u,0,1e-06,0.564083
nfet_03v3,fs,27,10,1.00u,1,1e-06,0.87067
pfet_03v3,fs,27,10,0.28u,0,3.57143e-06,0.881981
pfet_03v3,fs,27,10,0.28u,1,3.57143e-06,1.15299
pfet_03v3,fs,27,10,0.50u,0,2e-06,0.930689
pfet_03v3,fs,27,10,0.50u,1,2e-06,1.30041
pfet_03v3,fs,27,10,1.00u,0,1e-06,0.934534
pfet_03v3,fs,27,10,1.00u,1,1e-06,1.33199
nfet_06v0,fs,27,10,0.60u,0,1.66667e-06,0.59701
nfet_06v0,fs,27,10,0.60u,1,1.66667e-06,0.908081
nfet_06v0,fs,27,10,1.20u,0,8.33333e-07,0.618162
nfet_06v0,fs,27,10,1.20u,1,8.33333e-07,1.0055
pfet_06v0,fs,27,10,0.55u,0,1.81818e-06,1.02708
pfet_06v0,fs,27,10,0.55u,1,1.81818e-06,1.39353
pfet_06v0,fs,27,10,1.20u,0,8.33333e-07,1.05688
pfet_06v0,fs,27,10,1.20u,1,8.33333e-07,1.46502
nfet_03v3,fs,125,10,0.28u,0,3.57143e-06,0.431075
nfet_03v3,fs,125,10,0.28u,1,3.57143e-06,0.603604
nfet_03v3,fs,125,10,0.50u,0,2e-06,0.484098
nfet_03v3,fs,125,10,0.50u,1,2e-06,0.768489
nfet_03v3,fs,125,10,1.00u,0,1e-06,0.467243
nfet_03v3,fs,125,10,1.00u,1,1e-06,0.780333
pfet_03v3,fs,125,10,0.28u,0,3.57143e-06,0.778043
pfet_03v3,fs,125,10,0.28u,1,3.57143e-06,1.05608
pfet_03v3,fs,125,10,0.50u,0,2e-06,0.834886
pfet_03v3,fs,125,10,0.50u,1,2e-06,1.21273
pfet_03v3,fs,125,10,1.00u,0,1e-06,0.844555
pfet_03v3,fs,125,10,1.00u,1,1e-06,1.24895
nfet_06v0,fs,125,10,0.60u,0,1.66667e-06,0.492124
nfet_06v0,fs,125,10,0.60u,1,1.66667e-06,0.818662
nfet_06v0,fs,125,10,1.20u,0,8.33333e-07,0.507041
nfet_06v0,fs,125,10,1.20u,1,8.33333e-07,0.9096
pfet_06v0,fs,125,10,0.55u,0,1.81818e-06,0.928724
pfet_06v0,fs,125,10,0.55u,1,1.81818e-06,1.32258
pfet_06v0,fs,125,10,1.20u,0,8.33333e-07,0.965838
pfet_06v0,fs,125,10,1.20u,1,8.33333e-07,1.40174
nfet_03v3,sf,-40,10,0.28u,0,3.57143e-06,0.758185
nfet_03v3,sf,-40,10,0.28u,1,3.57143e-06,0.929799
nfet_03v3,sf,-40,10,0.50u,0,2e-06,0.814752
nfet_03v3,sf,-40,10,0.50u,1,2e-06,1.10364
nfet_03v3,sf,-40,10,1.00u,0,1e-06,0.79428
nfet_03v3,sf,-40,10,1.00u,1,1e-06,1.11324
pfet_03v3,sf,-40,10,0.28u,0,3.57143e-06,0.764043
pfet_03v3,sf,-40,10,0.28u,1,3.57143e-06,1.00904
pfet_03v3,sf,-40,10,0.50u,0,2e-06,0.814116
pfet_03v3,sf,-40,10,0.50u,1,2e-06,1.1584
pfet_03v3,sf,-40,10,1.00u,0,1e-06,0.814885
pfet_03v3,sf,-40,10,1.00u,1,1e-06,1.18727
nfet_06v0,sf,-40,10,0.60u,0,1.66667e-06,0.873574
nfet_06v0,sf,-40,10,0.60u,1,1.66667e-06,1.19046
nfet_06v0,sf,-40,10,1.20u,0,8.33333e-07,0.886987
nfet_06v0,sf,-40,10,1.20u,1,8.33333e-07,1.26473
pfet_06v0,sf,-40,10,0.55u,0,1.81818e-06,0.910102
pfet_06v0,sf,-40,10,0.55u,1,1.81818e-06,1.2472
pfet_06v0,sf,-40,10,1.20u,0,8.33333e-07,0.944981
pfet_06v0,sf,-40,10,1.20u,1,8.33333e-07,1.33191
nfet_03v3,sf,27,10,0.28u,0,3.57143e-06,0.686669
nfet_03v3,sf,27,10,0.28u,1,3.57143e-06,0.861673
nfet_03v3,sf,27,10,0.50u,0,2e-06,0.744436
nfet_03v3,sf,27,10,0.50u,1,2e-06,1.03681
nfet_03v3,sf,27,10,1.00u,0,1e-06,0.724792
nfet_03v3,sf,27,10,1.00u,1,1e-06,1.04733
pfet_03v3,sf,27,10,0.28u,0,3.57143e-06,0.690945
pfet_03v3,sf,27,10,0.28u,1,3.57143e-06,0.940534
pfet_03v3,sf,27,10,0.50u,0,2e-06,0.746488
pfet_03v3,sf,27,10,0.50u,1,2e-06,1.09594
pfet_03v3,sf,27,10,1.00u,0,1e-06,0.751321
pfet_03v3,sf,27,10,1.00u,1,1e-06,1.12801
nfet_06v0,sf,27,10,0.60u,0,1.66667e-06,0.800451
nfet_06v0,sf,27,10,0.60u,1,1.66667e-06,1.12682
nfet_06v0,sf,27,10,1.20u,0,8.33333e-07,0.809471
nfet_06v0,sf,27,10,1.20u,1,8.33333e-07,1.19657
pfet_06v0,sf,27,10,0.55u,0,1.81818e-06,0.831987
pfet_06v0,sf,27,10,0.55u,1,1.81818e-06,1.18786
pfet_06v0,sf,27,10,1.20u,0,8.33333e-07,0.872861
pfet_06v0,sf,27,10,1.20u,1,8.33333e-07,1.2792
nfet_03v3,sf,125,10,0.28u,0,3.57143e-06,0.587768
nfet_03v3,sf,125,10,0.28u,1,3.57143e-06,0.768703
nfet_03v3,sf,125,10,0.50u,0,2e-06,0.647692
nfet_03v3,sf,125,10,0.50u,1,2e-06,0.946217
nfet_03v3,sf,125,10,1.00u,0,1e-06,0.629182
nfet_03v3,sf,125,10,1.00u,1,1e-06,0.958027
pfet_03v3,sf,125,10,0.28u,0,3.57143e-06,0.58255
pfet_03v3,sf,125,10,0.28u,1,3.57143e-06,0.839689
pfet_03v3,sf,125,10,0.50u,0,2e-06,0.647146
pfet_03v3,sf,125,10,0.50u,1,2e-06,1.00523
pfet_03v3,sf,125,10,1.00u,0,1e-06,0.658392
pfet_03v3,sf,125,10,1.00u,1,1e-06,1.04249
nfet_06v0,sf,125,10,0.60u,0,1.66667e-06,0.697196
nfet_06v0,sf,125,10,0.60u,1,1.66667e-06,1.03867
nfet_06v0,sf,125,10,1.20u,0,8.33333e-07,0.700656
nfet_06v0,sf,125,10,1.20u,1,8.33333e-07,1.10271
pfet_06v0,sf,125,10,0.55u,0,1.81818e-06,0.72396
pfet_06v0,sf,125,10,0.55u,1,1.81818e-06,1.10751
pfet_06v0,sf,125,10,1.20u,0,8.33333e-07,0.775709
pfet_06v0,sf,125,10,1.20u,1,8.33333e-07,1.21004
