device,corner,temp_c,vin_v,l_um,w_mm,metric,vsd_v,id_a,rds_ohm,rdsw_ohm_mm,vd_v
pfet_03v3,typical,-40,2.10,0.50u,8,drop_at_50mA,0.0605326,0.05,1.21065,9.68522,2.03947
pfet_03v3,typical,-40,2.10,0.50u,8,drop_at_100mA,0.125605,0.1,1.25605,10.0484,1.9744
pfet_03v3,typical,-40,2.10,0.50u,8,rlin_at_50mV,0.05,0.0415432,1.20357,9.62853,2.05
pfet_03v3,typical,-40,2.10,0.50u,16,drop_at_50mA,0.0297536,0.05,0.595071,9.52114,2.07025
pfet_03v3,typical,-40,2.10,0.50u,16,drop_at_100mA,0.0605326,0.1,0.605326,9.68522,2.03947
pfet_03v3,typical,-40,2.10,0.50u,16,rlin_at_50mV,0.05,0.0830864,0.601783,9.62853,2.05
pfet_03v3,typical,-40,2.10,1.00u,1,drop_at_50mA,6.87673,0.05,137.535,137.535,-4.77673
pfet_03v3,typical,-40,2.10,1.00u,1,drop_at_100mA,8.02425,0.1,80.2425,80.2425,-5.92425
pfet_03v3,typical,-40,2.10,1.00u,1,rlin_at_50mV,0.05,0.00264416,18.9096,18.9096,2.05
pfet_03v3,typical,-40,2.10,1.00u,2,drop_at_50mA,0.794155,0.05,15.8831,31.7662,1.30584
pfet_03v3,typical,-40,2.10,1.00u,2,drop_at_100mA,6.87673,0.1,68.7673,137.535,-4.77673
pfet_03v3,typical,-40,2.10,1.00u,2,rlin_at_50mV,0.05,0.00528832,9.4548,18.9096,2.05
pfet_03v3,typical,-40,2.10,1.00u,4,drop_at_50mA,0.269263,0.05,5.38526,21.541,1.83074
pfet_03v3,typical,-40,2.10,1.00u,4,drop_at_100mA,0.794155,0.1,7.94155,31.7662,1.30584
pfet_03v3,typical,-40,2.10,1.00u,4,rlin_at_50mV,0.05,0.0105766,4.7274,18.9096,2.05
pfet_03v3,typical,-40,2.10,1.00u,8,drop_at_50mA,0.123245,0.05,2.4649,19.7192,1.97675
pfet_03v3,typical,-40,2.10,1.00u,8,drop_at_100mA,0.269263,0.1,2.69263,21.541,1.83074
pfet_03v3,typical,-40,2.10,1.00u,8,rlin_at_50mV,0.05,0.0211533,2.3637,18.9096,2.05
pfet_03v3,typical,-40,2.10,1.00u,16,drop_at_50mA,0.0594066,0.05,1.18813,19.0101,2.04059
pfet_03v3,typical,-40,2.10,1.00u,16,drop_at_100mA,0.123245,0.1,1.23245,19.7192,1.97675
pfet_03v3,typical,-40,2.10,1.00u,16,rlin_at_50mV,0.05,0.0423066,1.18185,18.9096,2.05
pfet_03v3,typical,-40,2.97,0.28u,1,drop_at_50mA,0.215717,0.05,4.31434,4.31434,2.75428
pfet_03v3,typical,-40,2.97,0.28u,1,drop_at_100mA,0.475613,0.1,4.75613,4.75613,2.49439
pfet_03v3,typical,-40,2.97,0.28u,1,rlin_at_50mV,0.05,0.0123089,4.0621,4.0621,2.92
pfet_03v3,typical,-40,2.97,0.28u,2,drop_at_50mA,0.103533,0.05,2.07066,4.14131,2.86647
pfet_03v3,typical,-40,2.97,0.28u,2,drop_at_100mA,0.215717,0.1,2.15717,4.31434,2.75428
pfet_03v3,typical,-40,2.97,0.28u,2,rlin_at_50mV,0.05,0.0246178,2.03105,4.0621,2.92
pfet_03v3,typical,-40,2.97,0.28u,4,drop_at_50mA,0.0507907,0.05,1.01581,4.06326,2.91921
pfet_03v3,typical,-40,2.97,0.28u,4,drop_at_100mA,0.103533,0.1,1.03533,4.14131,2.86647
pfet_03v3,typical,-40,2.97,0.28u,4,rlin_at_50mV,0.05,0.0492356,1.01553,4.0621,2.92
pfet_03v3,typical,-40,2.97,0.28u,8,drop_at_50mA,0.0251629,0.05,0.503257,4.02606,2.94484
pfet_03v3,typical,-40,2.97,0.28u,8,drop_at_100mA,0.0507907,0.1,0.507907,4.06326,2.91921
pfet_03v3,typical,-40,2.97,0.28u,8,rlin_at_50mV,0.05,0.0984712,0.507763,4.0621,2.92
pfet_03v3,typical,-40,2.97,0.28u,16,drop_at_50mA,0.0125246,0.05,0.250493,4.00788,2.95748
pfet_03v3,typical,-40,2.97,0.28u,16,drop_at_100mA,0.0251629,0.1,0.251629,4.02606,2.94484
pfet_03v3,typical,-40,2.97,0.28u,16,rlin_at_50mV,0.05,0.196942,0.253881,4.0621,2.92
pfet_03v3,typical,-40,2.97,0.50u,1,drop_at_50mA,0.373181,0.05,7.46362,7.46362,2.59682
pfet_03v3,typical,-40,2.97,0.50u,1,drop_at_100mA,0.927127,0.1,9.27127,9.27127,2.04287
pfet_03v3,typical,-40,2.97,0.50u,1,rlin_at_50mV,0.05,0.00750854,6.65908,6.65908,2.92
pfet_03v3,typical,-40,2.97,0.50u,2,drop_at_50mA,0.173749,0.05,3.47498,6.94995,2.79625
pfet_03v3,typical,-40,2.97,0.50u,2,drop_at_100mA,0.373181,0.1,3.73181,7.46362,2.59682
pfet_03v3,typical,-40,2.97,0.50u,2,rlin_at_50mV,0.05,0.0150171,3.32954,6.65908,2.92
pfet_03v3,typical,-40,2.97,0.50u,4,drop_at_50mA,0.0842194,0.05,1.68439,6.73755,2.88578
pfet_03v3,typical,-40,2.97,0.50u,4,drop_at_100mA,0.173749,0.1,1.73749,6.94995,2.79625
pfet_03v3,typical,-40,2.97,0.50u,4,rlin_at_50mV,0.05,0.0300342,1.66477,6.65908,2.92
pfet_03v3,typical,-40,2.97,0.50u,8,drop_at_50mA,0.0414988,0.05,0.829977,6.63981,2.9285
pfet_03v3,typical,-40,2.97,0.50u,8,drop_at_100mA,0.0842194,0.1,0.842194,6.73755,2.88578
pfet_03v3,typical,-40,2.97,0.50u,8,rlin_at_50mV,0.05,0.0600683,0.832385,6.65908,2.92
pfet_03v3,typical,-40,2.97,0.50u,16,drop_at_50mA,0.0206026,0.05,0.412051,6.59282,2.9494
pfet_03v3,typical,-40,2.97,0.50u,16,drop_at_100mA,0.0414988,0.1,0.414988,6.63981,2.9285
pfet_03v3,typical,-40,2.97,0.50u,16,rlin_at_50mV,0.05,0.120137,0.416193,6.65908,2.92
pfet_03v3,typical,-40,2.97,1.00u,1,drop_at_50mA,0.855233,0.05,17.1047,17.1047,2.11477
pfet_03v3,typical,-40,2.97,1.00u,1,drop_at_100mA,7.08214,0.1,70.8214,70.8214,-4.11214
pfet_03v3,typical,-40,2.97,1.00u,1,rlin_at_50mV,0.05,0.00393436,12.7086,12.7086,2.92
pfet_03v3,typical,-40,2.97,1.00u,2,drop_at_50mA,0.352328,0.05,7.04655,14.0931,2.61767
pfet_03v3,typical,-40,2.97,1.00u,2,drop_at_100mA,0.855233,0.1,8.55233,17.1047,2.11477
pfet_03v3,typical,-40,2.97,1.00u,2,rlin_at_50mV,0.05,0.00786871,6.35428,12.7086,2.92
pfet_03v3,typical,-40,2.97,1.00u,4,drop_at_50mA,0.165071,0.05,3.30142,13.2057,2.80493
pfet_03v3,typical,-40,2.97,1.00u,4,drop_at_100mA,0.352328,0.1,3.52328,14.0931,2.61767
pfet_03v3,typical,-40,2.97,1.00u,4,rlin_at_50mV,0.05,0.0157374,3.17714,12.7086,2.92
pfet_03v3,typical,-40,2.97,1.00u,8,drop_at_50mA,0.0802242,0.05,1.60448,12.8359,2.88978
pfet_03v3,typical,-40,2.97,1.00u,8,drop_at_100mA,0.165071,0.1,1.65071,13.2057,2.80493
pfet_03v3,typical,-40,2.97,1.00u,8,rlin_at_50mV,0.05,0.0314748,1.58857,12.7086,2.92
pfet_03v3,typical,-40,2.97,1.00u,16,drop_at_50mA,0.0395787,0.05,0.791574,12.6652,2.93042
pfet_03v3,typical,-40,2.97,1.00u,16,drop_at_100mA,0.0802242,0.1,0.802242,12.8359,2.88978
pfet_03v3,typical,-40,2.97,1.00u,16,rlin_at_50mV,0.05,0.0629497,0.794285,12.7086,2.92
pfet_03v3,typical,-40,3.30,0.28u,1,drop_at_50mA,0.198143,0.05,3.96285,3.96285,3.10186
pfet_03v3,typical,-40,3.30,0.28u,1,drop_at_100mA,0.427242,0.1,4.27242,4.27242,2.87276
pfet_03v3,typical,-40,3.30,0.28u,1,rlin_at_50mV,0.05,0.0132319,3.77874,3.77874,3.25
pfet_03v3,typical,-40,3.30,0.28u,2,drop_at_50mA,0.0958622,0.05,1.91724,3.83449,3.20414
pfet_03v3,typical,-40,3.30,0.28u,2,drop_at_100mA,0.198143,0.1,1.98143,3.96285,3.10186
pfet_03v3,typical,-40,3.30,0.28u,2,rlin_at_50mV,0.05,0.0264638,1.88937,3.77874,3.25
pfet_03v3,typical,-40,3.30,0.28u,4,drop_at_50mA,0.0471921,0.05,0.943841,3.77537,3.25281
pfet_03v3,typical,-40,3.30,0.28u,4,drop_at_100mA,0.0958622,0.1,0.958622,3.83449,3.20414
pfet_03v3,typical,-40,3.30,0.28u,4,rlin_at_50mV,0.05,0.0529277,0.944686,3.77874,3.25
pfet_03v3,typical,-40,3.30,0.28u,8,drop_at_50mA,0.0234183,0.05,0.468366,3.74693,3.27658
pfet_03v3,typical,-40,3.30,0.28u,8,drop_at_100mA,0.0471921,0.1,0.471921,3.77537,3.25281
pfet_03v3,typical,-40,3.30,0.28u,8,rlin_at_50mV,0.05,0.105855,0.472343,3.77874,3.25
pfet_03v3,typical,-40,3.30,0.28u,16,drop_at_50mA,0.0116655,0.05,0.233311,3.73298,3.28833
pfet_03v3,typical,-40,3.30,0.28u,16,drop_at_100mA,0.0234183,0.1,0.234183,3.74693,3.27658
pfet_03v3,typical,-40,3.30,0.28u,16,rlin_at_50mV,0.05,0.211711,0.236171,3.77874,3.25
pfet_03v3,typical,-40,3.30,0.50u,1,drop_at_50mA,0.333847,0.05,6.67694,6.67694,2.96615
pfet_03v3,typical,-40,3.30,0.50u,1,drop_at_100mA,0.769938,0.1,7.69938,7.69938,2.53006
pfet_03v3,typical,-40,3.30,0.50u,1,rlin_at_50mV,0.05,0.00816672,6.12241,6.12241,3.25
pfet_03v3,typical,-40,3.30,0.50u,2,drop_at_50mA,0.15812,0.05,3.16241,6.32481,3.14188
pfet_03v3,typical,-40,3.30,0.50u,2,drop_at_100mA,0.333847,0.1,3.33847,6.67694,2.96615
pfet_03v3,typical,-40,3.30,0.50u,2,rlin_at_50mV,0.05,0.0163334,3.0612,6.12241,3.25
pfet_03v3,typical,-40,3.30,0.50u,4,drop_at_50mA,0.0771535,0.05,1.54307,6.17228,3.22285
pfet_03v3,typical,-40,3.30,0.50u,4,drop_at_100mA,0.15812,0.1,1.5812,6.32481,3.14188
pfet_03v3,typical,-40,3.30,0.50u,4,rlin_at_50mV,0.05,0.0326669,1.5306,6.12241,3.25
pfet_03v3,typical,-40,3.30,0.50u,8,drop_at_50mA,0.03813,0.05,0.7626,6.1008,3.26187
pfet_03v3,typical,-40,3.30,0.50u,8,drop_at_100mA,0.0771535,0.1,0.771535,6.17228,3.22285
pfet_03v3,typical,-40,3.30,0.50u,8,rlin_at_50mV,0.05,0.0653338,0.765301,6.12241,3.25
pfet_03v3,typical,-40,3.30,0.50u,16,drop_at_50mA,0.0189567,0.05,0.379134,6.06615,3.28104
pfet_03v3,typical,-40,3.30,0.50u,16,drop_at_100mA,0.03813,0.1,0.3813,6.1008,3.26187
pfet_03v3,typical,-40,3.30,0.50u,16,rlin_at_50mV,0.05,0.130668,0.38265,6.12241,3.25
pfet_03v3,typical,-40,3.30,1.00u,1,drop_at_50mA,0.708671,0.05,14.1734,14.1734,2.59133
pfet_03v3,typical,-40,3.30,1.00u,1,drop_at_100mA,6.6024,0.1,66.024,66.024,-3.3024
pfet_03v3,typical,-40,3.30,1.00u,1,rlin_at_50mV,0.05,0.00431298,11.5929,11.5929,3.25
pfet_03v3,typical,-40,3.30,1.00u,2,drop_at_50mA,0.312863,0.05,6.25725,12.5145,2.98714
pfet_03v3,typical,-40,3.30,1.00u,2,drop_at_100mA,0.708671,0.1,7.08671,14.1734,2.59133
pfet_03v3,typical,-40,3.30,1.00u,2,rlin_at_50mV,0.05,0.00862596,5.79646,11.5929,3.25
pfet_03v3,typical,-40,3.30,1.00u,4,drop_at_50mA,0.149072,0.05,2.98144,11.9258,3.15093
pfet_03v3,typical,-40,3.30,1.00u,4,drop_at_100mA,0.312863,0.1,3.12863,12.5145,2.98714
pfet_03v3,typical,-40,3.30,1.00u,4,rlin_at_50mV,0.05,0.0172519,2.89823,11.5929,3.25
pfet_03v3,typical,-40,3.30,1.00u,8,drop_at_50mA,0.072928,0.05,1.45856,11.6685,3.22707
pfet_03v3,typical,-40,3.30,1.00u,8,drop_at_100mA,0.149072,0.1,1.49072,11.9258,3.15093
pfet_03v3,typical,-40,3.30,1.00u,8,rlin_at_50mV,0.05,0.0345038,1.44911,11.5929,3.25
pfet_03v3,typical,-40,3.30,1.00u,16,drop_at_50mA,0.0360859,0.05,0.721717,11.5475,3.26391
pfet_03v3,typical,-40,3.30,1.00u,16,drop_at_100mA,0.072928,0.1,0.72928,11.6685,3.22707
pfet_03v3,typical,-40,3.30,1.00u,16,rlin_at_50mV,0.05,0.0690077,0.724557,11.5929,3.25
pfet_03v3,typical,-40,3.63,0.28u,1,drop_at_50mA,0.185532,0.05,3.71064,3.71064,3.44447
pfet_03v3,typical,-40,3.63,0.28u,1,drop_at_100mA,0.394475,0.1,3.94475,3.94475,3.23552
pfet_03v3,typical,-40,3.63,0.28u,1,rlin_at_50mV,0.05,0.0140112,3.56858,3.56858,3.58
pfet_03v3,typical,-40,3.63,0.28u,2,drop_at_50mA,0.0902502,0.05,1.805,3.61001,3.53975
pfet_03v3,typical,-40,3.63,0.28u,2,drop_at_100mA,0.185532,0.1,1.85532,3.71064,3.44447
pfet_03v3,typical,-40,3.63,0.28u,2,rlin_at_50mV,0.05,0.0280223,1.78429,3.56858,3.58
pfet_03v3,typical,-40,3.63,0.28u,4,drop_at_50mA,0.0445376,0.05,0.890752,3.56301,3.58546
pfet_03v3,typical,-40,3.63,0.28u,4,drop_at_100mA,0.0902502,0.1,0.902502,3.61001,3.53975
pfet_03v3,typical,-40,3.63,0.28u,4,rlin_at_50mV,0.05,0.0560447,0.892145,3.56858,3.58
pfet_03v3,typical,-40,3.63,0.28u,8,drop_at_50mA,0.0221266,0.05,0.442532,3.54026,3.60787
pfet_03v3,typical,-40,3.63,0.28u,8,drop_at_100mA,0.0445376,0.1,0.445376,3.56301,3.58546
pfet_03v3,typical,-40,3.63,0.28u,8,rlin_at_50mV,0.05,0.112089,0.446073,3.56858,3.58
pfet_03v3,typical,-40,3.63,0.28u,16,drop_at_50mA,0.0110283,0.05,0.220566,3.52906,3.61897
pfet_03v3,typical,-40,3.63,0.28u,16,drop_at_100mA,0.0221266,0.1,0.221266,3.54026,3.60787
pfet_03v3,typical,-40,3.63,0.28u,16,rlin_at_50mV,0.05,0.224179,0.223036,3.56858,3.58
pfet_03v3,typical,-40,3.63,0.50u,1,drop_at_50mA,0.306935,0.05,6.13869,6.13869,3.32307
pfet_03v3,typical,-40,3.63,0.50u,1,drop_at_100mA,0.682787,0.1,6.82787,6.82787,2.94721
pfet_03v3,typical,-40,3.63,0.50u,1,rlin_at_50mV,0.05,0.00872936,5.7278,5.7278,3.58
pfet_03v3,typical,-40,3.63,0.50u,2,drop_at_50mA,0.146943,0.05,2.93886,5.87772,3.48306
pfet_03v3,typical,-40,3.63,0.50u,2,drop_at_100mA,0.306935,0.1,3.06935,6.13869,3.32307
pfet_03v3,typical,-40,3.63,0.50u,2,rlin_at_50mV,0.05,0.0174587,2.8639,5.7278,3.58
pfet_03v3,typical,-40,3.63,0.50u,4,drop_at_50mA,0.0720166,0.05,1.44033,5.76133,3.55798
pfet_03v3,typical,-40,3.63,0.50u,4,drop_at_100mA,0.146943,0.1,1.46943,5.87772,3.48306
pfet_03v3,typical,-40,3.63,0.50u,4,rlin_at_50mV,0.05,0.0349174,1.43195,5.7278,3.58
pfet_03v3,typical,-40,3.63,0.50u,8,drop_at_50mA,0.0356633,0.05,0.713265,5.70612,3.59434
pfet_03v3,typical,-40,3.63,0.50u,8,drop_at_100mA,0.0720166,0.1,0.720166,5.76133,3.55798
pfet_03v3,typical,-40,3.63,0.50u,8,rlin_at_50mV,0.05,0.0698349,0.715975,5.7278,3.58
pfet_03v3,typical,-40,3.63,0.50u,16,drop_at_50mA,0.0177475,0.05,0.354951,5.67921,3.61225
pfet_03v3,typical,-40,3.63,0.50u,16,drop_at_100mA,0.0356633,0.1,0.356633,5.70612,3.59434
pfet_03v3,typical,-40,3.63,0.50u,16,rlin_at_50mV,0.05,0.13967,0.357987,5.7278,3.58
pfet_03v3,typical,-40,3.63,1.00u,1,drop_at_50mA,0.626482,0.05,12.5296,12.5296,3.00352
pfet_03v3,typical,-40,3.63,1.00u,1,drop_at_100mA,1.8813,0.1,18.813,18.813,1.7487
pfet_03v3,typical,-40,3.63,1.00u,1,rlin_at_50mV,0.05,0.00464024,10.7753,10.7753,3.58
pfet_03v3,typical,-40,3.63,1.00u,2,drop_at_50mA,0.285951,0.05,5.71902,11.438,3.34405
pfet_03v3,typical,-40,3.63,1.00u,2,drop_at_100mA,0.626482,0.1,6.26482,12.5296,3.00352
pfet_03v3,typical,-40,3.63,1.00u,2,rlin_at_50mV,0.05,0.00928048,5.38765,10.7753,3.58
pfet_03v3,typical,-40,3.63,1.00u,4,drop_at_50mA,0.137669,0.05,2.75339,11.0136,3.49233
pfet_03v3,typical,-40,3.63,1.00u,4,drop_at_100mA,0.285951,0.1,2.85951,11.438,3.34405
pfet_03v3,typical,-40,3.63,1.00u,4,rlin_at_50mV,0.05,0.018561,2.69383,10.7753,3.58
pfet_03v3,typical,-40,3.63,1.00u,8,drop_at_50mA,0.0676408,0.05,1.35282,10.8225,3.56236
pfet_03v3,typical,-40,3.63,1.00u,8,drop_at_100mA,0.137669,0.1,1.37669,11.0136,3.49233
pfet_03v3,typical,-40,3.63,1.00u,8,rlin_at_50mV,0.05,0.0371219,1.34691,10.7753,3.58
pfet_03v3,typical,-40,3.63,1.00u,16,drop_at_50mA,0.0335361,0.05,0.670722,10.7316,3.59646
pfet_03v3,typical,-40,3.63,1.00u,16,drop_at_100mA,0.0676408,0.1,0.676408,10.8225,3.56236
pfet_03v3,typical,-40,3.63,1.00u,16,rlin_at_50mV,0.05,0.0742439,0.673456,10.7753,3.58
pfet_03v3,typical,27,2.10,0.28u,1,drop_at_50mA,0.397157,0.05,7.94314,7.94314,1.70284
pfet_03v3,typical,27,2.10,0.28u,1,drop_at_100mA,2.35242,0.1,23.5242,23.5242,-0.252415
pfet_03v3,typical,27,2.10,0.28u,1,rlin_at_50mV,0.05,0.00756628,6.60827,6.60827,2.05
pfet_03v3,typical,27,2.10,0.28u,2,drop_at_50mA,0.176252,0.05,3.52503,7.05007,1.92375
pfet_03v3,typical,27,2.10,0.28u,2,drop_at_100mA,0.397157,0.1,3.97157,7.94314,1.70284
pfet_03v3,typical,27,2.10,0.28u,2,rlin_at_50mV,0.05,0.0151326,3.30413,6.60827,2.05
pfet_03v3,typical,27,2.10,0.28u,4,drop_at_50mA,0.0840383,0.05,1.68077,6.72307,2.01596
pfet_03v3,typical,27,2.10,0.28u,4,drop_at_100mA,0.176252,0.1,1.76252,7.05007,1.92375
pfet_03v3,typical,27,2.10,0.28u,4,rlin_at_50mV,0.05,0.0302651,1.65207,6.60827,2.05
pfet_03v3,typical,27,2.10,0.28u,8,drop_at_50mA,0.0411175,0.05,0.822351,6.57881,2.05888
pfet_03v3,typical,27,2.10,0.28u,8,drop_at_100mA,0.0840383,0.1,0.840383,6.72307,2.01596
pfet_03v3,typical,27,2.10,0.28u,8,rlin_at_50mV,0.05,0.0605302,0.826033,6.60827,2.05
pfet_03v3,typical,27,2.10,0.28u,16,drop_at_50mA,0.0203459,0.05,0.406918,6.51069,2.07965
pfet_03v3,typical,27,2.10,0.28u,16,drop_at_100mA,0.0411175,0.1,0.411175,6.57881,2.05888
pfet_03v3,typical,27,2.10,0.28u,16,rlin_at_50mV,0.05,0.12106,0.413017,6.60827,2.05
pfet_03v3,typical,27,2.10,0.50u,1,drop_at_50mA,1.87769,0.05,37.5538,37.5538,0.222309
pfet_03v3,typical,27,2.10,0.50u,1,drop_at_100mA,7.17399,0.1,71.7399,71.7399,-5.07399
pfet_03v3,typical,27,2.10,0.50u,1,rlin_at_50mV,0.05,0.0042857,11.6667,11.6667,2.05
pfet_03v3,typical,27,2.10,0.50u,2,drop_at_50mA,0.341315,0.05,6.8263,13.6526,1.75869
pfet_03v3,typical,27,2.10,0.50u,2,drop_at_100mA,1.87769,0.1,18.7769,37.5538,0.222309
pfet_03v3,typical,27,2.10,0.50u,2,rlin_at_50mV,0.05,0.0085714,5.83335,11.6667,2.05
pfet_03v3,typical,27,2.10,0.50u,4,drop_at_50mA,0.153923,0.05,3.07845,12.3138,1.94608
pfet_03v3,typical,27,2.10,0.50u,4,drop_at_100mA,0.341315,0.1,3.41315,13.6526,1.75869
pfet_03v3,typical,27,2.10,0.50u,4,rlin_at_50mV,0.05,0.0171428,2.91668,11.6667,2.05
pfet_03v3,typical,27,2.10,0.50u,8,drop_at_50mA,0.0738105,0.05,1.47621,11.8097,2.02619
pfet_03v3,typical,27,2.10,0.50u,8,drop_at_100mA,0.153923,0.1,1.53923,12.3138,1.94608
pfet_03v3,typical,27,2.10,0.50u,8,rlin_at_50mV,0.05,0.0342856,1.45834,11.6667,2.05
pfet_03v3,typical,27,2.10,0.50u,16,drop_at_50mA,0.0362039,0.05,0.724077,11.5852,2.0638
pfet_03v3,typical,27,2.10,0.50u,16,drop_at_100mA,0.0738105,0.1,0.738105,11.8097,2.02619
pfet_03v3,typical,27,2.10,0.50u,16,rlin_at_50mV,0.05,0.0685712,0.729169,11.6667,2.05
pfet_03v3,typical,27,2.10,1.00u,1,drop_at_50mA,7.2049,0.05,144.098,144.098,-5.1049
pfet_03v3,typical,27,2.10,1.00u,1,drop_at_100mA,8.32401,0.1,83.2401,83.2401,-6.22401
pfet_03v3,typical,27,2.10,1.00u,1,rlin_at_50mV,0.05,0.00214734,23.2847,23.2847,2.05
pfet_03v3,typical,27,2.10,1.00u,2,drop_at_50mA,5.19264,0.05,103.853,207.705,-3.09264
pfet_03v3,typical,27,2.10,1.00u,2,drop_at_100mA,7.2049,0.1,72.049,144.098,-5.1049
pfet_03v3,typical,27,2.10,1.00u,2,rlin_at_50mV,0.05,0.00429467,11.6423,23.2847,2.05
pfet_03v3,typical,27,2.10,1.00u,4,drop_at_50mA,0.342687,0.05,6.85375,27.415,1.75731
pfet_03v3,typical,27,2.10,1.00u,4,drop_at_100mA,5.19264,0.1,51.9264,207.705,-3.09264
pfet_03v3,typical,27,2.10,1.00u,4,rlin_at_50mV,0.05,0.00858935,5.82116,23.2847,2.05
pfet_03v3,typical,27,2.10,1.00u,8,drop_at_50mA,0.153799,0.05,3.07598,24.6078,1.9462
pfet_03v3,typical,27,2.10,1.00u,8,drop_at_100mA,0.342687,0.1,3.42687,27.415,1.75731
pfet_03v3,typical,27,2.10,1.00u,8,rlin_at_50mV,0.05,0.0171787,2.91058,23.2847,2.05
pfet_03v3,typical,27,2.10,1.00u,16,drop_at_50mA,0.0736703,0.05,1.47341,23.5745,2.02633
pfet_03v3,typical,27,2.10,1.00u,16,drop_at_100mA,0.153799,0.1,1.53799,24.6078,1.9462
pfet_03v3,typical,27,2.10,1.00u,16,rlin_at_50mV,0.05,0.0343574,1.45529,23.2847,2.05
pfet_03v3,typical,27,2.97,0.28u,1,drop_at_50mA,0.258727,0.05,5.17453,5.17453,2.71127
pfet_03v3,typical,27,2.97,0.28u,1,drop_at_100mA,0.579037,0.1,5.79037,5.79037,2.39096
pfet_03v3,typical,27,2.97,0.28u,1,rlin_at_50mV,0.05,0.0103663,4.82332,4.82332,2.92
pfet_03v3,typical,27,2.97,0.28u,2,drop_at_50mA,0.123578,0.05,2.47155,4.9431,2.84642
pfet_03v3,typical,27,2.97,0.28u,2,drop_at_100mA,0.258727,0.1,2.58727,5.17453,2.71127
pfet_03v3,typical,27,2.97,0.28u,2,rlin_at_50mV,0.05,0.0207326,2.41166,4.82332,2.92
pfet_03v3,typical,27,2.97,0.28u,4,drop_at_50mA,0.060502,0.05,1.21004,4.84016,2.9095
pfet_03v3,typical,27,2.97,0.28u,4,drop_at_100mA,0.123578,0.1,1.23578,4.9431,2.84642
pfet_03v3,typical,27,2.97,0.28u,4,rlin_at_50mV,0.05,0.0414652,1.20583,4.82332,2.92
pfet_03v3,typical,27,2.97,0.28u,8,drop_at_50mA,0.0299462,0.05,0.598923,4.79139,2.94005
pfet_03v3,typical,27,2.97,0.28u,8,drop_at_100mA,0.060502,0.1,0.60502,4.84016,2.9095
pfet_03v3,typical,27,2.97,0.28u,8,rlin_at_50mV,0.05,0.0829305,0.602915,4.82332,2.92
pfet_03v3,typical,27,2.97,0.28u,16,drop_at_50mA,0.0148988,0.05,0.297976,4.76762,2.9551
