device,corner,temp_c,vin_v,l_um,w_mm,metric,ioff_a,ioff_per_mm_a
nfet_03v3,typical,-40,3.30,0.28u,16,ioff_vgs0,1.99363E-11,1.24602E-12
nfet_03v3,typical,-40,3.30,0.50u,1,ioff_vgs0,5.26675E-15,5.26675E-15
nfet_03v3,typical,-40,3.30,0.50u,2,ioff_vgs0,1.05335E-14,5.26675E-15
nfet_03v3,typical,-40,3.30,0.50u,4,ioff_vgs0,2.1067E-14,5.26675E-15
nfet_03v3,typical,-40,3.30,0.50u,8,ioff_vgs0,4.2134E-14,5.26675E-15
nfet_03v3,typical,-40,3.30,0.50u,16,ioff_vgs0,8.4268E-14,5.26675E-15
nfet_03v3,typical,-40,3.30,1.00u,1,ioff_vgs0,3.2265E-15,3.2265E-15
nfet_03v3,typical,-40,3.30,1.00u,2,ioff_vgs0,6.45299E-15,3.2265E-15
nfet_03v3,typical,-40,3.30,1.00u,4,ioff_vgs0,1.2906E-14,3.2265E-15
nfet_03v3,typical,-40,3.30,1.00u,8,ioff_vgs0,2.5812E-14,3.2265E-15
nfet_03v3,typical,-40,3.30,1.00u,16,ioff_vgs0,5.16239E-14,3.2265E-15
nfet_03v3,typical,-40,3.63,0.28u,1,ioff_vgs0,1.7389E-12,1.7389E-12
nfet_03v3,typical,-40,3.63,0.28u,2,ioff_vgs0,3.47779E-12,1.7389E-12
nfet_03v3,typical,-40,3.63,0.28u,4,ioff_vgs0,6.95559E-12,1.7389E-12
nfet_03v3,typical,-40,3.63,0.28u,8,ioff_vgs0,1.39112E-11,1.7389E-12
nfet_03v3,typical,-40,3.63,0.28u,16,ioff_vgs0,2.78224E-11,1.7389E-12
nfet_03v3,typical,-40,3.63,0.50u,1,ioff_vgs0,5.5915E-15,5.5915E-15
nfet_03v3,typical,-40,3.63,0.50u,2,ioff_vgs0,1.1183E-14,5.5915E-15
nfet_03v3,typical,-40,3.63,0.50u,4,ioff_vgs0,2.2366E-14,5.5915E-15
nfet_03v3,typical,-40,3.63,0.50u,8,ioff_vgs0,4.4732E-14,5.5915E-15
nfet_03v3,typical,-40,3.63,0.50u,16,ioff_vgs0,8.9464E-14,5.5915E-15
nfet_03v3,typical,-40,3.63,1.00u,1,ioff_vgs0,3.33034E-15,3.33034E-15
nfet_03v3,typical,-40,3.63,1.00u,2,ioff_vgs0,6.66068E-15,3.33034E-15
nfet_03v3,typical,-40,3.63,1.00u,4,ioff_vgs0,1.33214E-14,3.33034E-15
nfet_03v3,typical,-40,3.63,1.00u,8,ioff_vgs0,2.66427E-14,3.33034E-15
nfet_03v3,typical,-40,3.63,1.00u,16,ioff_vgs0,5.32854E-14,3.33034E-15
nfet_03v3,typical,27,2.10,0.28u,1,ioff_vgs0,3.25955E-10,3.25955E-10
nfet_03v3,typical,27,2.10,0.28u,2,ioff_vgs0,6.5191E-10,3.25955E-10
nfet_03v3,typical,27,2.10,0.28u,4,ioff_vgs0,1.30382E-09,3.25955E-10
nfet_03v3,typical,27,2.10,0.28u,8,ioff_vgs0,2.60764E-09,3.25955E-10
nfet_03v3,typical,27,2.10,0.28u,16,ioff_vgs0,5.21528E-09,3.25955E-10
nfet_03v3,typical,27,2.10,0.50u,1,ioff_vgs0,8.08956E-12,8.08956E-12
nfet_03v3,typical,27,2.10,0.50u,2,ioff_vgs0,1.61791E-11,8.08956E-12
nfet_03v3,typical,27,2.10,0.50u,4,ioff_vgs0,3.23582E-11,8.08956E-12
nfet_03v3,typical,27,2.10,0.50u,8,ioff_vgs0,6.47164E-11,8.08956E-12
nfet_03v3,typical,27,2.10,0.50u,16,ioff_vgs0,1.29433E-10,8.08956E-12
nfet_03v3,typical,27,2.10,1.00u,1,ioff_vgs0,4.88944E-12,4.88944E-12
nfet_03v3,typical,27,2.10,1.00u,2,ioff_vgs0,9.77888E-12,4.88944E-12
nfet_03v3,typical,27,2.10,1.00u,4,ioff_vgs0,1.95578E-11,4.88944E-12
nfet_03v3,typical,27,2.10,1.00u,8,ioff_vgs0,3.91155E-11,4.88944E-12
nfet_03v3,typical,27,2.10,1.00u,16,ioff_vgs0,7.8231E-11,4.88944E-12
nfet_03v3,typical,27,2.97,0.28u,1,ioff_vgs0,6.60749E-10,6.60749E-10
nfet_03v3,typical,27,2.97,0.28u,2,ioff_vgs0,1.3215E-09,6.60749E-10
nfet_03v3,typical,27,2.97,0.28u,4,ioff_vgs0,2.643E-09,6.60749E-10
nfet_03v3,typical,27,2.97,0.28u,8,ioff_vgs0,5.28599E-09,6.60749E-10
nfet_03v3,typical,27,2.97,0.28u,16,ioff_vgs0,1.0572E-08,6.60749E-10
nfet_03v3,typical,27,2.97,0.50u,1,ioff_vgs0,9.14944E-12,9.14944E-12
nfet_03v3,typical,27,2.97,0.50u,2,ioff_vgs0,1.82989E-11,9.14944E-12
nfet_03v3,typical,27,2.97,0.50u,4,ioff_vgs0,3.65977E-11,9.14944E-12
nfet_03v3,typical,27,2.97,0.50u,8,ioff_vgs0,7.31955E-11,9.14944E-12
nfet_03v3,typical,27,2.97,0.50u,16,ioff_vgs0,1.46391E-10,9.14944E-12
nfet_03v3,typical,27,2.97,1.00u,1,ioff_vgs0,5.21906E-12,5.21906E-12
nfet_03v3,typical,27,2.97,1.00u,2,ioff_vgs0,1.04381E-11,5.21906E-12
nfet_03v3,typical,27,2.97,1.00u,4,ioff_vgs0,2.08762E-11,5.21906E-12
nfet_03v3,typical,27,2.97,1.00u,8,ioff_vgs0,4.17525E-11,5.21906E-12
nfet_03v3,typical,27,2.97,1.00u,16,ioff_vgs0,8.35049E-11,5.21906E-12
nfet_03v3,typical,27,3.30,0.28u,1,ioff_vgs0,8.61517E-10,8.61517E-10
nfet_03v3,typical,27,3.30,0.28u,2,ioff_vgs0,1.72303E-09,8.61517E-10
nfet_03v3,typical,27,3.30,0.28u,4,ioff_vgs0,3.44607E-09,8.61517E-10
nfet_03v3,typical,27,3.30,0.28u,8,ioff_vgs0,6.89214E-09,8.61517E-10
nfet_03v3,typical,27,3.30,0.28u,16,ioff_vgs0,1.37843E-08,8.61517E-10
nfet_03v3,typical,27,3.30,0.50u,1,ioff_vgs0,9.59168E-12,9.59168E-12
nfet_03v3,typical,27,3.30,0.50u,2,ioff_vgs0,1.91834E-11,9.59168E-12
nfet_03v3,typical,27,3.30,0.50u,4,ioff_vgs0,3.83667E-11,9.59168E-12
nfet_03v3,typical,27,3.30,0.50u,8,ioff_vgs0,7.67334E-11,9.59168E-12
nfet_03v3,typical,27,3.30,0.50u,16,ioff_vgs0,1.53467E-10,9.59168E-12
nfet_03v3,typical,27,3.30,1.00u,1,ioff_vgs0,5.35138E-12,5.35138E-12
nfet_03v3,typical,27,3.30,1.00u,2,ioff_vgs0,1.07028E-11,5.35138E-12
nfet_03v3,typical,27,3.30,1.00u,4,ioff_vgs0,2.14055E-11,5.35138E-12
nfet_03v3,typical,27,3.30,1.00u,8,ioff_vgs0,4.28111E-11,5.35138E-12
nfet_03v3,typical,27,3.30,1.00u,16,ioff_vgs0,8.56221E-11,5.35138E-12
nfet_03v3,typical,27,3.63,0.28u,1,ioff_vgs0,1.12929E-09,1.12929E-09
nfet_03v3,typical,27,3.63,0.28u,2,ioff_vgs0,2.25858E-09,1.12929E-09
nfet_03v3,typical,27,3.63,0.28u,4,ioff_vgs0,4.51716E-09,1.12929E-09
nfet_03v3,typical,27,3.63,0.28u,8,ioff_vgs0,9.03432E-09,1.12929E-09
nfet_03v3,typical,27,3.63,0.28u,16,ioff_vgs0,1.80686E-08,1.12929E-09
nfet_03v3,typical,27,3.63,0.50u,1,ioff_vgs0,1.00943E-11,1.00943E-11
nfet_03v3,typical,27,3.63,0.50u,2,ioff_vgs0,2.01887E-11,1.00943E-11
nfet_03v3,typical,27,3.63,0.50u,4,ioff_vgs0,4.03773E-11,1.00943E-11
nfet_03v3,typical,27,3.63,0.50u,8,ioff_vgs0,8.07546E-11,1.00943E-11
nfet_03v3,typical,27,3.63,0.50u,16,ioff_vgs0,1.61509E-10,1.00943E-11
nfet_03v3,typical,27,3.63,1.00u,1,ioff_vgs0,5.49784E-12,5.49784E-12
nfet_03v3,typical,27,3.63,1.00u,2,ioff_vgs0,1.09957E-11,5.49784E-12
nfet_03v3,typical,27,3.63,1.00u,4,ioff_vgs0,2.19914E-11,5.49784E-12
nfet_03v3,typical,27,3.63,1.00u,8,ioff_vgs0,4.39827E-11,5.49784E-12
nfet_03v3,typical,27,3.63,1.00u,16,ioff_vgs0,8.79654E-11,5.49784E-12
nfet_03v3,typical,125,2.10,0.28u,1,ioff_vgs0,1.07729E-07,1.07729E-07
nfet_03v3,typical,125,2.10,0.28u,2,ioff_vgs0,2.15457E-07,1.07729E-07
nfet_03v3,typical,125,2.10,0.28u,4,ioff_vgs0,4.30914E-07,1.07729E-07
nfet_03v3,typical,125,2.10,0.28u,8,ioff_vgs0,8.61829E-07,1.07729E-07
nfet_03v3,typical,125,2.10,0.28u,16,ioff_vgs0,1.72366E-06,1.07729E-07
nfet_03v3,typical,125,2.10,0.50u,1,ioff_vgs0,5.22537E-09,5.22537E-09
nfet_03v3,typical,125,2.10,0.50u,2,ioff_vgs0,1.04507E-08,5.22537E-09
nfet_03v3,typical,125,2.10,0.50u,4,ioff_vgs0,2.09015E-08,5.22537E-09
nfet_03v3,typical,125,2.10,0.50u,8,ioff_vgs0,4.1803E-08,5.22537E-09
nfet_03v3,typical,125,2.10,0.50u,16,ioff_vgs0,8.3606E-08,5.22537E-09
nfet_03v3,typical,125,2.10,1.00u,1,ioff_vgs0,2.87155E-09,2.87155E-09
nfet_03v3,typical,125,2.10,1.00u,2,ioff_vgs0,5.74309E-09,2.87155E-09
nfet_03v3,typical,125,2.10,1.00u,4,ioff_vgs0,1.14862E-08,2.87155E-09
nfet_03v3,typical,125,2.10,1.00u,8,ioff_vgs0,2.29724E-08,2.87155E-09
nfet_03v3,typical,125,2.10,1.00u,16,ioff_vgs0,4.59447E-08,2.87155E-09
nfet_03v3,typical,125,2.97,0.28u,1,ioff_vgs0,1.8737E-07,1.8737E-07
nfet_03v3,typical,125,2.97,0.28u,2,ioff_vgs0,3.7474E-07,1.8737E-07
nfet_03v3,typical,125,2.97,0.28u,4,ioff_vgs0,7.49481E-07,1.8737E-07
nfet_03v3,typical,125,2.97,0.28u,8,ioff_vgs0,1.49896E-06,1.8737E-07
nfet_03v3,typical,125,2.97,0.28u,16,ioff_vgs0,2.99792E-06,1.8737E-07
nfet_03v3,typical,125,2.97,0.50u,1,ioff_vgs0,5.76925E-09,5.76925E-09
nfet_03v3,typical,125,2.97,0.50u,2,ioff_vgs0,1.15385E-08,5.76925E-09
nfet_03v3,typical,125,2.97,0.50u,4,ioff_vgs0,2.3077E-08,5.76925E-09
nfet_03v3,typical,125,2.97,0.50u,8,ioff_vgs0,4.6154E-08,5.76925E-09
nfet_03v3,typical,125,2.97,0.50u,16,ioff_vgs0,9.23079E-08,5.76925E-09
nfet_03v3,typical,125,2.97,1.00u,1,ioff_vgs0,3.02505E-09,3.02505E-09
nfet_03v3,typical,125,2.97,1.00u,2,ioff_vgs0,6.0501E-09,3.02505E-09
nfet_03v3,typical,125,2.97,1.00u,4,ioff_vgs0,1.21002E-08,3.02505E-09
nfet_03v3,typical,125,2.97,1.00u,8,ioff_vgs0,2.42004E-08,3.02505E-09
nfet_03v3,typical,125,2.97,1.00u,16,ioff_vgs0,4.84008E-08,3.02505E-09
nfet_03v3,typical,125,3.30,0.28u,1,ioff_vgs0,2.30848E-07,2.30848E-07
nfet_03v3,typical,125,3.30,0.28u,2,ioff_vgs0,4.61696E-07,2.30848E-07
nfet_03v3,typical,125,3.30,0.28u,4,ioff_vgs0,9.23393E-07,2.30848E-07
nfet_03v3,typical,125,3.30,0.28u,8,ioff_vgs0,1.84679E-06,2.30848E-07
nfet_03v3,typical,125,3.30,0.28u,16,ioff_vgs0,3.69357E-06,2.30848E-07
nfet_03v3,typical,125,3.30,0.50u,1,ioff_vgs0,5.99613E-09,5.99613E-09
nfet_03v3,typical,125,3.30,0.50u,2,ioff_vgs0,1.19923E-08,5.99613E-09
nfet_03v3,typical,125,3.30,0.50u,4,ioff_vgs0,2.39845E-08,5.99613E-09
nfet_03v3,typical,125,3.30,0.50u,8,ioff_vgs0,4.79691E-08,5.99613E-09
nfet_03v3,typical,125,3.30,0.50u,16,ioff_vgs0,9.59381E-08,5.99613E-09
nfet_03v3,typical,125,3.30,1.00u,1,ioff_vgs0,3.08723E-09,3.08723E-09
nfet_03v3,typical,125,3.30,1.00u,2,ioff_vgs0,6.17447E-09,3.08723E-09
nfet_03v3,typical,125,3.30,1.00u,4,ioff_vgs0,1.23489E-08,3.08723E-09
nfet_03v3,typical,125,3.30,1.00u,8,ioff_vgs0,2.46979E-08,3.08723E-09
nfet_03v3,typical,125,3.30,1.00u,16,ioff_vgs0,4.93957E-08,3.08723E-09
nfet_03v3,typical,125,3.63,0.28u,1,ioff_vgs0,2.8605E-07,2.8605E-07
nfet_03v3,typical,125,3.63,0.28u,2,ioff_vgs0,5.72099E-07,2.8605E-07
nfet_03v3,typical,125,3.63,0.28u,4,ioff_vgs0,1.1442E-06,2.8605E-07
nfet_03v3,typical,125,3.63,0.28u,8,ioff_vgs0,2.2884E-06,2.8605E-07
nfet_03v3,typical,125,3.63,0.28u,16,ioff_vgs0,4.57679E-06,2.8605E-07
nfet_03v3,typical,125,3.63,0.50u,1,ioff_vgs0,6.25704E-09,6.25704E-09
nfet_03v3,typical,125,3.63,0.50u,2,ioff_vgs0,1.25141E-08,6.25704E-09
nfet_03v3,typical,125,3.63,0.50u,4,ioff_vgs0,2.50282E-08,6.25704E-09
nfet_03v3,typical,125,3.63,0.50u,8,ioff_vgs0,5.00563E-08,6.25704E-09
nfet_03v3,typical,125,3.63,0.50u,16,ioff_vgs0,1.00113E-07,6.25704E-09
nfet_03v3,typical,125,3.63,1.00u,1,ioff_vgs0,3.15721E-09,3.15721E-09
nfet_03v3,typical,125,3.63,1.00u,2,ioff_vgs0,6.31442E-09,3.15721E-09
nfet_03v3,typical,125,3.63,1.00u,4,ioff_vgs0,1.26288E-08,3.15721E-09
nfet_03v3,typical,125,3.63,1.00u,8,ioff_vgs0,2.52577E-08,3.15721E-09
nfet_03v3,typical,125,3.63,1.00u,16,ioff_vgs0,5.05154E-08,3.15721E-09
nfet_03v3,ff,-40,2.10,0.28u,1,ioff_vgs0,1.41061E-11,1.41061E-11
nfet_03v3,ff,-40,2.10,0.28u,2,ioff_vgs0,2.82122E-11,1.41061E-11
nfet_03v3,ff,-40,2.10,0.28u,4,ioff_vgs0,5.64244E-11,1.41061E-11
nfet_03v3,ff,-40,2.10,0.28u,8,ioff_vgs0,1.12849E-10,1.41061E-11
nfet_03v3,ff,-40,2.10,0.28u,16,ioff_vgs0,2.25698E-10,1.41061E-11
nfet_03v3,ff,-40,2.10,0.50u,1,ioff_vgs0,1.63922E-13,1.63922E-13
nfet_03v3,ff,-40,2.10,0.50u,2,ioff_vgs0,3.27844E-13,1.63922E-13
nfet_03v3,ff,-40,2.10,0.50u,4,ioff_vgs0,6.55688E-13,1.63922E-13
nfet_03v3,ff,-40,2.10,0.50u,8,ioff_vgs0,1.31138E-12,1.63922E-13
nfet_03v3,ff,-40,2.10,0.50u,16,ioff_vgs0,2.62275E-12,1.63922E-13
nfet_03v3,ff,-40,2.10,1.00u,1,ioff_vgs0,1.07598E-13,1.07598E-13
nfet_03v3,ff,-40,2.10,1.00u,2,ioff_vgs0,2.15195E-13,1.07598E-13
nfet_03v3,ff,-40,2.10,1.00u,4,ioff_vgs0,4.3039E-13,1.07598E-13
nfet_03v3,ff,-40,2.10,1.00u,8,ioff_vgs0,8.60781E-13,1.07598E-13
nfet_03v3,ff,-40,2.10,1.00u,16,ioff_vgs0,1.72156E-12,1.07598E-13
nfet_03v3,ff,-40,2.97,0.28u,1,ioff_vgs0,3.7399E-11,3.7399E-11
nfet_03v3,ff,-40,2.97,0.28u,2,ioff_vgs0,7.47981E-11,3.7399E-11
nfet_03v3,ff,-40,2.97,0.28u,4,ioff_vgs0,1.49596E-10,3.7399E-11
nfet_03v3,ff,-40,2.97,0.28u,8,ioff_vgs0,2.99192E-10,3.7399E-11
nfet_03v3,ff,-40,2.97,0.28u,16,ioff_vgs0,5.98385E-10,3.7399E-11
nfet_03v3,ff,-40,2.97,0.50u,1,ioff_vgs0,1.9068E-13,1.9068E-13
nfet_03v3,ff,-40,2.97,0.50u,2,ioff_vgs0,3.81359E-13,1.9068E-13
nfet_03v3,ff,-40,2.97,0.50u,4,ioff_vgs0,7.62718E-13,1.9068E-13
nfet_03v3,ff,-40,2.97,0.50u,8,ioff_vgs0,1.52544E-12,1.9068E-13
nfet_03v3,ff,-40,2.97,0.50u,16,ioff_vgs0,3.05087E-12,1.9068E-13
nfet_03v3,ff,-40,2.97,1.00u,1,ioff_vgs0,1.16483E-13,1.16483E-13
nfet_03v3,ff,-40,2.97,1.00u,2,ioff_vgs0,2.32966E-13,1.16483E-13
nfet_03v3,ff,-40,2.97,1.00u,4,ioff_vgs0,4.65932E-13,1.16483E-13
nfet_03v3,ff,-40,2.97,1.00u,8,ioff_vgs0,9.31864E-13,1.16483E-13
nfet_03v3,ff,-40,2.97,1.00u,16,ioff_vgs0,1.86373E-12,1.16483E-13
nfet_03v3,ff,-40,3.30,0.28u,1,ioff_vgs0,5.39593E-11,5.39593E-11
nfet_03v3,ff,-40,3.30,0.28u,2,ioff_vgs0,1.07919E-10,5.39593E-11
nfet_03v3,ff,-40,3.30,0.28u,4,ioff_vgs0,2.15837E-10,5.39593E-11
nfet_03v3,ff,-40,3.30,0.28u,8,ioff_vgs0,4.31674E-10,5.39593E-11
nfet_03v3,ff,-40,3.30,0.28u,16,ioff_vgs0,8.63349E-10,5.39593E-11
nfet_03v3,ff,-40,3.30,0.50u,1,ioff_vgs0,2.02071E-13,2.02071E-13
nfet_03v3,ff,-40,3.30,0.50u,2,ioff_vgs0,4.04143E-13,2.02071E-13
nfet_03v3,ff,-40,3.30,0.50u,4,ioff_vgs0,8.08285E-13,2.02071E-13
nfet_03v3,ff,-40,3.30,0.50u,8,ioff_vgs0,1.61657E-12,2.02071E-13
nfet_03v3,ff,-40,3.30,0.50u,16,ioff_vgs0,3.23314E-12,2.02071E-13
nfet_03v3,ff,-40,3.30,1.00u,1,ioff_vgs0,1.20076E-13,1.20076E-13
nfet_03v3,ff,-40,3.30,1.00u,2,ioff_vgs0,2.40151E-13,1.20076E-13
nfet_03v3,ff,-40,3.30,1.00u,4,ioff_vgs0,4.80303E-13,1.20076E-13
nfet_03v3,ff,-40,3.30,1.00u,8,ioff_vgs0,9.60606E-13,1.20076E-13
nfet_03v3,ff,-40,3.30,1.00u,16,ioff_vgs0,1.92121E-12,1.20076E-13
nfet_03v3,ff,-40,3.63,0.28u,1,ioff_vgs0,7.84034E-11,7.84034E-11
nfet_03v3,ff,-40,3.63,0.28u,2,ioff_vgs0,1.56807E-10,7.84034E-11
nfet_03v3,ff,-40,3.63,0.28u,4,ioff_vgs0,3.13614E-10,7.84034E-11
nfet_03v3,ff,-40,3.63,0.28u,8,ioff_vgs0,6.27227E-10,7.84034E-11
nfet_03v3,ff,-40,3.63,0.28u,16,ioff_vgs0,1.25445E-09,7.84034E-11
nfet_03v3,ff,-40,3.63,0.50u,1,ioff_vgs0,2.15196E-13,2.15196E-13
nfet_03v3,ff,-40,3.63,0.50u,2,ioff_vgs0,4.30392E-13,2.15196E-13
nfet_03v3,ff,-40,3.63,0.50u,4,ioff_vgs0,8.60784E-13,2.15196E-13
nfet_03v3,ff,-40,3.63,0.50u,8,ioff_vgs0,1.72157E-12,2.15196E-13
nfet_03v3,ff,-40,3.63,0.50u,16,ioff_vgs0,3.44314E-12,2.15196E-13
nfet_03v3,ff,-40,3.63,1.00u,1,ioff_vgs0,1.24076E-13,1.24076E-13
nfet_03v3,ff,-40,3.63,1.00u,2,ioff_vgs0,2.48152E-13,1.24076E-13
nfet_03v3,ff,-40,3.63,1.00u,4,ioff_vgs0,4.96304E-13,1.24076E-13
nfet_03v3,ff,-40,3.63,1.00u,8,ioff_vgs0,9.92609E-13,1.24076E-13
nfet_03v3,ff,-40,3.63,1.00u,16,ioff_vgs0,1.98522E-12,1.24076E-13
nfet_03v3,ff,27,2.10,0.28u,1,ioff_vgs0,5.77102E-09,5.77102E-09
nfet_03v3,ff,27,2.10,0.28u,2,ioff_vgs0,1.1542E-08,5.77102E-09
nfet_03v3,ff,27,2.10,0.28u,4,ioff_vgs0,2.30841E-08,5.77102E-09
nfet_03v3,ff,27,2.10,0.28u,8,ioff_vgs0,4.61681E-08,5.77102E-09
nfet_03v3,ff,27,2.10,0.28u,16,ioff_vgs0,9.23363E-08,5.77102E-09
nfet_03v3,ff,27,2.10,0.50u,1,ioff_vgs0,1.4264E-10,1.4264E-10
nfet_03v3,ff,27,2.10,0.50u,2,ioff_vgs0,2.85279E-10,1.4264E-10
nfet_03v3,ff,27,2.10,0.50u,4,ioff_vgs0,5.70559E-10,1.4264E-10
nfet_03v3,ff,27,2.10,0.50u,8,ioff_vgs0,1.14112E-09,1.4264E-10
nfet_03v3,ff,27,2.10,0.50u,16,ioff_vgs0,2.28223E-09,1.4264E-10
nfet_03v3,ff,27,2.10,1.00u,1,ioff_vgs0,8.41159E-11,8.41159E-11
nfet_03v3,ff,27,2.10,1.00u,2,ioff_vgs0,1.68232E-10,8.41159E-11
nfet_03v3,ff,27,2.10,1.00u,4,ioff_vgs0,3.36463E-10,8.41159E-11
nfet_03v3,ff,27,2.10,1.00u,8,ioff_vgs0,6.72927E-10,8.41159E-11
nfet_03v3,ff,27,2.10,1.00u,16,ioff_vgs0,1.34585E-09,8.41159E-11
nfet_03v3,ff,27,2.97,0.28u,1,ioff_vgs0,1.26431E-08,1.26431E-08
nfet_03v3,ff,27,2.97,0.28u,2,ioff_vgs0,2.52863E-08,1.26431E-08
nfet_03v3,ff,27,2.97,0.28u,4,ioff_vgs0,5.05726E-08,1.26431E-08
nfet_03v3,ff,27,2.97,0.28u,8,ioff_vgs0,1.01145E-07,1.26431E-08
nfet_03v3,ff,27,2.97,0.28u,16,ioff_vgs0,2.0229E-07,1.26431E-08
nfet_03v3,ff,27,2.97,0.50u,1,ioff_vgs0,1.61662E-10,1.61662E-10
nfet_03v3,ff,27,2.97,0.50u,2,ioff_vgs0,3.23324E-10,1.61662E-10
nfet_03v3,ff,27,2.97,0.50u,4,ioff_vgs0,6.46647E-10,1.61662E-10
nfet_03v3,ff,27,2.97,0.50u,8,ioff_vgs0,1.29329E-09,1.61662E-10
nfet_03v3,ff,27,2.97,0.50u,16,ioff_vgs0,2.58659E-09,1.61662E-10
nfet_03v3,ff,27,2.97,1.00u,1,ioff_vgs0,8.9802E-11,8.9802E-11
nfet_03v3,ff,27,2.97,1.00u,2,ioff_vgs0,1.79604E-10,8.9802E-11
nfet_03v3,ff,27,2.97,1.00u,4,ioff_vgs0,3.59208E-10,8.9802E-11
nfet_03v3,ff,27,2.97,1.00u,8,ioff_vgs0,7.18416E-10,8.9802E-11
nfet_03v3,ff,27,2.97,1.00u,16,ioff_vgs0,1.43683E-09,8.9802E-11
nfet_03v3,ff,27,3.30,0.28u,1,ioff_vgs0,1.69947E-08,1.69947E-08
nfet_03v3,ff,27,3.30,0.28u,2,ioff_vgs0,3.39894E-08,1.69947E-08
nfet_03v3,ff,27,3.30,0.28u,4,ioff_vgs0,6.79788E-08,1.69947E-08
nfet_03v3,ff,27,3.30,0.28u,8,ioff_vgs0,1.35958E-07,1.69947E-08
nfet_03v3,ff,27,3.30,0.28u,16,ioff_vgs0,2.71915E-07,1.69947E-08
nfet_03v3,ff,27,3.30,0.50u,1,ioff_vgs0,1.69752E-10,1.69752E-10
nfet_03v3,ff,27,3.30,0.50u,2,ioff_vgs0,3.39505E-10,1.69752E-10
nfet_03v3,ff,27,3.30,0.50u,4,ioff_vgs0,6.79009E-10,1.69752E-10
nfet_03v3,ff,27,3.30,0.50u,8,ioff_vgs0,1.35802E-09,1.69752E-10
nfet_03v3,ff,27,3.30,0.50u,16,ioff_vgs0,2.71604E-09,1.69752E-10
nfet_03v3,ff,27,3.30,1.00u,1,ioff_vgs0,9.21224E-11,9.21224E-11
