device,l_um,w_mm,metric,supply_class,n_cases,n_infeasible,worst_rds_ohm,worst_vsd_v,worst_corner,worst_temp_c,worst_vin_v,best_rds_ohm,best_corner,best_temp_c,best_vin_v
pfet_03v3,0.50u,4,rlin_at_50mV,dropout_testpoint,15,0,4.20378,0.05,ss,125,2.10,2.05718,ff,-40,2.10
pfet_03v3,0.50u,4,rlin_at_50mV,lv,45,0,2.83072,0.05,ss,125,2.97,1.307,ff,-40,3.63
pfet_03v3,0.50u,8,drop_at_100mA,dropout_testpoint,15,0,2.31131,0.231131,ss,125,2.10,1.05858,ff,-40,2.10
pfet_03v3,0.50u,8,drop_at_100mA,lv,45,0,1.45919,0.145919,ss,125,2.97,0.6561,ff,-40,3.63
pfet_03v3,0.50u,8,drop_at_50mA,dropout_testpoint,15,0,2.1655,0.108275,ss,125,2.10,1.02936,ff,-40,2.10
pfet_03v3,0.50u,8,drop_at_50mA,lv,45,0,1.42488,0.0712439,ss,125,2.97,0.650608,ff,-40,3.63
pfet_03v3,0.50u,8,rlin_at_50mV,dropout_testpoint,15,0,2.10189,0.05,ss,125,2.10,1.02859,ff,-40,2.10
pfet_03v3,0.50u,8,rlin_at_50mV,lv,45,0,1.41536,0.05,ss,125,2.97,0.6535,ff,-40,3.63
pfet_03v3,0.50u,16,drop_at_100mA,dropout_testpoint,15,0,1.08275,0.108275,ss,125,2.10,0.514681,ff,-40,2.10
pfet_03v3,0.50u,16,drop_at_100mA,lv,45,0,0.712439,0.0712439,ss,125,2.97,0.325304,ff,-40,3.63
pfet_03v3,0.50u,16,drop_at_50mA,dropout_testpoint,15,0,1.05234,0.0526169,ss,125,2.10,0.507915,ff,-40,2.10
pfet_03v3,0.50u,16,drop_at_50mA,lv,45,0,0.704401,0.0352201,ss,125,2.97,0.323961,ff,-40,3.63
pfet_03v3,0.50u,16,rlin_at_50mV,dropout_testpoint,15,0,1.05095,0.05,ss,125,2.10,0.514296,ff,-40,2.10
pfet_03v3,0.50u,16,rlin_at_50mV,lv,45,0,0.707681,0.05,ss,125,2.97,0.32675,ff,-40,3.63
pfet_03v3,1.00u,1,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_03v3,1.00u,1,drop_at_100mA,lv,45,40,29.9202,2.99202,ff,-40,3.30,14.398,ff,-40,3.63
pfet_03v3,1.00u,1,drop_at_50mA,dropout_testpoint,15,15,,,,,,,,,
pfet_03v3,1.00u,1,drop_at_50mA,lv,45,4,38.4482,1.92241,fs,27,2.97,11.2178,ff,-40,3.63
pfet_03v3,1.00u,1,rlin_at_50mV,dropout_testpoint,15,0,33.966,0.05,ss,125,2.10,16.2499,ff,-40,2.10
pfet_03v3,1.00u,1,rlin_at_50mV,lv,45,0,22.252,0.05,ss,125,2.97,9.89113,ff,-40,3.63
pfet_03v3,1.00u,2,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_03v3,1.00u,2,drop_at_100mA,lv,45,4,19.2241,1.92241,fs,27,2.97,5.60891,ff,-40,3.63
pfet_03v3,1.00u,2,drop_at_50mA,dropout_testpoint,15,9,25.0634,1.25317,ff,125,2.10,10.7105,ff,-40,2.10
pfet_03v3,1.00u,2,drop_at_50mA,lv,45,0,13.8276,0.69138,ss,125,2.97,5.20088,ff,-40,3.63
pfet_03v3,1.00u,2,rlin_at_50mV,dropout_testpoint,15,0,16.983,0.05,ss,125,2.10,8.12497,ff,-40,2.10
pfet_03v3,1.00u,2,rlin_at_50mV,lv,45,0,11.126,0.05,ss,125,2.97,4.94557,ff,-40,3.63
pfet_03v3,1.00u,4,drop_at_100mA,dropout_testpoint,15,9,12.5317,1.25317,ff,125,2.10,5.35527,ff,-40,2.10
pfet_03v3,1.00u,4,drop_at_100mA,lv,45,0,6.9138,0.69138,ss,125,2.97,2.60044,ff,-40,3.63
pfet_03v3,1.00u,4,drop_at_50mA,dropout_testpoint,15,0,11.7299,0.586494,ss,125,2.10,4.44892,ff,-40,2.10
pfet_03v3,1.00u,4,drop_at_50mA,lv,45,0,6.02984,0.301492,ss,125,2.97,2.51762,ff,-40,3.63
pfet_03v3,1.00u,4,rlin_at_50mV,dropout_testpoint,15,0,8.49151,0.05,ss,125,2.10,4.06248,ff,-40,2.10
pfet_03v3,1.00u,4,rlin_at_50mV,lv,45,0,5.563,0.05,ss,125,2.97,2.47278,ff,-40,3.63
pfet_03v3,1.00u,8,drop_at_100mA,dropout_testpoint,15,0,5.86494,0.586494,ss,125,2.10,2.22446,ff,-40,2.10
pfet_03v3,1.00u,8,drop_at_100mA,lv,45,0,3.01492,0.301492,ss,125,2.97,1.25881,ff,-40,3.63
pfet_03v3,1.00u,8,drop_at_50mA,dropout_testpoint,15,0,4.6976,0.23488,ss,125,2.10,2.0888,ff,-40,2.10
pfet_03v3,1.00u,8,drop_at_50mA,lv,45,0,2.86403,0.143201,ss,125,2.97,1.23989,ff,-40,3.63
pfet_03v3,1.00u,8,rlin_at_50mV,dropout_testpoint,15,0,4.24575,0.05,ss,125,2.10,2.03124,ff,-40,2.10
pfet_03v3,1.00u,8,rlin_at_50mV,lv,45,0,2.7815,0.05,ss,125,2.97,1.23639,ff,-40,3.63
pfet_03v3,1.00u,16,drop_at_100mA,dropout_testpoint,15,0,2.3488,0.23488,ss,125,2.10,1.0444,ff,-40,2.10
pfet_03v3,1.00u,16,drop_at_100mA,lv,45,0,1.43201,0.143201,ss,125,2.97,0.619945,ff,-40,3.63
pfet_03v3,1.00u,16,drop_at_50mA,dropout_testpoint,15,0,2.19102,0.109551,ss,125,2.10,1.01603,ff,-40,2.10
pfet_03v3,1.00u,16,drop_at_50mA,lv,45,0,1.39941,0.0699703,ss,125,2.97,0.61541,ff,-40,3.63
pfet_03v3,1.00u,16,rlin_at_50mV,dropout_testpoint,15,0,2.12288,0.05,ss,125,2.10,1.01562,ff,-40,2.10
pfet_03v3,1.00u,16,rlin_at_50mV,lv,45,0,1.39075,0.05,ss,125,2.97,0.618196,ff,-40,3.63
pfet_05v0,0.50u,1,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,0.50u,1,drop_at_100mA,lv,45,18,33.8583,3.38583,ss,27,3.63,6.59306,ff,-40,3.63
pfet_05v0,0.50u,1,drop_at_100mA,mv,45,0,16.1644,1.61644,ss,125,4.50,4.48545,ff,-40,5.50
pfet_05v0,0.50u,1,drop_at_50mA,dropout_testpoint,15,12,27.6823,1.38412,ff,27,2.10,14.7037,ff,-40,2.10
pfet_05v0,0.50u,1,drop_at_50mA,lv,45,0,32.3832,1.61916,ss,125,2.97,5.76534,ff,-40,3.63
pfet_05v0,0.50u,1,drop_at_50mA,mv,45,0,12.7615,0.638076,ss,125,4.50,4.24017,ff,-40,5.50
pfet_05v0,0.50u,1,rlin_at_50mV,dropout_testpoint,15,0,26.2069,0.05,ss,125,2.10,8.99704,ff,-40,2.10
pfet_05v0,0.50u,1,rlin_at_50mV,lv,45,0,16.9302,0.05,ss,125,2.97,5.30217,ff,-40,3.63
pfet_05v0,0.50u,1,rlin_at_50mV,mv,45,0,11.2461,0.05,ss,125,4.50,4.08069,ff,-40,5.50
pfet_05v0,0.50u,2,drop_at_100mA,dropout_testpoint,15,12,13.8412,1.38412,ff,27,2.10,7.35185,ff,-40,2.10
pfet_05v0,0.50u,2,drop_at_100mA,lv,45,0,16.1916,1.61916,ss,125,2.97,2.88267,ff,-40,3.63
pfet_05v0,0.50u,2,drop_at_100mA,mv,45,0,6.38076,0.638076,ss,125,4.50,2.12008,ff,-40,5.50
pfet_05v0,0.50u,2,drop_at_50mA,dropout_testpoint,15,2,33.9091,1.69545,fs,125,2.10,5.15593,ff,-40,2.10
pfet_05v0,0.50u,2,drop_at_50mA,lv,45,0,9.87619,0.49381,ss,125,2.97,2.73254,ff,-40,3.63
pfet_05v0,0.50u,2,drop_at_50mA,mv,45,0,5.9214,0.29607,ss,125,4.50,2.06622,ff,-40,5.50
pfet_05v0,0.50u,2,rlin_at_50mV,dropout_testpoint,15,0,13.1035,0.05,ss,125,2.10,4.49852,ff,-40,2.10
pfet_05v0,0.50u,2,rlin_at_50mV,lv,45,0,8.46512,0.05,ss,125,2.97,2.65108,ff,-40,3.63
pfet_05v0,0.50u,2,rlin_at_50mV,mv,45,0,5.62307,0.05,ss,125,4.50,2.04035,ff,-40,5.50
pfet_05v0,0.50u,4,drop_at_100mA,dropout_testpoint,15,2,16.9545,1.69545,fs,125,2.10,2.57796,ff,-40,2.10
pfet_05v0,0.50u,4,drop_at_100mA,lv,45,0,4.9381,0.49381,ss,125,2.97,1.36627,ff,-40,3.63
pfet_05v0,0.50u,4,drop_at_100mA,mv,45,0,2.9607,0.29607,ss,125,4.50,1.03311,ff,-40,5.50
pfet_05v0,0.50u,4,drop_at_50mA,dropout_testpoint,15,0,7.97547,0.398774,ss,125,2.10,2.34885,ff,-40,2.10
pfet_05v0,0.50u,4,drop_at_50mA,lv,45,0,4.4876,0.22438,ss,125,2.97,1.33326,ff,-40,3.63
pfet_05v0,0.50u,4,drop_at_50mA,mv,45,0,2.86666,0.143333,ss,125,4.50,1.02042,ff,-40,5.50
pfet_05v0,0.50u,4,rlin_at_50mV,dropout_testpoint,15,0,6.55173,0.05,ss,125,2.10,2.24926,ff,-40,2.10
pfet_05v0,0.50u,4,rlin_at_50mV,lv,45,0,4.23256,0.05,ss,125,2.97,1.32554,ff,-40,3.63
pfet_05v0,0.50u,4,rlin_at_50mV,mv,45,0,2.81153,0.05,ss,125,4.50,1.02017,ff,-40,5.50
pfet_05v0,0.50u,8,drop_at_100mA,dropout_testpoint,15,0,3.98774,0.398774,ss,125,2.10,1.17443,ff,-40,2.10
pfet_05v0,0.50u,8,drop_at_100mA,lv,45,0,2.2438,0.22438,ss,125,2.97,0.66663,ff,-40,3.63
pfet_05v0,0.50u,8,drop_at_100mA,mv,45,0,1.43333,0.143333,ss,125,4.50,0.510209,ff,-40,5.50
pfet_05v0,0.50u,8,drop_at_50mA,dropout_testpoint,15,0,3.50277,0.175138,ss,125,2.10,1.12927,ff,-40,2.10
pfet_05v0,0.50u,8,drop_at_50mA,lv,45,0,2.15718,0.107859,ss,125,2.97,0.658849,ff,-40,3.63
pfet_05v0,0.50u,8,drop_at_50mA,mv,45,0,1.41177,0.0705887,ss,125,4.50,0.507126,ff,-40,5.50
pfet_05v0,0.50u,8,rlin_at_50mV,dropout_testpoint,15,0,3.27587,0.05,ss,125,2.10,1.12463,ff,-40,2.10
pfet_05v0,0.50u,8,rlin_at_50mV,lv,45,0,2.11628,0.05,ss,125,2.97,0.662771,ff,-40,3.63
pfet_05v0,0.50u,8,rlin_at_50mV,mv,45,0,1.40577,0.05,ss,125,4.50,0.510086,ff,-40,5.50
pfet_05v0,0.50u,16,drop_at_100mA,dropout_testpoint,15,0,1.75138,0.175138,ss,125,2.10,0.564634,ff,-40,2.10
pfet_05v0,0.50u,16,drop_at_100mA,lv,45,0,1.07859,0.107859,ss,125,2.97,0.329424,ff,-40,3.63
pfet_05v0,0.50u,16,drop_at_100mA,mv,45,0,0.705887,0.0705887,ss,125,4.50,0.253563,ff,-40,5.50
pfet_05v0,0.50u,16,drop_at_50mA,dropout_testpoint,15,0,1.66684,0.0833418,ss,125,2.10,0.554426,ff,-40,2.10
pfet_05v0,0.50u,16,drop_at_50mA,lv,45,0,1.05917,0.0529584,ss,125,2.97,0.327533,ff,-40,3.63
pfet_05v0,0.50u,16,drop_at_50mA,mv,45,0,0.700713,0.0350357,ss,125,4.50,0.252803,ff,-40,5.50
pfet_05v0,0.50u,16,rlin_at_50mV,dropout_testpoint,15,0,1.63793,0.05,ss,125,2.10,0.562315,ff,-40,2.10
pfet_05v0,0.50u,16,rlin_at_50mV,lv,45,0,1.05814,0.05,ss,125,2.97,0.331385,ff,-40,3.63
pfet_05v0,0.50u,16,rlin_at_50mV,mv,45,0,0.702883,0.05,ss,125,4.50,0.255043,ff,-40,5.50
pfet_05v0,0.60u,1,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,0.60u,1,drop_at_100mA,lv,45,30,25.6887,2.56887,sf,125,3.63,8.63174,ff,-40,3.63
pfet_05v0,0.60u,1,drop_at_100mA,mv,45,0,23.8228,2.38228,ss,125,4.50,5.52749,ff,-40,5.50
pfet_05v0,0.60u,1,drop_at_50mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,0.60u,1,drop_at_50mA,lv,45,2,33.6641,1.68321,ss,27,2.97,7.22389,ff,-40,3.63
pfet_05v0,0.60u,1,drop_at_50mA,mv,45,0,15.6119,0.780596,ss,125,4.50,5.17416,ff,-40,5.50
pfet_05v0,0.60u,1,rlin_at_50mV,dropout_testpoint,15,0,31.6144,0.05,ss,125,2.10,11.3387,ff,-40,2.10
pfet_05v0,0.60u,1,rlin_at_50mV,lv,45,0,20.2432,0.05,ss,125,2.97,6.50661,ff,-40,3.63
pfet_05v0,0.60u,1,rlin_at_50mV,mv,45,0,13.3405,0.05,ss,125,4.50,4.93994,ff,-40,5.50
pfet_05v0,0.60u,2,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,0.60u,2,drop_at_100mA,lv,45,2,16.8321,1.68321,ss,27,2.97,3.61194,ff,-40,3.63
pfet_05v0,0.60u,2,drop_at_100mA,mv,45,0,7.80596,0.780596,ss,125,4.50,2.58708,ff,-40,5.50
pfet_05v0,0.60u,2,drop_at_50mA,dropout_testpoint,15,5,31.5976,1.57988,typical,125,2.10,6.87272,ff,-40,2.10
pfet_05v0,0.60u,2,drop_at_50mA,lv,45,0,12.396,0.619802,ss,125,2.97,3.38479,ff,-40,3.63
pfet_05v0,0.60u,2,drop_at_50mA,mv,45,0,7.10897,0.355449,ss,125,4.50,2.51163,ff,-40,5.50
pfet_05v0,0.60u,2,rlin_at_50mV,dropout_testpoint,15,0,15.8072,0.05,ss,125,2.10,5.66933,ff,-40,2.10
pfet_05v0,0.60u,2,rlin_at_50mV,lv,45,0,10.1216,0.05,ss,125,2.97,3.25331,ff,-40,3.63
pfet_05v0,0.60u,2,rlin_at_50mV,mv,45,0,6.67025,0.05,ss,125,4.50,2.46997,ff,-40,5.50
pfet_05v0,0.60u,4,drop_at_100mA,dropout_testpoint,15,5,15.7988,1.57988,typical,125,2.10,3.43636,ff,-40,2.10
pfet_05v0,0.60u,4,drop_at_100mA,lv,45,0,6.19802,0.619802,ss,125,2.97,1.69239,ff,-40,3.63
pfet_05v0,0.60u,4,drop_at_100mA,mv,45,0,3.55449,0.355449,ss,125,4.50,1.25582,ff,-40,5.50
pfet_05v0,0.60u,4,drop_at_50mA,dropout_testpoint,15,0,10.4779,0.523893,ss,125,2.10,3.02166,ff,-40,2.10
pfet_05v0,0.60u,4,drop_at_50mA,lv,45,0,5.45772,0.272886,ss,125,2.97,1.64407,ff,-40,3.63
pfet_05v0,0.60u,4,drop_at_50mA,mv,45,0,3.41922,0.170961,ss,125,4.50,1.23824,ff,-40,5.50
pfet_05v0,0.60u,4,rlin_at_50mV,dropout_testpoint,15,0,7.90361,0.05,ss,125,2.10,2.83466,ff,-40,2.10
pfet_05v0,0.60u,4,rlin_at_50mV,lv,45,0,5.06081,0.05,ss,125,2.97,1.62665,ff,-40,3.63
pfet_05v0,0.60u,4,rlin_at_50mV,mv,45,0,3.33513,0.05,ss,125,4.50,1.23499,ff,-40,5.50
pfet_05v0,0.60u,8,drop_at_100mA,dropout_testpoint,15,0,5.23893,0.523893,ss,125,2.10,1.51083,ff,-40,2.10
pfet_05v0,0.60u,8,drop_at_100mA,lv,45,0,2.72886,0.272886,ss,125,2.97,0.822034,ff,-40,3.63
pfet_05v0,0.60u,8,drop_at_100mA,mv,45,0,1.70961,0.170961,ss,125,4.50,0.619121,ff,-40,5.50
pfet_05v0,0.60u,8,drop_at_50mA,dropout_testpoint,15,0,4.33061,0.21653,ss,125,2.10,1.43675,ff,-40,2.10
pfet_05v0,0.60u,8,drop_at_50mA,lv,45,0,2.59854,0.129927,ss,125,2.97,0.810792,ff,-40,3.63
pfet_05v0,0.60u,8,drop_at_50mA,mv,45,0,1.67919,0.0839596,ss,125,4.50,0.614872,ff,-40,5.50
pfet_05v0,0.60u,8,rlin_at_50mV,dropout_testpoint,15,0,3.9518,0.05,ss,125,2.10,1.41733,ff,-40,2.10
pfet_05v0,0.60u,8,rlin_at_50mV,lv,45,0,2.53041,0.05,ss,125,2.97,0.813327,ff,-40,3.63
pfet_05v0,0.60u,8,rlin_at_50mV,mv,45,0,1.66756,0.05,ss,125,4.50,0.617493,ff,-40,5.50
pfet_05v0,0.60u,16,drop_at_100mA,dropout_testpoint,15,0,2.1653,0.21653,ss,125,2.10,0.718376,ff,-40,2.10
pfet_05v0,0.60u,16,drop_at_100mA,lv,45,0,1.29927,0.129927,ss,125,2.97,0.405396,ff,-40,3.63
pfet_05v0,0.60u,16,drop_at_100mA,mv,45,0,0.839596,0.0839596,ss,125,4.50,0.307436,ff,-40,5.50
pfet_05v0,0.60u,16,drop_at_50mA,dropout_testpoint,15,0,2.03118,0.101559,ss,125,2.10,0.70216,ff,-40,2.10
pfet_05v0,0.60u,16,drop_at_50mA,lv,45,0,1.27086,0.0635432,ss,125,2.97,0.40268,ff,-40,3.63
pfet_05v0,0.60u,16,drop_at_50mA,mv,45,0,0.832357,0.0416178,ss,125,4.50,0.306392,ff,-40,5.50
pfet_05v0,0.60u,16,rlin_at_50mV,dropout_testpoint,15,0,1.9759,0.05,ss,125,2.10,0.708666,ff,-40,2.10
pfet_05v0,0.60u,16,rlin_at_50mV,lv,45,0,1.2652,0.05,ss,125,2.97,0.406663,ff,-40,3.63
pfet_05v0,0.60u,16,rlin_at_50mV,mv,45,0,0.833782,0.05,ss,125,4.50,0.308746,ff,-40,5.50
pfet_05v0,1.00u,1,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,1.00u,1,drop_at_100mA,lv,45,45,,,,,,,,,
pfet_05v0,1.00u,1,drop_at_100mA,mv,45,14,34.8806,3.48806,fs,125,5.50,10.2632,ff,-40,5.50
pfet_05v0,1.00u,1,drop_at_50mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,1.00u,1,drop_at_50mA,lv,45,23,68.2251,3.41126,typical,125,3.63,14.0348,ff,-40,3.63
pfet_05v0,1.00u,1,drop_at_50mA,mv,45,0,30.4659,1.5233,ss,125,4.50,9.1395,ff,-40,5.50
pfet_05v0,1.00u,1,rlin_at_50mV,dropout_testpoint,15,0,53.5476,0.05,ss,125,2.10,20.9496,ff,-40,2.10
pfet_05v0,1.00u,1,rlin_at_50mV,lv,45,0,33.6648,0.05,ss,125,2.97,11.4297,ff,-40,3.63
pfet_05v0,1.00u,1,rlin_at_50mV,mv,45,0,21.816,0.05,ss,125,4.50,8.44532,ff,-40,5.50
pfet_05v0,1.00u,2,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,1.00u,2,drop_at_100mA,lv,45,23,34.1126,3.41126,typical,125,3.63,7.01741,ff,-40,3.63
pfet_05v0,1.00u,2,drop_at_100mA,mv,45,0,15.233,1.5233,ss,125,4.50,4.56975,ff,-40,5.50
pfet_05v0,1.00u,2,drop_at_50mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,1.00u,2,drop_at_50mA,lv,45,0,48.2992,2.41496,ss,125,2.97,6.182,ff,-40,3.63
pfet_05v0,1.00u,2,drop_at_50mA,mv,45,0,12.2642,0.613212,ss,125,4.50,4.36112,ff,-40,5.50
pfet_05v0,1.00u,2,rlin_at_50mV,dropout_testpoint,15,0,26.7738,0.05,ss,125,2.10,10.4748,ff,-40,2.10
pfet_05v0,1.00u,2,rlin_at_50mV,lv,45,0,16.8324,0.05,ss,125,2.97,5.71485,ff,-40,3.63
pfet_05v0,1.00u,2,rlin_at_50mV,mv,45,0,10.908,0.05,ss,125,4.50,4.22266,ff,-40,5.50
pfet_05v0,1.00u,4,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_05v0,1.00u,4,drop_at_100mA,lv,45,0,24.1496,2.41496,ss,125,2.97,3.091,ff,-40,3.63
pfet_05v0,1.00u,4,drop_at_100mA,mv,45,0,6.13212,0.613212,ss,125,4.50,2.18056,ff,-40,5.50
pfet_05v0,1.00u,4,drop_at_50mA,dropout_testpoint,15,4,35.8118,1.79059,ss,-40,2.10,6.17414,ff,-40,2.10
pfet_05v0,1.00u,4,drop_at_50mA,lv,45,0,9.8415,0.492075,ss,125,2.97,2.94154,ff,-40,3.63
pfet_05v0,1.00u,4,drop_at_50mA,mv,45,0,5.72095,0.286048,ss,125,4.50,2.13433,ff,-40,5.50
pfet_05v0,1.00u,4,rlin_at_50mV,dropout_testpoint,15,0,13.3869,0.05,ss,125,2.10,5.2374,ff,-40,2.10
pfet_05v0,1.00u,4,rlin_at_50mV,lv,45,0,8.41621,0.05,ss,125,2.97,2.85742,ff,-40,3.63
pfet_05v0,1.00u,4,rlin_at_50mV,mv,45,0,5.454,0.05,ss,125,4.50,2.11133,ff,-40,5.50
pfet_05v0,1.00u,8,drop_at_100mA,dropout_testpoint,15,4,17.9059,1.79059,ss,-40,2.10,3.08707,ff,-40,2.10
pfet_05v0,1.00u,8,drop_at_100mA,lv,45,0,4.92075,0.492075,ss,125,2.97,1.47077,ff,-40,3.63
