device,l_um,metric,supply_class,rds_target_ohm,target_meaning,w_required_mm_worst_case,worst_corner,worst_temp_c,worst_vin_v,w_required_mm_best_case,best_corner,best_temp_c,best_vin_v,n_cases_solved,n_cases_below_swept_widths,n_cases_above_swept_widths,worst_case_bounded
pfet_05v0,0.60u,drop_at_100mA,mv,4.0,200 mV @ 50 mA,3.60474,ss,125,4.50,1.34353,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.60u,drop_at_100mA,mv,6.0,300 mV @ 50 mA,2.52185,ss,125,4.50,1.04485,sf,-40,5.00,42,3,0,yes
pfet_05v0,0.60u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,11.1957,ss,125,2.10,4.02692,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.60u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,8.60332,ss,125,2.10,3.15726,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.60u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,6.19447,ss,125,2.10,2.24273,ff,-40,2.10,14,1,0,yes
pfet_05v0,0.60u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,6.9954,ss,125,2.97,2.24563,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.60u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,5.34703,ss,125,2.97,1.71679,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.60u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,3.69232,ss,125,2.97,1.18498,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.60u,drop_at_50mA,mv,3.0,300 mV @ 100 mA,4.54393,ss,125,4.50,1.68665,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.60u,drop_at_50mA,mv,4.0,200 mV @ 50 mA,3.44777,ss,125,4.50,1.27998,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.60u,drop_at_50mA,mv,6.0,300 mV @ 50 mA,2.34845,ss,125,4.50,1.04418,sf,-40,4.50,39,6,0,yes
pfet_05v0,0.60u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,10.5381,ss,125,2.10,3.77955,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.60u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,7.9036,ss,125,2.10,2.83466,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.60u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,5.26907,ss,125,2.10,1.88978,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.60u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,6.74776,ss,125,2.97,2.16887,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.60u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,5.06081,ss,125,2.97,1.62665,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.60u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,3.37387,ss,125,2.97,1.08444,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.60u,rlin_at_50mV,mv,3.0,300 mV @ 100 mA,4.44684,ss,125,4.50,1.64665,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.60u,rlin_at_50mV,mv,4.0,200 mV @ 50 mA,3.33513,ss,125,4.50,1.23498,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.60u,rlin_at_50mV,mv,6.0,300 mV @ 50 mA,2.22342,ss,125,4.50,1.00168,typical,-40,5.00,38,7,0,yes
pfet_05v0,1.00u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,14.8178,ss,-40,2.10,8.1998,ff,-40,2.10,10,1,4,NO - lower bound only
pfet_05v0,1.00u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,13.5383,typical,125,2.10,8.23608,ff,27,2.10,9,5,1,NO - lower bound only
pfet_05v0,1.00u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,11.666,ss,-40,2.10,8.1277,fs,-40,2.10,4,11,0,yes
pfet_05v0,1.00u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,12.3439,ss,125,2.97,4.11312,ff,-40,3.63,45,0,0,yes
pfet_05v0,1.00u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,9.59286,ss,125,2.97,3.21668,ff,-40,3.63,45,0,0,yes
pfet_05v0,1.00u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,7.3378,ss,125,2.97,2.28317,ff,-40,3.63,40,5,0,yes
pfet_05v0,1.00u,drop_at_100mA,mv,3.0,300 mV @ 100 mA,7.66108,ss,125,4.50,2.96659,ff,-40,5.50,45,0,0,yes
pfet_05v0,1.00u,drop_at_100mA,mv,4.0,200 mV @ 50 mA,5.89824,ss,125,4.50,2.26574,ff,-40,5.50,45,0,0,yes
pfet_05v0,1.00u,drop_at_100mA,mv,6.0,300 mV @ 50 mA,4.07998,ss,125,4.50,1.58387,ff,-40,5.50,45,0,0,yes
pfet_05v0,1.00u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,15.018,typical,125,2.10,7.45299,ff,-40,2.10,13,0,2,NO - lower bound only
pfet_05v0,1.00u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,14.6795,ss,125,2.10,5.81573,ff,-40,2.10,15,0,0,yes
pfet_05v0,1.00u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,10.5146,ss,125,2.10,4.0999,ff,-40,2.10,14,1,0,yes
pfet_05v0,1.00u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,11.6477,ss,125,2.97,3.92721,ff,-40,3.63,45,0,0,yes
pfet_05v0,1.00u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,8.87286,ss,125,2.97,3.0025,ff,-40,3.63,45,0,0,yes
pfet_05v0,1.00u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,6.17197,ss,125,2.97,2.05656,ff,-40,3.63,45,0,0,yes
pfet_05v0,1.00u,drop_at_50mA,mv,3.0,300 mV @ 100 mA,7.42622,ss,125,4.50,2.87498,ff,-40,5.50,45,0,0,yes
pfet_05v0,1.00u,drop_at_50mA,mv,4.0,200 mV @ 50 mA,5.63659,ss,125,4.50,2.17492,ff,-40,5.50,45,0,0,yes
pfet_05v0,1.00u,drop_at_50mA,mv,6.0,300 mV @ 50 mA,3.83053,ss,125,4.50,1.4833,ff,-40,5.50,45,0,0,yes
pfet_05v0,1.00u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,14.2324,typical,125,2.10,6.9832,ff,-40,2.10,13,0,2,NO - lower bound only
pfet_05v0,1.00u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,13.3869,ss,125,2.10,5.2374,ff,-40,2.10,15,0,0,yes
pfet_05v0,1.00u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,8.9246,ss,125,2.10,3.4916,ff,-40,2.10,15,0,0,yes
pfet_05v0,1.00u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,11.2216,ss,125,2.97,3.80989,ff,-40,3.63,45,0,0,yes
pfet_05v0,1.00u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,8.4162,ss,125,2.97,2.85742,ff,-40,3.63,45,0,0,yes
pfet_05v0,1.00u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,5.6108,ss,125,2.97,1.90495,ff,-40,3.63,45,0,0,yes
pfet_05v0,1.00u,rlin_at_50mV,mv,3.0,300 mV @ 100 mA,7.272,ss,125,4.50,2.81511,ff,-40,5.50,45,0,0,yes
pfet_05v0,1.00u,rlin_at_50mV,mv,4.0,200 mV @ 50 mA,5.454,ss,125,4.50,2.11133,ff,-40,5.50,45,0,0,yes
pfet_05v0,1.00u,rlin_at_50mV,mv,6.0,300 mV @ 50 mA,3.636,ss,125,4.50,1.40755,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.55u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,11.2827,ss,125,2.10,3.99353,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.55u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,8.92307,ss,125,2.10,3.4814,ff,-40,2.10,11,4,0,yes
pfet_06v0,0.55u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,6.05845,fs,27,2.10,2.86912,ff,-40,2.10,7,8,0,yes
pfet_06v0,0.55u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,6.79692,ss,125,2.97,2.14798,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.55u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,5.30333,ss,125,2.97,1.68406,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.55u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,3.57552,fs,125,2.97,1.20875,ff,-40,3.63,39,6,0,yes
pfet_06v0,0.55u,drop_at_100mA,mv,3.0,300 mV @ 100 mA,4.3229,ss,125,4.50,1.59903,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.55u,drop_at_100mA,mv,4.0,200 mV @ 50 mA,3.32823,ss,125,4.50,1.22752,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.55u,drop_at_100mA,mv,6.0,300 mV @ 50 mA,2.31797,ss,125,4.50,1.03996,sf,-40,4.50,39,6,0,yes
pfet_06v0,0.55u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,10.2199,ss,125,2.10,3.62832,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.55u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,7.85239,ss,125,2.10,2.8302,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.55u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,5.64135,ss,125,2.10,1.99676,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.55u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,6.42612,ss,125,2.97,2.03576,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.55u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,4.90315,ss,125,2.97,1.56051,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.55u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,3.39846,ss,125,2.97,1.07399,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.55u,drop_at_50mA,mv,3.0,300 mV @ 100 mA,4.1843,ss,125,4.50,1.54103,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.55u,drop_at_50mA,mv,4.0,200 mV @ 50 mA,3.17878,ss,125,4.50,1.1686,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.55u,drop_at_50mA,mv,6.0,300 mV @ 50 mA,2.16145,ss,125,4.50,1.00809,ff,27,5.50,37,8,0,yes
pfet_06v0,0.55u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,9.63451,ss,125,2.10,3.38699,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.55u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,7.22588,ss,125,2.10,2.54024,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.55u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,4.81725,ss,125,2.10,1.6935,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.55u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,6.19429,ss,125,2.97,1.96721,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.55u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,4.64572,ss,125,2.97,1.47541,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.55u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,3.09715,ss,125,2.97,1.03998,sf,-40,3.63,44,1,0,yes
pfet_06v0,0.55u,rlin_at_50mV,mv,3.0,300 mV @ 100 mA,4.09705,ss,125,4.50,1.50286,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.55u,rlin_at_50mV,mv,4.0,200 mV @ 50 mA,3.07279,ss,125,4.50,1.12714,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.55u,rlin_at_50mV,mv,6.0,300 mV @ 50 mA,2.04852,ss,125,4.50,1.00669,sf,27,5.50,34,11,0,yes
pfet_06v0,0.70u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,14.5111,ss,125,2.10,5.48875,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.70u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,11.8677,ss,125,2.10,4.3654,ff,-40,2.10,12,3,0,yes
pfet_06v0,0.70u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,8.93876,ss,125,2.10,4.10353,ff,27,2.10,6,9,0,yes
pfet_06v0,0.70u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,8.58018,ss,125,2.97,2.81409,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.70u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,6.74743,ss,125,2.97,2.17272,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.70u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,4.86944,ss,125,2.97,1.58542,ff,-40,3.63,41,4,0,yes
