device,l_um,w_mm,supply_class,cgg_max_f,cgg_max_corner,cgg_max_temp_c,cgg_max_vin_v,cgg_min_f,cgd_max_f,cgd_max_corner,cgg_per_mm_max_f
nfet_06v0,0.60u,2,lv,1.81896e-12,ss,-40,2.97,1.55448e-12,6.48e-13,ss,9.09478e-13
nfet_06v0,0.60u,2,mv,1.74407e-12,ss,-40,4.50,1.49672e-12,6.48e-13,ss,8.72035e-13
nfet_06v0,0.60u,4,dropout_testpoint,3.77069e-12,ss,-40,2.10,3.26755e-12,1.296e-12,ss,9.42672e-13
nfet_06v0,0.60u,4,lv,3.63791e-12,ss,-40,2.97,3.10896e-12,1.296e-12,ss,9.09478e-13
nfet_06v0,0.60u,4,mv,3.48814e-12,ss,-40,4.50,2.99343e-12,1.296e-12,ss,8.72035e-13
nfet_06v0,0.60u,8,dropout_testpoint,7.54137e-12,ss,-40,2.10,6.5351e-12,2.592e-12,ss,9.42672e-13
nfet_06v0,0.60u,8,lv,7.27582e-12,ss,-40,2.97,6.21792e-12,2.592e-12,ss,9.09478e-13
nfet_06v0,0.60u,8,mv,6.97628e-12,ss,-40,4.50,5.98687e-12,2.592e-12,ss,8.72035e-13
nfet_06v0,0.60u,16,dropout_testpoint,1.50827e-11,ss,-40,2.10,1.30702e-11,5.184e-12,ss,9.42672e-13
nfet_06v0,0.60u,16,lv,1.45516e-11,ss,-40,2.97,1.24358e-11,5.184e-12,ss,9.09478e-13
nfet_06v0,0.60u,16,mv,1.39526e-11,ss,-40,4.50,1.19737e-11,5.184e-12,ss,8.72035e-13
nfet_06v0,0.80u,1,dropout_testpoint,1.04189e-12,ss,-40,2.10,9.21954e-13,3.24e-13,ss,1.04189e-12
nfet_06v0,0.80u,1,lv,9.96677e-13,ss,-40,2.97,8.64445e-13,3.24e-13,ss,9.96677e-13
nfet_06v0,0.80u,1,mv,9.45732e-13,ss,-40,4.50,8.22591e-13,3.24e-13,ss,9.45732e-13
nfet_06v0,0.80u,2,dropout_testpoint,2.08379e-12,ss,-40,2.10,1.84391e-12,6.48e-13,ss,1.04189e-12
nfet_06v0,0.80u,2,lv,1.99335e-12,ss,-40,2.97,1.72889e-12,6.48e-13,ss,9.96677e-13
nfet_06v0,0.80u,2,mv,1.89146e-12,ss,-40,4.50,1.64518e-12,6.48e-13,ss,9.45732e-13
nfet_06v0,0.80u,4,dropout_testpoint,4.16757e-12,ss,-40,2.10,3.68782e-12,1.296e-12,ss,1.04189e-12
nfet_06v0,0.80u,4,lv,3.98671e-12,ss,-40,2.97,3.45778e-12,1.296e-12,ss,9.96677e-13
nfet_06v0,0.80u,4,mv,3.78293e-12,ss,-40,4.50,3.29036e-12,1.296e-12,ss,9.45732e-13
nfet_06v0,0.80u,8,dropout_testpoint,8.33514e-12,ss,-40,2.10,7.37563e-12,2.592e-12,ss,1.04189e-12
nfet_06v0,0.80u,8,lv,7.97341e-12,ss,-40,2.97,6.91556e-12,2.592e-12,ss,9.96677e-13
nfet_06v0,0.80u,8,mv,7.56585e-12,ss,-40,4.50,6.58073e-12,2.592e-12,ss,9.45732e-13
nfet_06v0,0.80u,16,dropout_testpoint,1.66703e-11,ss,-40,2.10,1.47513e-11,5.184e-12,ss,1.04189e-12
nfet_06v0,0.80u,16,lv,1.59468e-11,ss,-40,2.97,1.38311e-11,5.184e-12,ss,9.96677e-13
nfet_06v0,0.80u,16,mv,1.51317e-11,ss,-40,4.50,1.31615e-11,5.184e-12,ss,9.45732e-13
nfet_06v0,1.20u,1,dropout_testpoint,1.23878e-12,ss,-40,2.10,1.13011e-12,3.24e-13,ss,1.23878e-12
nfet_06v0,1.20u,1,lv,1.17001e-12,ss,-40,2.97,1.0377e-12,3.24e-13,ss,1.17001e-12
nfet_06v0,1.20u,1,mv,1.09248e-12,ss,-40,4.50,9.70338e-13,3.24e-13,ss,1.09248e-12
nfet_06v0,1.20u,2,dropout_testpoint,2.47756e-12,ss,-40,2.10,2.26022e-12,6.48e-13,ss,1.23878e-12
nfet_06v0,1.20u,2,lv,2.34003e-12,ss,-40,2.97,2.0754e-12,6.48e-13,ss,1.17001e-12
nfet_06v0,1.20u,2,mv,2.18496e-12,ss,-40,4.50,1.94068e-12,6.48e-13,ss,1.09248e-12
nfet_06v0,1.20u,4,dropout_testpoint,4.95513e-12,ss,-40,2.10,4.52044e-12,1.296e-12,ss,1.23878e-12
nfet_06v0,1.20u,4,lv,4.68005e-12,ss,-40,2.97,4.1508e-12,1.296e-12,ss,1.17001e-12
nfet_06v0,1.20u,4,mv,4.36993e-12,ss,-40,4.50,3.88135e-12,1.296e-12,ss,1.09248e-12
nfet_06v0,1.20u,8,dropout_testpoint,9.91025e-12,ss,-40,2.10,9.04088e-12,2.592e-12,ss,1.23878e-12
nfet_06v0,1.20u,8,lv,9.36011e-12,ss,-40,2.97,8.30159e-12,2.592e-12,ss,1.17001e-12
nfet_06v0,1.20u,8,mv,8.73985e-12,ss,-40,4.50,7.76271e-12,2.592e-12,ss,1.09248e-12
nfet_06v0,1.20u,16,dropout_testpoint,1.98205e-11,ss,-40,2.10,1.80818e-11,5.184e-12,ss,1.23878e-12
nfet_06v0,1.20u,16,lv,1.87202e-11,ss,-40,2.97,1.66032e-11,5.184e-12,ss,1.17001e-12
nfet_06v0,1.20u,16,mv,1.74797e-11,ss,-40,4.50,1.55254e-11,5.184e-12,ss,1.09248e-12
