device,l_um,w_mm,temp_c,supply_class,ioff_max_a,worst_corner,worst_vin_v,ioff_max_ua,frac_of_30ua_iq_budget,frac_of_10ua_iq_stretch
pfet_03v3,0.50u,8,-40,lv,2.73508e-09,ff,3.63,0.00273508,9.11693e-05,0.000273508
pfet_03v3,0.50u,8,27,dropout_testpoint,2.09421e-10,ff,2.10,0.000209421,6.9807e-06,2.09421e-05
pfet_03v3,0.50u,8,27,lv,2.77942e-09,ff,3.63,0.00277942,9.26473e-05,0.000277942
pfet_03v3,0.50u,8,125,dropout_testpoint,3.89478e-08,ff,2.10,0.0389478,0.00129826,0.00389478
pfet_03v3,0.50u,8,125,lv,4.52949e-08,ff,3.63,0.0452949,0.00150983,0.00452949
pfet_03v3,0.50u,16,-40,dropout_testpoint,3.39631e-10,ff,2.10,0.000339631,1.1321e-05,3.39631e-05
pfet_03v3,0.50u,16,-40,lv,5.47017e-09,ff,3.63,0.00547017,0.000182339,0.000547017
pfet_03v3,0.50u,16,27,dropout_testpoint,4.18842e-10,ff,2.10,0.000418842,1.39614e-05,4.18842e-05
pfet_03v3,0.50u,16,27,lv,5.55884e-09,ff,3.63,0.00555884,0.000185295,0.000555884
pfet_03v3,0.50u,16,125,dropout_testpoint,7.78957e-08,ff,2.10,0.0778957,0.00259652,0.00778957
pfet_03v3,0.50u,16,125,lv,9.05898e-08,ff,3.63,0.0905898,0.00301966,0.00905898
pfet_03v3,1.00u,1,-40,dropout_testpoint,2.1226e-11,ff,2.10,2.1226e-05,7.07533e-07,2.1226e-06
pfet_03v3,1.00u,1,-40,lv,3.41884e-10,ff,3.63,0.000341884,1.13961e-05,3.41884e-05
pfet_03v3,1.00u,1,27,dropout_testpoint,2.33158e-11,ff,2.10,2.33158e-05,7.77193e-07,2.33158e-06
pfet_03v3,1.00u,1,27,lv,3.44075e-10,ff,3.63,0.000344075,1.14692e-05,3.44075e-05
pfet_03v3,1.00u,1,125,dropout_testpoint,1.90202e-09,ff,2.10,0.00190202,6.34007e-05,0.000190202
pfet_03v3,1.00u,1,125,lv,2.29973e-09,ff,3.63,0.00229973,7.66577e-05,0.000229973
pfet_03v3,1.00u,2,-40,dropout_testpoint,4.24521e-11,ff,2.10,4.24521e-05,1.41507e-06,4.24521e-06
pfet_03v3,1.00u,2,-40,lv,6.83769e-10,ff,3.63,0.000683769,2.27923e-05,6.83769e-05
pfet_03v3,1.00u,2,27,dropout_testpoint,4.66316e-11,ff,2.10,4.66316e-05,1.55439e-06,4.66316e-06
pfet_03v3,1.00u,2,27,lv,6.8815e-10,ff,3.63,0.00068815,2.29383e-05,6.8815e-05
pfet_03v3,1.00u,2,125,dropout_testpoint,3.80403e-09,ff,2.10,0.00380403,0.000126801,0.000380403
pfet_03v3,1.00u,2,125,lv,4.59946e-09,ff,3.63,0.00459946,0.000153315,0.000459946
pfet_03v3,1.00u,4,-40,dropout_testpoint,8.49041e-11,ff,2.10,8.49041e-05,2.83014e-06,8.49041e-06
pfet_03v3,1.00u,4,-40,lv,1.36754e-09,ff,3.63,0.00136754,4.55847e-05,0.000136754
pfet_03v3,1.00u,4,27,dropout_testpoint,9.32632e-11,ff,2.10,9.32632e-05,3.10877e-06,9.32632e-06
pfet_03v3,1.00u,4,27,lv,1.3763e-09,ff,3.63,0.0013763,4.58767e-05,0.00013763
pfet_03v3,1.00u,4,125,dropout_testpoint,7.60806e-09,ff,2.10,0.00760806,0.000253602,0.000760806
pfet_03v3,1.00u,4,125,lv,9.19891e-09,ff,3.63,0.00919891,0.00030663,0.000919891
pfet_03v3,1.00u,8,-40,dropout_testpoint,1.69808e-10,ff,2.10,0.000169808,5.66027e-06,1.69808e-05
pfet_03v3,1.00u,8,-40,lv,2.73507e-09,ff,3.63,0.00273507,9.1169e-05,0.000273507
pfet_03v3,1.00u,8,27,dropout_testpoint,1.86526e-10,ff,2.10,0.000186526,6.21753e-06,1.86526e-05
pfet_03v3,1.00u,8,27,lv,2.7526e-09,ff,3.63,0.0027526,9.17533e-05,0.00027526
pfet_03v3,1.00u,8,125,dropout_testpoint,1.52161e-08,ff,2.10,0.0152161,0.000507203,0.00152161
pfet_03v3,1.00u,8,125,lv,1.83978e-08,ff,3.63,0.0183978,0.00061326,0.00183978
pfet_03v3,1.00u,16,-40,dropout_testpoint,3.39617e-10,ff,2.10,0.000339617,1.13206e-05,3.39617e-05
pfet_03v3,1.00u,16,-40,lv,5.47015e-09,ff,3.63,0.00547015,0.000182338,0.000547015
pfet_03v3,1.00u,16,27,dropout_testpoint,3.73053e-10,ff,2.10,0.000373053,1.24351e-05,3.73053e-05
pfet_03v3,1.00u,16,27,lv,5.5052e-09,ff,3.63,0.0055052,0.000183507,0.00055052
pfet_03v3,1.00u,16,125,dropout_testpoint,3.04322e-08,ff,2.10,0.0304322,0.00101441,0.00304322
pfet_03v3,1.00u,16,125,lv,3.67956e-08,ff,3.63,0.0367956,0.00122652,0.00367956
pfet_05v0,0.50u,1,-40,dropout_testpoint,7.85546e-11,ff,2.10,7.85546e-05,2.61849e-06,7.85546e-06
pfet_05v0,0.50u,1,-40,lv,1.4047e-10,ff,3.63,0.00014047,4.68233e-06,1.4047e-05
pfet_05v0,0.50u,1,-40,mv,2.14289e-10,ff,5.50,0.000214289,7.14297e-06,2.14289e-05
pfet_05v0,0.50u,1,27,dropout_testpoint,8.15868e-11,ff,2.10,8.15868e-05,2.71956e-06,8.15868e-06
pfet_05v0,0.50u,1,27,lv,1.45996e-10,ff,3.63,0.000145996,4.86653e-06,1.45996e-05
pfet_05v0,0.50u,1,27,mv,2.25118e-10,ff,5.50,0.000225118,7.50393e-06,2.25118e-05
pfet_05v0,0.50u,1,125,dropout_testpoint,4.08158e-09,ff,2.10,0.00408158,0.000136053,0.000408158
pfet_05v0,0.50u,1,125,lv,6.66185e-09,ff,3.63,0.00666185,0.000222062,0.000666185
pfet_05v0,0.50u,1,125,mv,1.15501e-08,ff,5.50,0.0115501,0.000385003,0.00115501
pfet_05v0,0.50u,2,-40,dropout_testpoint,1.57109e-10,ff,2.10,0.000157109,5.23697e-06,1.57109e-05
pfet_05v0,0.50u,2,-40,lv,2.80941e-10,ff,3.63,0.000280941,9.3647e-06,2.80941e-05
pfet_05v0,0.50u,2,-40,mv,4.28579e-10,ff,5.50,0.000428579,1.4286e-05,4.28579e-05
pfet_05v0,0.50u,2,27,dropout_testpoint,1.63174e-10,ff,2.10,0.000163174,5.43913e-06,1.63174e-05
pfet_05v0,0.50u,2,27,lv,2.91992e-10,ff,3.63,0.000291992,9.73307e-06,2.91992e-05
pfet_05v0,0.50u,2,27,mv,4.50236e-10,ff,5.50,0.000450236,1.50079e-05,4.50236e-05
pfet_05v0,0.50u,2,125,dropout_testpoint,8.16316e-09,ff,2.10,0.00816316,0.000272105,0.000816316
pfet_05v0,0.50u,2,125,lv,1.33237e-08,ff,3.63,0.0133237,0.000444123,0.00133237
pfet_05v0,0.50u,2,125,mv,2.31003e-08,ff,5.50,0.0231003,0.00077001,0.00231003
pfet_05v0,0.50u,4,-40,dropout_testpoint,3.14219e-10,ff,2.10,0.000314219,1.0474e-05,3.14219e-05
pfet_05v0,0.50u,4,-40,lv,5.61881e-10,ff,3.63,0.000561881,1.87294e-05,5.61881e-05
pfet_05v0,0.50u,4,-40,mv,8.57157e-10,ff,5.50,0.000857157,2.85719e-05,8.57157e-05
pfet_05v0,0.50u,4,27,dropout_testpoint,3.26347e-10,ff,2.10,0.000326347,1.08782e-05,3.26347e-05
pfet_05v0,0.50u,4,27,lv,5.83985e-10,ff,3.63,0.000583985,1.94662e-05,5.83985e-05
pfet_05v0,0.50u,4,27,mv,9.00471e-10,ff,5.50,0.000900471,3.00157e-05,9.00471e-05
pfet_05v0,0.50u,4,125,dropout_testpoint,1.63263e-08,ff,2.10,0.0163263,0.00054421,0.00163263
pfet_05v0,0.50u,4,125,lv,2.66474e-08,ff,3.63,0.0266474,0.000888247,0.00266474
pfet_05v0,0.50u,4,125,mv,4.62005e-08,ff,5.50,0.0462005,0.00154002,0.00462005
pfet_05v0,0.50u,8,-40,dropout_testpoint,6.28437e-10,ff,2.10,0.000628437,2.09479e-05,6.28437e-05
pfet_05v0,0.50u,8,-40,lv,1.12376e-09,ff,3.63,0.00112376,3.74587e-05,0.000112376
pfet_05v0,0.50u,8,-40,mv,1.71431e-09,ff,5.50,0.00171431,5.71437e-05,0.000171431
pfet_05v0,0.50u,8,27,dropout_testpoint,6.52695e-10,ff,2.10,0.000652695,2.17565e-05,6.52695e-05
pfet_05v0,0.50u,8,27,lv,1.16797e-09,ff,3.63,0.00116797,3.89323e-05,0.000116797
pfet_05v0,0.50u,8,27,mv,1.80094e-09,ff,5.50,0.00180094,6.00313e-05,0.000180094
pfet_05v0,0.50u,8,125,dropout_testpoint,3.26526e-08,ff,2.10,0.0326526,0.00108842,0.00326526
pfet_05v0,0.50u,8,125,lv,5.32948e-08,ff,3.63,0.0532948,0.00177649,0.00532948
pfet_05v0,0.50u,8,125,mv,9.2401e-08,ff,5.50,0.092401,0.00308003,0.0092401
pfet_05v0,0.50u,16,-40,dropout_testpoint,1.25687e-09,ff,2.10,0.00125687,4.18957e-05,0.000125687
pfet_05v0,0.50u,16,-40,lv,2.24753e-09,ff,3.63,0.00224753,7.49177e-05,0.000224753
pfet_05v0,0.50u,16,-40,mv,3.42863e-09,ff,5.50,0.00342863,0.000114288,0.000342863
pfet_05v0,0.50u,16,27,dropout_testpoint,1.30539e-09,ff,2.10,0.00130539,4.3513e-05,0.000130539
pfet_05v0,0.50u,16,27,lv,2.33594e-09,ff,3.63,0.00233594,7.78647e-05,0.000233594
pfet_05v0,0.50u,16,27,mv,3.60189e-09,ff,5.50,0.00360189,0.000120063,0.000360189
pfet_05v0,0.50u,16,125,dropout_testpoint,6.53053e-08,ff,2.10,0.0653053,0.00217684,0.00653053
pfet_05v0,0.50u,16,125,lv,1.0659e-07,ff,3.63,0.10659,0.003553,0.010659
pfet_05v0,0.50u,16,125,mv,1.84802e-07,ff,5.50,0.184802,0.00616007,0.0184802
pfet_05v0,0.60u,1,-40,dropout_testpoint,7.6783e-11,ff,2.10,7.6783e-05,2.55943e-06,7.6783e-06
pfet_05v0,0.60u,1,-40,lv,1.37264e-10,ff,3.63,0.000137264,4.57547e-06,1.37264e-05
pfet_05v0,0.60u,1,-40,mv,2.09385e-10,ff,5.50,0.000209385,6.9795e-06,2.09385e-05
pfet_05v0,0.60u,1,27,dropout_testpoint,7.8346e-11,ff,2.10,7.8346e-05,2.61153e-06,7.8346e-06
pfet_05v0,0.60u,1,27,lv,1.39379e-10,ff,3.63,0.000139379,4.64597e-06,1.39379e-05
pfet_05v0,0.60u,1,27,mv,2.12412e-10,ff,5.50,0.000212412,7.0804e-06,2.12412e-05
pfet_05v0,0.60u,1,125,dropout_testpoint,2.02304e-09,ff,2.10,0.00202304,6.74347e-05,0.000202304
pfet_05v0,0.60u,1,125,lv,2.62185e-09,ff,3.63,0.00262185,8.7395e-05,0.000262185
pfet_05v0,0.60u,1,125,mv,3.5452e-09,ff,5.50,0.0035452,0.000118173,0.00035452
pfet_05v0,0.60u,2,-40,dropout_testpoint,1.53566e-10,ff,2.10,0.000153566,5.11887e-06,1.53566e-05
pfet_05v0,0.60u,2,-40,lv,2.74527e-10,ff,3.63,0.000274527,9.1509e-06,2.74527e-05
pfet_05v0,0.60u,2,-40,mv,4.18769e-10,ff,5.50,0.000418769,1.3959e-05,4.18769e-05
pfet_05v0,0.60u,2,27,dropout_testpoint,1.56692e-10,ff,2.10,0.000156692,5.22307e-06,1.56692e-05
pfet_05v0,0.60u,2,27,lv,2.78758e-10,ff,3.63,0.000278758,9.29193e-06,2.78758e-05
pfet_05v0,0.60u,2,27,mv,4.24824e-10,ff,5.50,0.000424824,1.41608e-05,4.24824e-05
pfet_05v0,0.60u,2,125,dropout_testpoint,4.04607e-09,ff,2.10,0.00404607,0.000134869,0.000404607
pfet_05v0,0.60u,2,125,lv,5.24369e-09,ff,3.63,0.00524369,0.00017479,0.000524369
pfet_05v0,0.60u,2,125,mv,7.09041e-09,ff,5.50,0.00709041,0.000236347,0.000709041
pfet_05v0,0.60u,4,-40,dropout_testpoint,3.07132e-10,ff,2.10,0.000307132,1.02377e-05,3.07132e-05
pfet_05v0,0.60u,4,-40,lv,5.49054e-10,ff,3.63,0.000549054,1.83018e-05,5.49054e-05
pfet_05v0,0.60u,4,-40,mv,8.37539e-10,ff,5.50,0.000837539,2.7918e-05,8.37539e-05
pfet_05v0,0.60u,4,27,dropout_testpoint,3.13384e-10,ff,2.10,0.000313384,1.04461e-05,3.13384e-05
pfet_05v0,0.60u,4,27,lv,5.57515e-10,ff,3.63,0.000557515,1.85838e-05,5.57515e-05
pfet_05v0,0.60u,4,27,mv,8.49648e-10,ff,5.50,0.000849648,2.83216e-05,8.49648e-05
pfet_05v0,0.60u,4,125,dropout_testpoint,8.09214e-09,ff,2.10,0.00809214,0.000269738,0.000809214
pfet_05v0,0.60u,4,125,lv,1.04874e-08,ff,3.63,0.0104874,0.00034958,0.00104874
pfet_05v0,0.60u,4,125,mv,1.41808e-08,ff,5.50,0.0141808,0.000472693,0.00141808
pfet_05v0,0.60u,8,-40,dropout_testpoint,6.14264e-10,ff,2.10,0.000614264,2.04755e-05,6.14264e-05
pfet_05v0,0.60u,8,-40,lv,1.09811e-09,ff,3.63,0.00109811,3.66037e-05,0.000109811
pfet_05v0,0.60u,8,-40,mv,1.67508e-09,ff,5.50,0.00167508,5.5836e-05,0.000167508
pfet_05v0,0.60u,8,27,dropout_testpoint,6.26768e-10,ff,2.10,0.000626768,2.08923e-05,6.26768e-05
pfet_05v0,0.60u,8,27,lv,1.11503e-09,ff,3.63,0.00111503,3.71677e-05,0.000111503
pfet_05v0,0.60u,8,27,mv,1.6993e-09,ff,5.50,0.0016993,5.66433e-05,0.00016993
pfet_05v0,0.60u,8,125,dropout_testpoint,1.61843e-08,ff,2.10,0.0161843,0.000539477,0.00161843
pfet_05v0,0.60u,8,125,lv,2.09748e-08,ff,3.63,0.0209748,0.00069916,0.00209748
pfet_05v0,0.60u,8,125,mv,2.83616e-08,ff,5.50,0.0283616,0.000945387,0.00283616
pfet_05v0,0.60u,16,-40,dropout_testpoint,1.22853e-09,ff,2.10,0.00122853,4.0951e-05,0.000122853
pfet_05v0,0.60u,16,-40,lv,2.19622e-09,ff,3.63,0.00219622,7.32073e-05,0.000219622
pfet_05v0,0.60u,16,-40,mv,3.35016e-09,ff,5.50,0.00335016,0.000111672,0.000335016
pfet_05v0,0.60u,16,27,dropout_testpoint,1.25354e-09,ff,2.10,0.00125354,4.17847e-05,0.000125354
pfet_05v0,0.60u,16,27,lv,2.23006e-09,ff,3.63,0.00223006,7.43353e-05,0.000223006
pfet_05v0,0.60u,16,27,mv,3.39859e-09,ff,5.50,0.00339859,0.000113286,0.000339859
pfet_05v0,0.60u,16,125,dropout_testpoint,3.23686e-08,ff,2.10,0.0323686,0.00107895,0.00323686
pfet_05v0,0.60u,16,125,lv,4.19495e-08,ff,3.63,0.0419495,0.00139832,0.00419495
pfet_05v0,0.60u,16,125,mv,5.67233e-08,ff,5.50,0.0567233,0.00189078,0.00567233
pfet_05v0,1.00u,1,-40,dropout_testpoint,7.37651e-11,ff,2.10,7.37651e-05,2.45884e-06,7.37651e-06
pfet_05v0,1.00u,1,-40,lv,1.31801e-10,ff,3.63,0.000131801,4.39337e-06,1.31801e-05
pfet_05v0,1.00u,1,-40,mv,2.01032e-10,ff,5.50,0.000201032,6.70107e-06,2.01032e-05
pfet_05v0,1.00u,1,27,dropout_testpoint,7.44642e-11,ff,2.10,7.44642e-05,2.48214e-06,7.44642e-06
pfet_05v0,1.00u,1,27,lv,1.32526e-10,ff,3.63,0.000132526,4.41753e-06,1.32526e-05
pfet_05v0,1.00u,1,27,mv,2.01803e-10,ff,5.50,0.000201803,6.72677e-06,2.01803e-05
pfet_05v0,1.00u,1,125,dropout_testpoint,7.73918e-10,ff,2.10,0.000773918,2.57973e-05,7.73918e-05
pfet_05v0,1.00u,1,125,lv,8.55605e-10,ff,3.63,0.000855605,2.85202e-05,8.55605e-05
pfet_05v0,1.00u,1,125,mv,9.67604e-10,ff,5.50,0.000967604,3.22535e-05,9.67604e-05
pfet_05v0,1.00u,2,-40,dropout_testpoint,1.4753e-10,ff,2.10,0.00014753,4.91767e-06,1.4753e-05
pfet_05v0,1.00u,2,-40,lv,2.63602e-10,ff,3.63,0.000263602,8.78673e-06,2.63602e-05
pfet_05v0,1.00u,2,-40,mv,4.02064e-10,ff,5.50,0.000402064,1.34021e-05,4.02064e-05
pfet_05v0,1.00u,2,27,dropout_testpoint,1.48928e-10,ff,2.10,0.000148928,4.96427e-06,1.48928e-05
pfet_05v0,1.00u,2,27,lv,2.65052e-10,ff,3.63,0.000265052,8.83507e-06,2.65052e-05
pfet_05v0,1.00u,2,27,mv,4.03605e-10,ff,5.50,0.000403605,1.34535e-05,4.03605e-05
pfet_05v0,1.00u,2,125,dropout_testpoint,1.54784e-09,ff,2.10,0.00154784,5.15947e-05,0.000154784
pfet_05v0,1.00u,2,125,lv,1.71121e-09,ff,3.63,0.00171121,5.70403e-05,0.000171121
pfet_05v0,1.00u,2,125,mv,1.93521e-09,ff,5.50,0.00193521,6.4507e-05,0.000193521
pfet_05v0,1.00u,4,-40,dropout_testpoint,2.9506e-10,ff,2.10,0.00029506,9.83533e-06,2.9506e-05
pfet_05v0,1.00u,4,-40,lv,5.27205e-10,ff,3.63,0.000527205,1.75735e-05,5.27205e-05
pfet_05v0,1.00u,4,-40,mv,8.04128e-10,ff,5.50,0.000804128,2.68043e-05,8.04128e-05
pfet_05v0,1.00u,4,27,dropout_testpoint,2.97857e-10,ff,2.10,0.000297857,9.92857e-06,2.97857e-05
pfet_05v0,1.00u,4,27,lv,5.30104e-10,ff,3.63,0.000530104,1.76701e-05,5.30104e-05
pfet_05v0,1.00u,4,27,mv,8.07211e-10,ff,5.50,0.000807211,2.6907e-05,8.07211e-05
pfet_05v0,1.00u,4,125,dropout_testpoint,3.09567e-09,ff,2.10,0.00309567,0.000103189,0.000309567
pfet_05v0,1.00u,4,125,lv,3.42242e-09,ff,3.63,0.00342242,0.000114081,0.000342242
pfet_05v0,1.00u,4,125,mv,3.87042e-09,ff,5.50,0.00387042,0.000129014,0.000387042
pfet_05v0,1.00u,8,-40,dropout_testpoint,5.9012e-10,ff,2.10,0.00059012,1.96707e-05,5.9012e-05
pfet_05v0,1.00u,8,-40,lv,1.05441e-09,ff,3.63,0.00105441,3.5147e-05,0.000105441
pfet_05v0,1.00u,8,-40,mv,1.60826e-09,ff,5.50,0.00160826,5.36087e-05,0.000160826
pfet_05v0,1.00u,8,27,dropout_testpoint,5.95714e-10,ff,2.10,0.000595714,1.98571e-05,5.95714e-05
pfet_05v0,1.00u,8,27,lv,1.06021e-09,ff,3.63,0.00106021,3.53403e-05,0.000106021
pfet_05v0,1.00u,8,27,mv,1.61442e-09,ff,5.50,0.00161442,5.3814e-05,0.000161442
pfet_05v0,1.00u,8,125,dropout_testpoint,6.19134e-09,ff,2.10,0.00619134,0.000206378,0.000619134
pfet_05v0,1.00u,8,125,lv,6.84484e-09,ff,3.63,0.00684484,0.000228161,0.000684484
pfet_05v0,1.00u,8,125,mv,7.74083e-09,ff,5.50,0.00774083,0.000258028,0.000774083
pfet_05v0,1.00u,16,-40,dropout_testpoint,1.18024e-09,ff,2.10,0.00118024,3.93413e-05,0.000118024
pfet_05v0,1.00u,16,-40,lv,2.10882e-09,ff,3.63,0.00210882,7.0294e-05,0.000210882
pfet_05v0,1.00u,16,-40,mv,3.21651e-09,ff,5.50,0.00321651,0.000107217,0.000321651
pfet_05v0,1.00u,16,27,dropout_testpoint,1.19143e-09,ff,2.10,0.00119143,3.97143e-05,0.000119143
pfet_05v0,1.00u,16,27,lv,2.12042e-09,ff,3.63,0.00212042,7.06807e-05,0.000212042
pfet_05v0,1.00u,16,27,mv,3.22884e-09,ff,5.50,0.00322884,0.000107628,0.000322884
pfet_05v0,1.00u,16,125,dropout_testpoint,1.23827e-08,ff,2.10,0.0123827,0.000412757,0.00123827
pfet_05v0,1.00u,16,125,lv,1.36897e-08,ff,3.63,0.0136897,0.000456323,0.00136897
pfet_05v0,1.00u,16,125,mv,1.54817e-08,ff,5.50,0.0154817,0.000516057,0.00154817
pfet_06v0,0.55u,1,-40,dropout_testpoint,7.75656e-11,ff,2.10,7.75656e-05,2.58552e-06,7.75656e-06
pfet_06v0,0.55u,1,-40,lv,1.3868e-10,ff,3.63,0.00013868,4.62267e-06,1.3868e-05
pfet_06v0,0.55u,1,-40,mv,2.11551e-10,ff,5.50,0.000211551,7.0517e-06,2.11551e-05
pfet_06v0,0.55u,1,27,dropout_testpoint,7.96323e-11,ff,2.10,7.96323e-05,2.65441e-06,7.96323e-06
pfet_06v0,0.55u,1,27,lv,1.41846e-10,ff,3.63,0.000141846,4.7282e-06,1.41846e-05
pfet_06v0,0.55u,1,27,mv,2.16718e-10,ff,5.50,0.000216718,7.22393e-06,2.16718e-05
pfet_06v0,0.55u,1,125,dropout_testpoint,2.72806e-09,ff,2.10,0.00272806,9.09353e-05,0.000272806
pfet_06v0,0.55u,1,125,lv,3.8815e-09,ff,3.63,0.0038815,0.000129383,0.00038815
pfet_06v0,0.55u,1,125,mv,5.80946e-09,ff,5.50,0.00580946,0.000193649,0.000580946
pfet_06v0,0.55u,2,-40,dropout_testpoint,1.55131e-10,ff,2.10,0.000155131,5.17103e-06,1.55131e-05
pfet_06v0,0.55u,2,-40,lv,2.7736e-10,ff,3.63,0.00027736,9.24533e-06,2.7736e-05
pfet_06v0,0.55u,2,-40,mv,4.23102e-10,ff,5.50,0.000423102,1.41034e-05,4.23102e-05
pfet_06v0,0.55u,2,27,dropout_testpoint,1.59265e-10,ff,2.10,0.000159265,5.30883e-06,1.59265e-05
