device,corner,temp_c,vin_v,l_um,w_mm,metric,ioff_a,ioff_per_mm_a
pfet_03v3,ff,-40,2.10,1.00u,8,ioff_vgs0,1.69808E-10,2.1226E-11
pfet_03v3,ff,-40,2.10,1.00u,16,ioff_vgs0,3.39617E-10,2.1226E-11
pfet_03v3,ff,-40,2.97,0.28u,1,ioff_vgs0,5.89627E-11,5.89627E-11
pfet_03v3,ff,-40,2.97,0.28u,2,ioff_vgs0,1.17925E-10,5.89627E-11
pfet_03v3,ff,-40,2.97,0.28u,4,ioff_vgs0,2.35851E-10,5.89627E-11
pfet_03v3,ff,-40,2.97,0.28u,8,ioff_vgs0,4.71702E-10,5.89627E-11
pfet_03v3,ff,-40,2.97,0.28u,16,ioff_vgs0,9.43403E-10,5.89627E-11
pfet_03v3,ff,-40,2.97,0.50u,1,ioff_vgs0,5.88763E-11,5.88763E-11
pfet_03v3,ff,-40,2.97,0.50u,2,ioff_vgs0,1.17753E-10,5.88763E-11
pfet_03v3,ff,-40,2.97,0.50u,4,ioff_vgs0,2.35505E-10,5.88763E-11
pfet_03v3,ff,-40,2.97,0.50u,8,ioff_vgs0,4.71011E-10,5.88763E-11
pfet_03v3,ff,-40,2.97,0.50u,16,ioff_vgs0,9.42021E-10,5.88763E-11
pfet_03v3,ff,-40,2.97,1.00u,1,ioff_vgs0,5.88753E-11,5.88753E-11
pfet_03v3,ff,-40,2.97,1.00u,2,ioff_vgs0,1.17751E-10,5.88753E-11
pfet_03v3,ff,-40,2.97,1.00u,4,ioff_vgs0,2.35501E-10,5.88753E-11
pfet_03v3,ff,-40,2.97,1.00u,8,ioff_vgs0,4.71002E-10,5.88753E-11
pfet_03v3,ff,-40,2.97,1.00u,16,ioff_vgs0,9.42005E-10,5.88753E-11
pfet_03v3,ff,-40,3.30,0.28u,1,ioff_vgs0,1.3943E-10,1.3943E-10
pfet_03v3,ff,-40,3.30,0.28u,2,ioff_vgs0,2.7886E-10,1.3943E-10
pfet_03v3,ff,-40,3.30,0.28u,4,ioff_vgs0,5.57721E-10,1.3943E-10
pfet_03v3,ff,-40,3.30,0.28u,8,ioff_vgs0,1.11544E-09,1.3943E-10
pfet_03v3,ff,-40,3.30,0.28u,16,ioff_vgs0,2.23088E-09,1.3943E-10
pfet_03v3,ff,-40,3.30,0.50u,1,ioff_vgs0,1.39326E-10,1.39326E-10
pfet_03v3,ff,-40,3.30,0.50u,2,ioff_vgs0,2.78651E-10,1.39326E-10
pfet_03v3,ff,-40,3.30,0.50u,4,ioff_vgs0,5.57303E-10,1.39326E-10
pfet_03v3,ff,-40,3.30,0.50u,8,ioff_vgs0,1.11461E-09,1.39326E-10
pfet_03v3,ff,-40,3.30,0.50u,16,ioff_vgs0,2.22921E-09,1.39326E-10
pfet_03v3,ff,-40,3.30,1.00u,1,ioff_vgs0,1.39325E-10,1.39325E-10
pfet_03v3,ff,-40,3.30,1.00u,2,ioff_vgs0,2.78649E-10,1.39325E-10
pfet_03v3,ff,-40,3.30,1.00u,4,ioff_vgs0,5.57299E-10,1.39325E-10
pfet_03v3,ff,-40,3.30,1.00u,8,ioff_vgs0,1.1146E-09,1.39325E-10
pfet_03v3,ff,-40,3.30,1.00u,16,ioff_vgs0,2.22919E-09,1.39325E-10
pfet_03v3,ff,-40,3.63,0.28u,1,ioff_vgs0,3.42013E-10,3.42013E-10
pfet_03v3,ff,-40,3.63,0.28u,2,ioff_vgs0,6.84025E-10,3.42013E-10
pfet_03v3,ff,-40,3.63,0.28u,4,ioff_vgs0,1.36805E-09,3.42013E-10
pfet_03v3,ff,-40,3.63,0.28u,8,ioff_vgs0,2.7361E-09,3.42013E-10
pfet_03v3,ff,-40,3.63,0.28u,16,ioff_vgs0,5.4722E-09,3.42013E-10
pfet_03v3,ff,-40,3.63,0.50u,1,ioff_vgs0,3.41885E-10,3.41885E-10
pfet_03v3,ff,-40,3.63,0.50u,2,ioff_vgs0,6.83771E-10,3.41885E-10
pfet_03v3,ff,-40,3.63,0.50u,4,ioff_vgs0,1.36754E-09,3.41885E-10
pfet_03v3,ff,-40,3.63,0.50u,8,ioff_vgs0,2.73508E-09,3.41885E-10
pfet_03v3,ff,-40,3.63,0.50u,16,ioff_vgs0,5.47017E-09,3.41885E-10
pfet_03v3,ff,-40,3.63,1.00u,1,ioff_vgs0,3.41884E-10,3.41884E-10
pfet_03v3,ff,-40,3.63,1.00u,2,ioff_vgs0,6.83769E-10,3.41884E-10
pfet_03v3,ff,-40,3.63,1.00u,4,ioff_vgs0,1.36754E-09,3.41884E-10
pfet_03v3,ff,-40,3.63,1.00u,8,ioff_vgs0,2.73507E-09,3.41884E-10
pfet_03v3,ff,-40,3.63,1.00u,16,ioff_vgs0,5.47015E-09,3.41884E-10
pfet_03v3,ff,27,2.10,0.28u,1,ioff_vgs0,1.16187E-10,1.16187E-10
pfet_03v3,ff,27,2.10,0.28u,2,ioff_vgs0,2.32375E-10,1.16187E-10
pfet_03v3,ff,27,2.10,0.28u,4,ioff_vgs0,4.64749E-10,1.16187E-10
pfet_03v3,ff,27,2.10,0.28u,8,ioff_vgs0,9.29498E-10,1.16187E-10
pfet_03v3,ff,27,2.10,0.28u,16,ioff_vgs0,1.859E-09,1.16187E-10
pfet_03v3,ff,27,2.10,0.50u,1,ioff_vgs0,2.61776E-11,2.61776E-11
pfet_03v3,ff,27,2.10,0.50u,2,ioff_vgs0,5.23553E-11,2.61776E-11
pfet_03v3,ff,27,2.10,0.50u,4,ioff_vgs0,1.04711E-10,2.61776E-11
pfet_03v3,ff,27,2.10,0.50u,8,ioff_vgs0,2.09421E-10,2.61776E-11
pfet_03v3,ff,27,2.10,0.50u,16,ioff_vgs0,4.18842E-10,2.61776E-11
pfet_03v3,ff,27,2.10,1.00u,1,ioff_vgs0,2.33158E-11,2.33158E-11
pfet_03v3,ff,27,2.10,1.00u,2,ioff_vgs0,4.66316E-11,2.33158E-11
pfet_03v3,ff,27,2.10,1.00u,4,ioff_vgs0,9.32632E-11,2.33158E-11
pfet_03v3,ff,27,2.10,1.00u,8,ioff_vgs0,1.86526E-10,2.33158E-11
pfet_03v3,ff,27,2.10,1.00u,16,ioff_vgs0,3.73053E-10,2.33158E-11
pfet_03v3,ff,27,2.97,0.28u,1,ioff_vgs0,1.98713E-10,1.98713E-10
pfet_03v3,ff,27,2.97,0.28u,2,ioff_vgs0,3.97426E-10,1.98713E-10
pfet_03v3,ff,27,2.97,0.28u,4,ioff_vgs0,7.94852E-10,1.98713E-10
pfet_03v3,ff,27,2.97,0.28u,8,ioff_vgs0,1.5897E-09,1.98713E-10
pfet_03v3,ff,27,2.97,0.28u,16,ioff_vgs0,3.17941E-09,1.98713E-10
pfet_03v3,ff,27,2.97,0.50u,1,ioff_vgs0,6.41294E-11,6.41294E-11
pfet_03v3,ff,27,2.97,0.50u,2,ioff_vgs0,1.28259E-10,6.41294E-11
pfet_03v3,ff,27,2.97,0.50u,4,ioff_vgs0,2.56518E-10,6.41294E-11
pfet_03v3,ff,27,2.97,0.50u,8,ioff_vgs0,5.13035E-10,6.41294E-11
pfet_03v3,ff,27,2.97,0.50u,16,ioff_vgs0,1.02607E-09,6.41294E-11
pfet_03v3,ff,27,2.97,1.00u,1,ioff_vgs0,6.10132E-11,6.10132E-11
pfet_03v3,ff,27,2.97,1.00u,2,ioff_vgs0,1.22026E-10,6.10132E-11
pfet_03v3,ff,27,2.97,1.00u,4,ioff_vgs0,2.44053E-10,6.10132E-11
pfet_03v3,ff,27,2.97,1.00u,8,ioff_vgs0,4.88105E-10,6.10132E-11
pfet_03v3,ff,27,2.97,1.00u,16,ioff_vgs0,9.76211E-10,6.10132E-11
pfet_03v3,ff,27,3.30,0.28u,1,ioff_vgs0,3.01683E-10,3.01683E-10
pfet_03v3,ff,27,3.30,0.28u,2,ioff_vgs0,6.03366E-10,3.01683E-10
pfet_03v3,ff,27,3.30,0.28u,4,ioff_vgs0,1.20673E-09,3.01683E-10
pfet_03v3,ff,27,3.30,0.28u,8,ioff_vgs0,2.41347E-09,3.01683E-10
pfet_03v3,ff,27,3.30,0.28u,16,ioff_vgs0,4.82693E-09,3.01683E-10
pfet_03v3,ff,27,3.30,0.50u,1,ioff_vgs0,1.44709E-10,1.44709E-10
pfet_03v3,ff,27,3.30,0.50u,2,ioff_vgs0,2.89417E-10,1.44709E-10
pfet_03v3,ff,27,3.30,0.50u,4,ioff_vgs0,5.78835E-10,1.44709E-10
pfet_03v3,ff,27,3.30,0.50u,8,ioff_vgs0,1.15767E-09,1.44709E-10
pfet_03v3,ff,27,3.30,0.50u,16,ioff_vgs0,2.31534E-09,1.44709E-10
pfet_03v3,ff,27,3.30,1.00u,1,ioff_vgs0,1.41485E-10,1.41485E-10
