corner_id,T1,T1_measured,T2,T2_measured,T3,T3_measured,T4,T4_measured,T5,T5_measured,iinj_at_vref_na,vout_top_err_mv
ss_-40c_2.97v,PASS,16.77 nA,FAIL,5.0945 uA,FAIL,-4.277 uA/V,PASS,1.200 V,PASS,in regulation everywhere,16.767,-0.5200
ss_-40c_3.30v,PASS,37.70 nA,FAIL,5.2630 uA,FAIL,-4.376 uA/V,PASS,1.200 V,PASS,in regulation everywhere,37.700,-0.5400
ss_-40c_3.63v,FAIL,67.40 nA,FAIL,5.4183 uA,FAIL,-4.466 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,67.400,-0.6100
ss_125c_2.97v,PASS,42.22 nA,FAIL,4.9979 uA,FAIL,-4.167 uA/V,PASS,1.200 V,PASS,in regulation everywhere,42.217,-0.7700
ss_125c_3.30v,FAIL,69.73 nA,FAIL,5.1523 uA,FAIL,-4.260 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,69.733,-0.8100
ss_125c_3.63v,FAIL,189.22 nA,FAIL,5.2908 uA,FAIL,-4.340 uA/V,FAIL,1.375 V,PASS,in regulation everywhere,189.217,-0.9200
ss_27c_2.97v,PASS,26.75 nA,FAIL,5.0559 uA,FAIL,-4.230 uA/V,PASS,1.200 V,PASS,in regulation everywhere,26.750,-0.6100
ss_27c_3.30v,PASS,49.67 nA,FAIL,5.2174 uA,FAIL,-4.325 uA/V,PASS,1.200 V,PASS,in regulation everywhere,49.667,-0.6400
ss_27c_3.63v,FAIL,81.03 nA,FAIL,5.3638 uA,FAIL,-4.412 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,81.033,-0.7200
tt_-40c_2.97v,PASS,39.52 nA,FAIL,5.2723 uA,FAIL,-4.379 uA/V,PASS,1.200 V,PASS,in regulation everywhere,39.517,-0.5300
tt_-40c_3.30v,FAIL,72.15 nA,FAIL,5.4372 uA,FAIL,-4.469 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,72.150,-0.5600
tt_-40c_3.63v,FAIL,117.83 nA,FAIL,5.5985 uA,FAIL,-4.559 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,117.833,-0.6300
tt_125c_2.97v,FAIL,74.45 nA,FAIL,5.1605 uA,FAIL,-4.262 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,74.450,-0.8000
tt_125c_3.30v,FAIL,227.80 nA,FAIL,5.3094 uA,FAIL,-4.342 uA/V,FAIL,1.400 V,PASS,in regulation everywhere,227.800,-0.8500
tt_125c_3.63v,FAIL,653.42 nA,FAIL,5.4508 uA,FAIL,-4.310 uA/V,FAIL,1.725 V,PASS,in regulation everywhere,653.417,-1.0300
tt_27c_2.97v,FAIL,51.98 nA,FAIL,5.2258 uA,FAIL,-4.329 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,51.983,-0.6200
tt_27c_3.30v,FAIL,86.80 nA,FAIL,5.3822 uA,FAIL,-4.414 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,86.800,-0.6600
tt_27c_3.63v,FAIL,232.57 nA,FAIL,5.5325 uA,FAIL,-4.498 uA/V,FAIL,1.375 V,PASS,in regulation everywhere,232.567,-0.7500
