device,moscap_corner,temp_c,vbias_v,w_um,l_um,area_um2,c_f,c_density_ff_per_um2
cap_pmos_06v0,moscap_typical,-40,-0.45,30,30,900,3.86946E-14,0.042994
cap_nmos_03v3,moscap_typical,-40,-0.30,10,10,100,2.30354E-15,0.0230354
cap_nmos_03v3,moscap_typical,-40,-0.30,30,30,900,2.07319E-14,0.0230354
cap_pmos_03v3,moscap_typical,-40,-0.30,10,10,100,4.65562E-15,0.0465562
cap_pmos_03v3,moscap_typical,-40,-0.30,30,30,900,4.19006E-14,0.0465562
cap_nmos_03v3_b,moscap_typical,-40,-0.30,10,10,100,2.61998E-13,2.61998
cap_nmos_03v3_b,moscap_typical,-40,-0.30,30,30,900,2.35799E-12,2.61998
cap_pmos_03v3_b,moscap_typical,-40,-0.30,10,10,100,3.69434E-13,3.69434
cap_pmos_03v3_b,moscap_typical,-40,-0.30,30,30,900,3.32491E-12,3.69434
cap_nmos_06v0,moscap_typical,-40,-0.30,10,10,100,3.70116E-15,0.0370116
cap_nmos_06v0,moscap_typical,-40,-0.30,30,30,900,3.33104E-14,0.0370116
cap_pmos_06v0,moscap_typical,-40,-0.30,10,10,100,3.79214E-15,0.0379214
cap_pmos_06v0,moscap_typical,-40,-0.30,30,30,900,3.41293E-14,0.0379214
cap_nmos_03v3,moscap_typical,-40,-0.15,10,10,100,2.32308E-15,0.0232308
cap_nmos_03v3,moscap_typical,-40,-0.15,30,30,900,2.09078E-14,0.0232308
cap_pmos_03v3,moscap_typical,-40,-0.15,10,10,100,3.93146E-15,0.0393146
cap_pmos_03v3,moscap_typical,-40,-0.15,30,30,900,3.53831E-14,0.0393146
cap_nmos_03v3_b,moscap_typical,-40,-0.15,10,10,100,2.95088E-13,2.95088
cap_nmos_03v3_b,moscap_typical,-40,-0.15,30,30,900,2.65579E-12,2.95088
cap_pmos_03v3_b,moscap_typical,-40,-0.15,10,10,100,3.5381E-13,3.5381
cap_pmos_03v3_b,moscap_typical,-40,-0.15,30,30,900,3.18429E-12,3.5381
cap_nmos_06v0,moscap_typical,-40,-0.15,10,10,100,3.70757E-15,0.0370757
cap_nmos_06v0,moscap_typical,-40,-0.15,30,30,900,3.33681E-14,0.0370757
cap_pmos_06v0,moscap_typical,-40,-0.15,10,10,100,3.71414E-15,0.0371414
cap_pmos_06v0,moscap_typical,-40,-0.15,30,30,900,3.34272E-14,0.0371414
cap_nmos_03v3,moscap_typical,-40,0.00,10,10,100,2.45047E-15,0.0245047
cap_nmos_03v3,moscap_typical,-40,0.00,30,30,900,2.20543E-14,0.0245047
cap_pmos_03v3,moscap_typical,-40,0.00,10,10,100,3.82017E-15,0.0382017
cap_pmos_03v3,moscap_typical,-40,0.00,30,30,900,3.43815E-14,0.0382017
cap_nmos_03v3_b,moscap_typical,-40,0.00,10,10,100,3.23742E-13,3.23742
cap_nmos_03v3_b,moscap_typical,-40,0.00,30,30,900,2.91368E-12,3.23742
cap_pmos_03v3_b,moscap_typical,-40,0.00,10,10,100,3.31537E-13,3.31537
cap_pmos_03v3_b,moscap_typical,-40,0.00,30,30,900,2.98383E-12,3.31537
cap_nmos_06v0,moscap_typical,-40,0.00,10,10,100,3.74933E-15,0.0374933
cap_nmos_06v0,moscap_typical,-40,0.00,30,30,900,3.3744E-14,0.0374933
cap_pmos_06v0,moscap_typical,-40,0.00,10,10,100,3.70217E-15,0.0370217
cap_pmos_06v0,moscap_typical,-40,0.00,30,30,900,3.33195E-14,0.0370217
cap_nmos_03v3,moscap_typical,-40,0.15,10,10,100,3.27916E-15,0.0327916
cap_nmos_03v3,moscap_typical,-40,0.15,30,30,900,2.95124E-14,0.0327916
cap_pmos_03v3,moscap_typical,-40,0.15,10,10,100,3.80309E-15,0.0380309
cap_pmos_03v3,moscap_typical,-40,0.15,30,30,900,3.42278E-14,0.0380309
cap_nmos_03v3_b,moscap_typical,-40,0.15,10,10,100,3.4655E-13,3.4655
cap_nmos_03v3_b,moscap_typical,-40,0.15,30,30,900,3.11895E-12,3.4655
cap_pmos_03v3_b,moscap_typical,-40,0.15,10,10,100,3.02012E-13,3.02012
cap_pmos_03v3_b,moscap_typical,-40,0.15,30,30,900,2.71811E-12,3.02012
cap_nmos_06v0,moscap_typical,-40,0.15,10,10,100,4.02125E-15,0.0402125
cap_nmos_06v0,moscap_typical,-40,0.15,30,30,900,3.61913E-14,0.0402125
cap_pmos_06v0,moscap_typical,-40,0.15,10,10,100,3.70033E-15,0.0370033
cap_pmos_06v0,moscap_typical,-40,0.15,30,30,900,3.3303E-14,0.0370033
cap_nmos_03v3,moscap_typical,-40,0.30,10,10,100,8.59893E-15,0.0859893
cap_nmos_03v3,moscap_typical,-40,0.30,30,30,900,7.73904E-14,0.0859893
cap_pmos_03v3,moscap_typical,-40,0.30,10,10,100,3.80047E-15,0.0380047
cap_pmos_03v3,moscap_typical,-40,0.30,30,30,900,3.42043E-14,0.0380047
cap_nmos_03v3_b,moscap_typical,-40,0.30,10,10,100,3.63517E-13,3.63517
cap_nmos_03v3_b,moscap_typical,-40,0.30,30,30,900,3.27165E-12,3.63517
cap_pmos_03v3_b,moscap_typical,-40,0.30,10,10,100,2.66428E-13,2.66428
cap_pmos_03v3_b,moscap_typical,-40,0.30,30,30,900,2.39785E-12,2.66428
cap_nmos_06v0,moscap_typical,-40,0.30,10,10,100,5.77761E-15,0.0577761
cap_nmos_06v0,moscap_typical,-40,0.30,30,30,900,5.19985E-14,0.0577761
cap_pmos_06v0,moscap_typical,-40,0.30,10,10,100,3.70005E-15,0.0370005
cap_pmos_06v0,moscap_typical,-40,0.30,30,30,900,3.33005E-14,0.0370005
cap_nmos_03v3,moscap_typical,-40,0.45,10,10,100,4.00584E-14,0.400584
cap_nmos_03v3,moscap_typical,-40,0.45,30,30,900,3.60525E-13,0.400584
cap_pmos_03v3,moscap_typical,-40,0.45,10,10,100,3.80007E-15,0.0380007
cap_pmos_03v3,moscap_typical,-40,0.45,30,30,900,3.42007E-14,0.0380007
cap_nmos_03v3_b,moscap_typical,-40,0.45,10,10,100,3.75514E-13,3.75514
cap_nmos_03v3_b,moscap_typical,-40,0.45,30,30,900,3.37963E-12,3.75514
cap_pmos_03v3_b,moscap_typical,-40,0.45,10,10,100,2.28151E-13,2.28151
cap_pmos_03v3_b,moscap_typical,-40,0.45,30,30,900,2.05336E-12,2.28151
