device,mim_corner,temp_c,vbias_v,w_um,l_um,area_um2,c_f,c_density_ff_per_um2
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,1.65,30,30,900,9.27095E-13,1.03011
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,1.65,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,1.65,30,30,900,1.36447E-12,1.51608
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,1.65,10,10,100,2.08285E-13,2.08285
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,1.65,30,30,900,1.81744E-12,2.01938
cap_mim_1f5_m3m4_noshield,mimcap_typical,-40,1.65,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m4m5_noshield,mimcap_typical,-40,1.65,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m5m6_noshield,mimcap_typical,-40,1.65,10,10,100,1.61685E-13,1.61685
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,2.50,10,10,100,1.11803E-13,1.11803
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,2.50,30,30,900,9.27095E-13,1.03011
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,2.50,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,2.50,30,30,900,1.36447E-12,1.51608
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,2.50,10,10,100,2.08285E-13,2.08285
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,2.50,30,30,900,1.81744E-12,2.01938
cap_mim_1f5_m3m4_noshield,mimcap_typical,-40,2.50,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m4m5_noshield,mimcap_typical,-40,2.50,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m5m6_noshield,mimcap_typical,-40,2.50,10,10,100,1.61685E-13,1.61685
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,3.30,10,10,100,1.11803E-13,1.11803
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,3.30,30,30,900,9.27095E-13,1.03011
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,3.30,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,3.30,30,30,900,1.36447E-12,1.51608
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,3.30,10,10,100,2.08285E-13,2.08285
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,3.30,30,30,900,1.81744E-12,2.01938
cap_mim_1f5_m3m4_noshield,mimcap_typical,-40,3.30,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m4m5_noshield,mimcap_typical,-40,3.30,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m5m6_noshield,mimcap_typical,-40,3.30,10,10,100,1.61685E-13,1.61685
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,-1.65,10,10,100,1.11903E-13,1.11903
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,-1.65,30,30,900,9.27924E-13,1.03103
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,-1.65,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,-1.65,30,30,900,1.36859E-12,1.52066
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,-1.65,10,10,100,2.08538E-13,2.08538
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,-1.65,30,30,900,1.81965E-12,2.02183
cap_mim_1f5_m3m4_noshield,mimcap_typical,27,-1.65,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m4m5_noshield,mimcap_typical,27,-1.65,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m5m6_noshield,mimcap_typical,27,-1.65,10,10,100,1.62173E-13,1.62173
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,0,10,10,100,1.11903E-13,1.11903
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,0,30,30,900,9.27924E-13,1.03103
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,0,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,0,30,30,900,1.36859E-12,1.52066
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,0,10,10,100,2.08538E-13,2.08538
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,0,30,30,900,1.81965E-12,2.02183
cap_mim_1f5_m3m4_noshield,mimcap_typical,27,0,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m4m5_noshield,mimcap_typical,27,0,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m5m6_noshield,mimcap_typical,27,0,10,10,100,1.62173E-13,1.62173
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,0.825,10,10,100,1.11903E-13,1.11903
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,0.825,30,30,900,9.27924E-13,1.03103
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,0.825,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,0.825,30,30,900,1.36859E-12,1.52066
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,0.825,10,10,100,2.08538E-13,2.08538
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,0.825,30,30,900,1.81965E-12,2.02183
cap_mim_1f5_m3m4_noshield,mimcap_typical,27,0.825,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m4m5_noshield,mimcap_typical,27,0.825,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m5m6_noshield,mimcap_typical,27,0.825,10,10,100,1.62173E-13,1.62173
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,1.65,10,10,100,1.11903E-13,1.11903
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,1.65,30,30,900,9.27924E-13,1.03103
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,1.65,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,1.65,30,30,900,1.36859E-12,1.52066
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,1.65,10,10,100,2.08538E-13,2.08538
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,1.65,30,30,900,1.81965E-12,2.02183
cap_mim_1f5_m3m4_noshield,mimcap_typical,27,1.65,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m4m5_noshield,mimcap_typical,27,1.65,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m5m6_noshield,mimcap_typical,27,1.65,10,10,100,1.62173E-13,1.62173
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,2.50,10,10,100,1.11903E-13,1.11903
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,2.50,30,30,900,9.27924E-13,1.03103
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,2.50,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,2.50,30,30,900,1.36859E-12,1.52066
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,2.50,10,10,100,2.08538E-13,2.08538
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,2.50,30,30,900,1.81965E-12,2.02183
cap_mim_1f5_m3m4_noshield,mimcap_typical,27,2.50,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m4m5_noshield,mimcap_typical,27,2.50,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m5m6_noshield,mimcap_typical,27,2.50,10,10,100,1.62173E-13,1.62173
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,3.30,10,10,100,1.11903E-13,1.11903
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,3.30,30,30,900,9.27924E-13,1.03103
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,3.30,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,3.30,30,30,900,1.36859E-12,1.52066
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,3.30,10,10,100,2.08538E-13,2.08538
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,3.30,30,30,900,1.81965E-12,2.02183
cap_mim_1f5_m3m4_noshield,mimcap_typical,27,3.30,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m4m5_noshield,mimcap_typical,27,3.30,10,10,100,1.62173E-13,1.62173
cap_mim_1f5_m5m6_noshield,mimcap_typical,27,3.30,10,10,100,1.62173E-13,1.62173
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,-1.65,10,10,100,1.1204E-13,1.1204
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,-1.65,30,30,900,9.29062E-13,1.03229
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,-1.65,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,-1.65,30,30,900,1.37309E-12,1.52566
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,-1.65,10,10,100,2.08721E-13,2.08721
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,-1.65,30,30,900,1.82124E-12,2.0236
cap_mim_1f5_m3m4_noshield,mimcap_typical,125,-1.65,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m4m5_noshield,mimcap_typical,125,-1.65,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m5m6_noshield,mimcap_typical,125,-1.65,10,10,100,1.62707E-13,1.62707
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,0,10,10,100,1.1204E-13,1.1204
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,0,30,30,900,9.29062E-13,1.03229
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,0,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,0,30,30,900,1.37309E-12,1.52566
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,0,10,10,100,2.08721E-13,2.08721
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,0,30,30,900,1.82124E-12,2.0236
cap_mim_1f5_m3m4_noshield,mimcap_typical,125,0,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m4m5_noshield,mimcap_typical,125,0,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m5m6_noshield,mimcap_typical,125,0,10,10,100,1.62707E-13,1.62707
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,0.825,10,10,100,1.1204E-13,1.1204
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,0.825,30,30,900,9.29062E-13,1.03229
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,0.825,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,0.825,30,30,900,1.37309E-12,1.52566
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,0.825,10,10,100,2.08721E-13,2.08721
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,0.825,30,30,900,1.82124E-12,2.0236
cap_mim_1f5_m3m4_noshield,mimcap_typical,125,0.825,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m4m5_noshield,mimcap_typical,125,0.825,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m5m6_noshield,mimcap_typical,125,0.825,10,10,100,1.62707E-13,1.62707
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,1.65,10,10,100,1.1204E-13,1.1204
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,1.65,30,30,900,9.29062E-13,1.03229
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,1.65,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,1.65,30,30,900,1.37309E-12,1.52566
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,1.65,10,10,100,2.08721E-13,2.08721
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,1.65,30,30,900,1.82124E-12,2.0236
cap_mim_1f5_m3m4_noshield,mimcap_typical,125,1.65,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m4m5_noshield,mimcap_typical,125,1.65,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m5m6_noshield,mimcap_typical,125,1.65,10,10,100,1.62707E-13,1.62707
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,2.50,10,10,100,1.1204E-13,1.1204
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,2.50,30,30,900,9.29062E-13,1.03229
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,2.50,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,2.50,30,30,900,1.37309E-12,1.52566
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,2.50,10,10,100,2.08721E-13,2.08721
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,2.50,30,30,900,1.82124E-12,2.0236
cap_mim_1f5_m3m4_noshield,mimcap_typical,125,2.50,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m4m5_noshield,mimcap_typical,125,2.50,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m5m6_noshield,mimcap_typical,125,2.50,10,10,100,1.62707E-13,1.62707
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,3.30,10,10,100,1.1204E-13,1.1204
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,3.30,30,30,900,9.29062E-13,1.03229
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,3.30,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,3.30,30,30,900,1.37309E-12,1.52566
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,3.30,10,10,100,2.08721E-13,2.08721
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,3.30,30,30,900,1.82124E-12,2.0236
cap_mim_1f5_m3m4_noshield,mimcap_typical,125,3.30,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m4m5_noshield,mimcap_typical,125,3.30,10,10,100,1.62707E-13,1.62707
cap_mim_1f5_m5m6_noshield,mimcap_typical,125,3.30,10,10,100,1.62707E-13,1.62707
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,-1.65,10,10,100,1.00623E-13,1.00623
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,-1.65,30,30,900,8.34386E-13,0.927095
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,-1.65,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,-1.65,30,30,900,1.15298E-12,1.28109
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,-1.65,10,10,100,1.87457E-13,1.87457
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,-1.65,30,30,900,1.6357E-12,1.81744
cap_mim_1f5_m3m4_noshield,mimcap_ff,-40,-1.65,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m4m5_noshield,mimcap_ff,-40,-1.65,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m5m6_noshield,mimcap_ff,-40,-1.65,10,10,100,1.36624E-13,1.36624
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,0,10,10,100,1.00623E-13,1.00623
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,0,30,30,900,8.34386E-13,0.927095
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,0,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,0,30,30,900,1.15298E-12,1.28109
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,0,10,10,100,1.87457E-13,1.87457
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,0,30,30,900,1.6357E-12,1.81744
cap_mim_1f5_m3m4_noshield,mimcap_ff,-40,0,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m4m5_noshield,mimcap_ff,-40,0,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m5m6_noshield,mimcap_ff,-40,0,10,10,100,1.36624E-13,1.36624
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,0.825,10,10,100,1.00623E-13,1.00623
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,0.825,30,30,900,8.34386E-13,0.927095
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,0.825,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,0.825,30,30,900,1.15298E-12,1.28109
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,0.825,10,10,100,1.87457E-13,1.87457
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,0.825,30,30,900,1.6357E-12,1.81744
cap_mim_1f5_m3m4_noshield,mimcap_ff,-40,0.825,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m4m5_noshield,mimcap_ff,-40,0.825,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m5m6_noshield,mimcap_ff,-40,0.825,10,10,100,1.36624E-13,1.36624
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,1.65,10,10,100,1.00623E-13,1.00623
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,1.65,30,30,900,8.34386E-13,0.927095
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,1.65,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,1.65,30,30,900,1.15298E-12,1.28109
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,1.65,10,10,100,1.87457E-13,1.87457
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,1.65,30,30,900,1.6357E-12,1.81744
cap_mim_1f5_m3m4_noshield,mimcap_ff,-40,1.65,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m4m5_noshield,mimcap_ff,-40,1.65,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m5m6_noshield,mimcap_ff,-40,1.65,10,10,100,1.36624E-13,1.36624
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,2.50,10,10,100,1.00623E-13,1.00623
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,2.50,30,30,900,8.34386E-13,0.927095
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,2.50,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,2.50,30,30,900,1.15298E-12,1.28109
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,2.50,10,10,100,1.87457E-13,1.87457
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,2.50,30,30,900,1.6357E-12,1.81744
cap_mim_1f5_m3m4_noshield,mimcap_ff,-40,2.50,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m4m5_noshield,mimcap_ff,-40,2.50,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m5m6_noshield,mimcap_ff,-40,2.50,10,10,100,1.36624E-13,1.36624
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,3.30,10,10,100,1.00623E-13,1.00623
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,3.30,30,30,900,8.34386E-13,0.927095
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,3.30,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,3.30,30,30,900,1.15298E-12,1.28109
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,3.30,10,10,100,1.87457E-13,1.87457
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,3.30,30,30,900,1.6357E-12,1.81744
cap_mim_1f5_m3m4_noshield,mimcap_ff,-40,3.30,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m4m5_noshield,mimcap_ff,-40,3.30,10,10,100,1.36624E-13,1.36624
cap_mim_1f5_m5m6_noshield,mimcap_ff,-40,3.30,10,10,100,1.36624E-13,1.36624
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,-1.65,10,10,100,1.00713E-13,1.00713
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,-1.65,30,30,900,8.35132E-13,0.927924
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,-1.65,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,-1.65,30,30,900,1.15646E-12,1.28495
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,-1.65,10,10,100,1.87684E-13,1.87684
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,-1.65,30,30,900,1.63768E-12,1.81965
cap_mim_1f5_m3m4_noshield,mimcap_ff,27,-1.65,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m4m5_noshield,mimcap_ff,27,-1.65,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m5m6_noshield,mimcap_ff,27,-1.65,10,10,100,1.37036E-13,1.37036
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,0,10,10,100,1.00713E-13,1.00713
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,0,30,30,900,8.35132E-13,0.927924
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,0,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,0,30,30,900,1.15646E-12,1.28495
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,0,10,10,100,1.87684E-13,1.87684
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,0,30,30,900,1.63768E-12,1.81965
cap_mim_1f5_m3m4_noshield,mimcap_ff,27,0,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m4m5_noshield,mimcap_ff,27,0,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m5m6_noshield,mimcap_ff,27,0,10,10,100,1.37036E-13,1.37036
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,0.825,10,10,100,1.00713E-13,1.00713
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,0.825,30,30,900,8.35132E-13,0.927924
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,0.825,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,0.825,30,30,900,1.15646E-12,1.28495
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,0.825,10,10,100,1.87684E-13,1.87684
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,0.825,30,30,900,1.63768E-12,1.81965
cap_mim_1f5_m3m4_noshield,mimcap_ff,27,0.825,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m4m5_noshield,mimcap_ff,27,0.825,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m5m6_noshield,mimcap_ff,27,0.825,10,10,100,1.37036E-13,1.37036
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,1.65,10,10,100,1.00713E-13,1.00713
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,1.65,30,30,900,8.35132E-13,0.927924
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,1.65,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,1.65,30,30,900,1.15646E-12,1.28495
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,1.65,10,10,100,1.87684E-13,1.87684
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,1.65,30,30,900,1.63768E-12,1.81965
cap_mim_1f5_m3m4_noshield,mimcap_ff,27,1.65,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m4m5_noshield,mimcap_ff,27,1.65,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m5m6_noshield,mimcap_ff,27,1.65,10,10,100,1.37036E-13,1.37036
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,2.50,10,10,100,1.00713E-13,1.00713
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,2.50,30,30,900,8.35132E-13,0.927924
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,2.50,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,2.50,30,30,900,1.15646E-12,1.28495
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,2.50,10,10,100,1.87684E-13,1.87684
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,2.50,30,30,900,1.63768E-12,1.81965
cap_mim_1f5_m3m4_noshield,mimcap_ff,27,2.50,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m4m5_noshield,mimcap_ff,27,2.50,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m5m6_noshield,mimcap_ff,27,2.50,10,10,100,1.37036E-13,1.37036
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,3.30,10,10,100,1.00713E-13,1.00713
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,3.30,30,30,900,8.35132E-13,0.927924
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,3.30,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,3.30,30,30,900,1.15646E-12,1.28495
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,3.30,10,10,100,1.87684E-13,1.87684
