device,mim_corner,temp_c,size_um,c_at_0v_f,density_at_0v_ff_per_um2,c_spread_over_bias_ppm,voltage_coeff_0_to_3v3_ppm_per_v,area_density_ff_per_um2,perimeter_density_ff_per_um,density_at_0v_large_ff_per_um2
cap_mim_1f5_m3m4_noshield,mimcap_typical,27,10,1.62173e-13,1.62173,0,0,,,
cap_mim_1f5_m3m4_noshield,mimcap_typical,125,10,1.62707e-13,1.62707,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_ff,-40,10,1.36624e-13,1.36624,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_ff,27,10,1.37036e-13,1.37036,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_ff,125,10,1.37487e-13,1.37487,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_ss,-40,10,1.86746e-13,1.86746,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_ss,27,10,1.8731e-13,1.8731,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_ss,125,10,1.87926e-13,1.87926,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_typical,-40,10,1.61685e-13,1.61685,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_typical,27,10,1.62173e-13,1.62173,0,0,,,
cap_mim_1f5_m4m5_noshield,mimcap_typical,125,10,1.62707e-13,1.62707,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_ff,-40,10,1.36624e-13,1.36624,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_ff,27,10,1.37036e-13,1.37036,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_ff,125,10,1.37487e-13,1.37487,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_ss,-40,10,1.86746e-13,1.86746,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_ss,27,10,1.8731e-13,1.8731,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_ss,125,10,1.87926e-13,1.87926,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_typical,-40,10,1.61685e-13,1.61685,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_typical,27,10,1.62173e-13,1.62173,0,0,,,
cap_mim_1f5_m5m6_noshield,mimcap_typical,125,10,1.62707e-13,1.62707,0,0,,,
cap_mim_2f0_m2m3_noshield,mimcap_ff,-40,10,1.87457e-13,1.87457,0,0,1.78888,0.214221,1.81744
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,10,1.87684e-13,1.87684,0,0,1.79105,0.214483,1.81965
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,10,1.87849e-13,1.87849,0,0,1.79262,0.214671,1.82124
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,10,2.29114e-13,2.29114,0,0,2.18641,0.261817,2.22132
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,10,2.29392e-13,2.29392,0,0,2.18906,0.262158,2.22402
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,10,2.29593e-13,2.29593,0,0,2.19099,0.262362,2.22596
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,10,2.08285e-13,2.08285,0,0,1.98764,0.238021,2.01938
cap_mim_2f0_m2m3_noshield,mimcap_typical,27,10,2.08538e-13,2.08538,0,0,1.99006,0.2383,2.02183
cap_mim_2f0_m2m3_noshield,mimcap_typical,125,10,2.08721e-13,2.08721,0,0,1.99179,0.238537,2.0236
