device,moscap_corner,temp_c,size_um,density_max_ff_per_um2,vbias_at_max_v,density_min_ff_per_um2,vbias_at_min_v,density_at_0v_ff_per_um2,density_at_p1v65_ff_per_um2,density_at_m1v65_ff_per_um2,max_over_min_ratio,knee_v_at_half_swing,usable_bias_min_v,usable_bias_max_v
cap_nmos_06v0,moscap_typical,125,30,2.177,1.8,0.037,-3.3,0.0374933,2.17699,0.037,58.8378,0.670661,0.9,3.3
cap_pmos_03v3,moscap_ff,-40,10,3.5622,-3.3,0.0342,0.75,0.0343815,0.0342,3.56212,104.158,-0.793669,-3.3,-1.05
cap_pmos_03v3,moscap_ff,-40,30,3.5622,-3.3,0.0342,0.75,0.0343815,0.0342,3.56212,104.158,-0.793669,-3.3,-1.05
cap_pmos_03v3,moscap_ff,27,10,3.5622,-3.3,0.0342,0.75,0.0343815,0.0342,3.56212,104.158,-0.793669,-3.3,-1.05
cap_pmos_03v3,moscap_ff,27,30,3.5622,-3.3,0.0342,0.75,0.0343815,0.0342,3.56212,104.158,-0.793669,-3.3,-1.05
cap_pmos_03v3,moscap_ff,125,10,3.5622,-3.3,0.0342,0.75,0.0343815,0.0342,3.56212,104.158,-0.793669,-3.3,-1.05
cap_pmos_03v3,moscap_ff,125,30,3.5622,-3.3,0.0342,0.75,0.0343815,0.0342,3.56212,104.158,-0.793669,-3.3,-1.05
cap_pmos_03v3,moscap_ss,-40,10,4.3538,-3.3,0.0418,0.75,0.0420218,0.0418,4.35371,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_ss,-40,30,4.3538,-3.3,0.0418,0.75,0.0420218,0.0418,4.35371,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_ss,27,10,4.3538,-3.3,0.0418,0.75,0.0420218,0.0418,4.35371,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_ss,27,30,4.3538,-3.3,0.0418,0.75,0.0420218,0.0418,4.35371,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_ss,125,10,4.3538,-3.3,0.0418,0.75,0.0420218,0.0418,4.35371,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_ss,125,30,4.3538,-3.3,0.0418,0.75,0.0420218,0.0418,4.35371,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_typical,-40,10,3.958,-3.3,0.038,0.75,0.0382017,0.038,3.95792,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_typical,-40,30,3.958,-3.3,0.038,0.75,0.0382017,0.038,3.95792,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_typical,27,10,3.958,-3.3,0.038,0.75,0.0382017,0.038,3.95792,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_typical,27,30,3.958,-3.3,0.038,0.75,0.0382017,0.038,3.95792,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_typical,125,10,3.958,-3.3,0.038,0.75,0.0382017,0.038,3.95792,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3,moscap_typical,125,30,3.958,-3.3,0.038,0.75,0.0382017,0.038,3.95792,104.158,-0.793668,-3.3,-1.05
cap_pmos_03v3_b,moscap_ff,-40,10,3.57749,-3.3,0.80567,3.3,2.98383,0.846453,3.57442,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_ff,-40,30,3.57749,-3.3,0.80567,3.3,2.98383,0.846453,3.57442,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_ff,27,10,3.57749,-3.3,0.80567,3.3,2.98383,0.846453,3.57442,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_ff,27,30,3.57749,-3.3,0.80567,3.3,2.98383,0.846453,3.57442,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_ff,125,10,3.57749,-3.3,0.80567,3.3,2.98383,0.846453,3.57442,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_ff,125,30,3.57749,-3.3,0.80567,3.3,2.98383,0.846453,3.57442,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_ss,-40,10,4.37248,-3.3,0.984708,3.3,3.64691,1.03455,4.36873,4.44038,0.389817,-3.3,-0.3
cap_pmos_03v3_b,moscap_ss,-40,30,4.37248,-3.3,0.984708,3.3,3.64691,1.03455,4.36873,4.44038,0.389817,-3.3,-0.3
cap_pmos_03v3_b,moscap_ss,27,10,4.37248,-3.3,0.984708,3.3,3.64691,1.03455,4.36873,4.44038,0.389817,-3.3,-0.3
cap_pmos_03v3_b,moscap_ss,27,30,4.37248,-3.3,0.984708,3.3,3.64691,1.03455,4.36873,4.44038,0.389817,-3.3,-0.3
cap_pmos_03v3_b,moscap_ss,125,10,4.37248,-3.3,0.984708,3.3,3.64691,1.03455,4.36873,4.44038,0.389817,-3.3,-0.3
cap_pmos_03v3_b,moscap_ss,125,30,4.37248,-3.3,0.984708,3.3,3.64691,1.03455,4.36873,4.44038,0.389817,-3.3,-0.3
cap_pmos_03v3_b,moscap_typical,-40,10,3.97499,-3.3,0.895189,3.3,3.31537,0.940504,3.97157,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_typical,-40,30,3.97499,-3.3,0.895189,3.3,3.31537,0.940504,3.97157,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_typical,27,10,3.97499,-3.3,0.895189,3.3,3.31537,0.940504,3.97157,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_typical,27,30,3.97499,-3.3,0.895189,3.3,3.31537,0.940504,3.97157,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_typical,125,10,3.97499,-3.3,0.895189,3.3,3.31537,0.940504,3.97157,4.44039,0.389815,-3.3,-0.3
cap_pmos_03v3_b,moscap_typical,125,30,3.97499,-3.3,0.895189,3.3,3.31537,0.940504,3.97157,4.44039,0.389815,-3.3,-0.3
cap_pmos_06v0,moscap_ff,-40,10,1.9593,-3.3,0.0333,0.6,0.0333195,0.0333,1.95909,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ff,-40,30,1.9593,-3.3,0.0333,0.6,0.0333195,0.0333,1.95909,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ff,27,10,1.9593,-3.3,0.0333,0.6,0.0333195,0.0333,1.95909,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ff,27,30,1.9593,-3.3,0.0333,0.6,0.0333195,0.0333,1.95909,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ff,125,10,1.9593,-3.3,0.0333,0.6,0.0333195,0.0333,1.95909,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ff,125,30,1.9593,-3.3,0.0333,0.6,0.0333195,0.0333,1.95909,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ss,-40,10,2.3947,-3.3,0.0407,0.6,0.0407238,0.0407,2.39444,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ss,-40,30,2.3947,-3.3,0.0407,0.6,0.0407238,0.0407,2.39444,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ss,27,10,2.3947,-3.3,0.0407,0.6,0.0407238,0.0407,2.39444,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ss,27,30,2.3947,-3.3,0.0407,0.6,0.0407238,0.0407,2.39444,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ss,125,10,2.3947,-3.3,0.0407,0.6,0.0407238,0.0407,2.39444,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_ss,125,30,2.3947,-3.3,0.0407,0.6,0.0407238,0.0407,2.39444,58.8378,-0.923453,-3.3,-1.2
cap_pmos_06v0,moscap_typical,-40,10,2.177,-3.3,0.037,0.6,0.0370217,0.037,2.17677,58.8378,-0.923454,-3.3,-1.2
cap_pmos_06v0,moscap_typical,-40,30,2.177,-3.3,0.037,0.6,0.0370217,0.037,2.17677,58.8378,-0.923454,-3.3,-1.2
cap_pmos_06v0,moscap_typical,27,10,2.177,-3.3,0.037,0.6,0.0370217,0.037,2.17677,58.8378,-0.923454,-3.3,-1.2
cap_pmos_06v0,moscap_typical,27,30,2.177,-3.3,0.037,0.6,0.0370217,0.037,2.17677,58.8378,-0.923454,-3.3,-1.2
cap_pmos_06v0,moscap_typical,125,10,2.177,-3.3,0.037,0.6,0.0370217,0.037,2.17677,58.8378,-0.923454,-3.3,-1.2
cap_pmos_06v0,moscap_typical,125,30,2.177,-3.3,0.037,0.6,0.0370217,0.037,2.17677,58.8378,-0.923454,-3.3,-1.2
