corner_id,corner,temp_c,vin_v,variant,ssr_cmd_v,ssr_v,fb_v,vout_v,iinj_ua,pass_gate_v,erramp_out_v,isup_a,gmsum_v,in_regulation
ff_-40c_2.97v,ff,-40,2.97,binj,0.6,0.600000,1.199630,0.899450,2.99998,1.987510,1.987510,2.500010e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.625,0.625000,1.199630,0.936950,2.87498,1.979080,1.979080,2.604170e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.65,0.650000,1.199630,0.974450,2.74998,1.970750,1.970750,2.708320e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.675,0.675000,1.199630,1.011950,2.62498,1.962500,1.962500,2.812480e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.7,0.700000,1.199630,1.049450,2.49998,1.954340,1.954340,2.916640e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.725,0.725000,1.199630,1.086950,2.37498,1.946260,1.946260,3.020800e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.75,0.750000,1.199630,1.124450,2.24998,1.938250,1.938250,3.124960e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.775,0.775000,1.199630,1.161950,2.12498,1.930310,1.930310,3.229120e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.8,0.800000,1.199630,1.199450,1.99998,1.922420,1.922420,3.333280e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.825,0.825000,1.199630,1.236950,1.87498,1.914590,1.914590,3.437440e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.85,0.850000,1.199630,1.274450,1.74998,1.906810,1.906810,3.541600e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.875,0.875000,1.199630,1.311950,1.62498,1.899080,1.899080,3.645760e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.9,0.900000,1.199630,1.349450,1.49998,1.891390,1.891390,3.749920e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.925,0.925000,1.199630,1.386950,1.37498,1.883740,1.883740,3.854080e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.95,0.950000,1.199630,1.424450,1.24998,1.876120,1.876120,3.958240e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.975,0.975000,1.199630,1.461950,1.12498,1.868530,1.868530,4.062400e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1,1.000000,1.199630,1.499450,0.99998,1.860960,1.860960,4.166560e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.025,1.025000,1.199630,1.536950,0.87498,1.853420,1.853420,4.270720e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.05,1.050000,1.199630,1.574450,0.74998,1.845890,1.845890,4.374880e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.075,1.075000,1.199630,1.611950,0.62498,1.838370,1.838370,4.479040e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.1,1.100000,1.199630,1.649450,0.49998,1.830860,1.830860,4.583200e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.125,1.125000,1.199630,1.686950,0.37498,1.823350,1.823350,4.687360e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.15,1.150000,1.199630,1.724450,0.24998,1.815840,1.815840,4.791520e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.175,1.175000,1.199630,1.761950,0.12498,1.808320,1.808320,4.895680e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.2,1.200000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.225,1.225000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.25,1.250000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.275,1.275000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.3,1.300000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.325,1.325000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.35,1.350000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.375,1.375000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.4,1.400000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.425,1.425000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.45,1.450000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.475,1.475000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.5,1.500000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.525,1.525000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.55,1.550000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.575,1.575000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.6,1.600000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.625,1.625000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.65,1.650000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.675,1.675000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.7,1.700000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.725,1.725000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.75,1.750000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.775,1.775000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.8,1.800000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.825,1.825000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.85,1.850000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.875,1.875000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.9,1.900000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.925,1.925000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.95,1.950000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,1.975,1.975000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2,2.000000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.025,2.025000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.05,2.050000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.075,2.075000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.1,2.100000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.125,2.125000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.15,2.150000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.175,2.175000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.2,2.200000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.225,2.225000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.25,2.250000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.275,2.275000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.3,2.300000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.325,2.325000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.35,2.350000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.375,2.375000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,2.4,2.400000,1.199630,1.799450,-0.00002,1.800780,1.800780,4.999840e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0,0.000000,1.200130,0.000190,6.00002,3.299750,3.299750,2.189900e-05,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.025,0.025000,1.199610,0.036918,5.87499,2.625920,2.625920,1.044580e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.05,0.050000,1.199610,0.074418,5.74999,2.589500,2.589500,2.086170e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.075,0.075000,1.199610,0.111918,5.62499,2.564480,2.564480,3.127760e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.1,0.100000,1.199610,0.149418,5.49999,2.544330,2.544330,4.169340e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.125,0.125000,1.199610,0.186918,5.37499,2.526950,2.526950,5.210930e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.15,0.150000,1.199610,0.224418,5.24999,2.511370,2.511370,6.252520e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.175,0.175000,1.199610,0.261918,5.12499,2.497080,2.497080,7.294110e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.2,0.200000,1.199610,0.299417,4.99999,2.483770,2.483770,8.335700e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.225,0.225000,1.199610,0.336917,4.87499,2.471210,2.471210,9.377290e-03,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.25,0.250000,1.199610,0.374417,4.74999,2.459280,2.459280,1.041890e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.275,0.275000,1.199610,0.411917,4.62499,2.447850,2.447850,1.146050e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.3,0.300000,1.199610,0.449417,4.49999,2.436860,2.436860,1.250210e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.325,0.325000,1.199610,0.486917,4.37499,2.426240,2.426240,1.354370e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.35,0.350000,1.199610,0.524417,4.24999,2.415940,2.415940,1.458520e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.375,0.375000,1.199610,0.561917,4.12499,2.405930,2.405930,1.562680e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.4,0.400000,1.199610,0.599417,3.99999,2.396170,2.396170,1.666840e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.425,0.425000,1.199610,0.636917,3.87499,2.386630,2.386630,1.771000e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.45,0.450000,1.199610,0.674417,3.74999,2.377300,2.377300,1.875160e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.475,0.475000,1.199610,0.711917,3.62499,2.368150,2.368150,1.979320e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.5,0.500000,1.199610,0.749417,3.49999,2.359160,2.359160,2.083480e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.525,0.525000,1.199610,0.786917,3.37499,2.350330,2.350330,2.187640e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.55,0.550000,1.199610,0.824417,3.24999,2.341640,2.341640,2.291800e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.575,0.575000,1.199610,0.861917,3.12499,2.333080,2.333080,2.395960e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.6,0.600000,1.199610,0.899417,2.99999,2.324640,2.324640,2.500120e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.625,0.625000,1.199610,0.936917,2.87499,2.316310,2.316310,2.604280e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.65,0.650000,1.199610,0.974417,2.74999,2.308080,2.308080,2.708430e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.675,0.675000,1.199610,1.011920,2.62498,2.299940,2.299940,2.812590e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.7,0.700000,1.199610,1.049420,2.49998,2.291890,2.291890,2.916750e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.725,0.725000,1.199610,1.086920,2.37498,2.283930,2.283930,3.020910e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.75,0.750000,1.199610,1.124420,2.24998,2.276040,2.276040,3.125070e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.775,0.775000,1.199610,1.161920,2.12498,2.268220,2.268220,3.229230e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.8,0.800000,1.199610,1.199420,1.99998,2.260460,2.260460,3.333390e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.825,0.825000,1.199610,1.236920,1.87498,2.252770,2.252770,3.437550e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.85,0.850000,1.199610,1.274420,1.74998,2.245140,2.245140,3.541710e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.875,0.875000,1.199610,1.311920,1.62498,2.237550,2.237550,3.645870e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.9,0.900000,1.199610,1.349420,1.49998,2.230020,2.230020,3.750030e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.925,0.925000,1.199610,1.386920,1.37498,2.222530,2.222530,3.854190e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.95,0.950000,1.199610,1.424420,1.24998,2.215080,2.215080,3.958350e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,0.975,0.975000,1.199610,1.461920,1.12498,2.207670,2.207670,4.062510e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1,1.000000,1.199610,1.499420,0.99998,2.200300,2.200300,4.166670e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.025,1.025000,1.199610,1.536920,0.87498,2.192950,2.192950,4.270830e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.05,1.050000,1.199610,1.574420,0.74998,2.185640,2.185640,4.374990e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.075,1.075000,1.199610,1.611920,0.62498,2.178340,2.178340,4.479150e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.1,1.100000,1.199610,1.649420,0.49998,2.171080,2.171080,4.583310e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.125,1.125000,1.199610,1.686920,0.37498,2.163820,2.163820,4.687460e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.15,1.150000,1.199610,1.724420,0.24998,2.156590,2.156590,4.791620e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.175,1.175000,1.199610,1.761920,0.12498,2.149360,2.149360,4.895780e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.2,1.200000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.225,1.225000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.25,1.250000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.275,1.275000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.3,1.300000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.325,1.325000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.35,1.350000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.375,1.375000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.4,1.400000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.425,1.425000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.45,1.450000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.475,1.475000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.5,1.500000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.525,1.525000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.55,1.550000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.575,1.575000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.6,1.600000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.625,1.625000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.65,1.650000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.675,1.675000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.7,1.700000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.725,1.725000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.75,1.750000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.775,1.775000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.8,1.800000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.825,1.825000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.85,1.850000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.875,1.875000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.9,1.900000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.925,1.925000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.95,1.950000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,1.975,1.975000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2,2.000000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.025,2.025000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.05,2.050000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.075,2.075000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.1,2.100000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.125,2.125000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.15,2.150000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.175,2.175000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.2,2.200000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.225,2.225000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.25,2.250000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.275,2.275000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.3,2.300000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.325,2.325000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.35,2.350000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
ff_-40c_3.30v,ff,-40,3.30,binj,2.375,2.375000,1.199610,1.799420,-0.00002,2.142150,2.142150,4.999940e-02,,yes
